Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,1/2/3 Colors,Trial,Name,Attention,Circle Size (degrees),n = 12
"[0, 0, 255]",0,35,0.32078768,1,1,1,A,Covert,4,
"[0, 0, 255]",2,25,0.24630928,1,1,2,A,Covert,4,
"[0, 0, 255]",0,5,0.21497289,1,1,3,A,Covert,4,
"[0, 0, 255]",2,30,0.21322506,1,1,4,A,Covert,4,
"[0, 0, 255]",2,35,0.22614771,1,1,5,A,Covert,4,
"[0, 0, 255]",0,20,0.24191949,1,1,6,A,Covert,4,
"[0, 0, 255]",0,20,0.24012652,1,1,7,A,Covert,4,
"[0, 0, 255]",2,40,0.22757739,1,1,8,A,Covert,4,
"[0, 0, 255]",2,0,0.21143683,1,1,9,A,Covert,4,
"[0, 0, 255]",2,10,0.213086,1,1,10,A,Covert,4,
"[0, 0, 255]",0,25,0.24251699,1,1,11,A,Covert,4,
"[0, 0, 255]",0,30,0.21798976,1,1,12,A,Covert,4,
"[0, 0, 255]",2,0,0.22191362,1,1,13,A,Covert,4,
"[0, 0, 255]",0,40,0.27022376,1,1,14,A,Covert,4,
"[0, 0, 255]",0,0,0.24851693,1,1,15,A,Covert,4,
"[0, 0, 255]",0,20,0.2476847,1,1,16,A,Covert,4,
"[0, 0, 255]",0,5,0.24238187,1,1,17,A,Covert,4,
"[0, 0, 255]",0,0,0.23529682,1,1,18,A,Covert,4,
"[0, 0, 255]",0,0,0.23940811,1,1,19,A,Covert,4,
"[0, 0, 255]",0,20,0.25457989,1,1,20,A,Covert,4,
"[0, 0, 255]",2,5,0.25018058,1,1,21,A,Covert,4,
"[0, 0, 255]",2,10,0.23381813,1,1,22,A,Covert,4,
"[0, 0, 255]",0,10,0.21475442,1,1,23,A,Covert,4,
"[0, 0, 255]",2,30,0.25684677,1,1,24,A,Covert,4,
"[0, 0, 255]",2,5,0.20926232,1,1,25,A,Covert,4,
"[0, 0, 255]",2,40,0.26901091,1,1,26,A,Covert,4,
"[0, 0, 255]",2,40,0.34565245,1,1,27,A,Covert,4,
"[0, 0, 255]",2,25,0.2936422,1,1,28,A,Covert,4,
"[0, 0, 255]",0,30,0.27908927,1,1,29,A,Covert,4,
"[0, 0, 255]",0,25,0.26628341,1,1,30,A,Covert,4,
"[0, 0, 255]",2,15,0.25597337,1,1,31,A,Covert,4,
"[0, 0, 255]",0,10,0.28044808,1,1,32,A,Covert,4,
"[0, 0, 255]",2,35,0.26735536,1,1,33,A,Covert,4,
"[0, 0, 255]",2,10,0.26452553,1,1,34,A,Covert,4,
"[0, 0, 255]",0,30,0.36846503,1,1,35,A,Covert,4,
"[0, 0, 255]",0,15,0.30176186,1,1,36,A,Covert,4,
"[0, 0, 255]",0,15,0.2819596,1,1,37,A,Covert,4,
"[0, 0, 255]",0,0,0.23351104,1,1,38,A,Covert,4,
"[0, 0, 255]",2,15,0.2380272,1,1,39,A,Covert,4,
"[0, 0, 255]",2,20,0.25872948,1,1,40,A,Covert,4,
"[0, 0, 255]",2,20,0.24482565,1,1,41,A,Covert,4,
"[0, 0, 255]",2,15,0.21447876,1,1,42,A,Covert,4,
"[0, 0, 255]",0,10,0.29577615,1,1,43,A,Covert,4,
"[0, 0, 255]",0,15,0.24896638,1,1,44,A,Covert,4,
"[0, 0, 255]",0,35,0.28440481,1,1,45,A,Covert,4,
"[0, 0, 255]",2,0,0.25947174,1,1,46,A,Covert,4,
"[0, 0, 255]",2,5,0.21177891,1,1,47,A,Covert,4,
"[0, 0, 255]",0,15,0.23606402,1,1,48,A,Covert,4,
"[0, 0, 255]",2,25,0.22458093,1,1,49,A,Covert,4,
"[0, 0, 255]",0,40,0.26249609,1,1,50,A,Covert,4,
"[0, 0, 255]",0,25,0.23823039,1,1,51,A,Covert,4,
"[0, 0, 255]",2,30,0.25744781,1,1,52,A,Covert,4,
"[0, 0, 255]",2,25,0.25154632,1,1,53,A,Covert,4,
"[0, 0, 255]",0,25,0.25360693,1,1,54,A,Covert,4,
"[0, 0, 255]",2,20,0.22356787,1,1,55,A,Covert,4,
"[0, 0, 255]",0,10,0.23636018,1,1,56,A,Covert,4,
"[0, 0, 255]",2,35,0.26094001,1,1,57,A,Covert,4,
"[0, 0, 255]",0,5,0.21973096,1,1,58,A,Covert,4,
"[0, 0, 255]",0,5,0.24398791,1,1,59,A,Covert,4,
"[0, 0, 255]",2,0,0.24349801,1,1,60,A,Covert,4,
"[0, 0, 255]",2,35,0.24275628,1,1,61,A,Covert,4,
"[0, 0, 255]",0,35,0.2622834,1,1,62,A,Covert,4,
"[0, 0, 255]",2,10,0.23214481,1,1,63,A,Covert,4,
"[0, 0, 255]",0,40,0.27813268,1,1,64,A,Covert,4,
"[0, 0, 255]",2,15,0.25133848,1,1,65,A,Covert,4,
"[0, 0, 255]",2,40,0.24242469,1,1,66,A,Covert,4,
"[0, 0, 255]",2,5,0.22303213,1,1,67,A,Covert,4,
"[0, 0, 255]",0,35,0.28649383,1,1,68,A,Covert,4,
"[0, 0, 255]",0,30,0.22841364,1,1,69,A,Covert,4,
"[0, 0, 255]",2,20,0.21106141,1,1,70,A,Covert,4,
"[0, 0, 255]",2,30,0.23401291,1,1,71,A,Covert,4,
"[0, 0, 255]",0,40,0.26694693,1,1,72,A,Covert,4,
"[0, 0, 255]",2,10,0.21617667,1,1,1,A,Covert,4,
"[0, 0, 255]",0,30,0.2431443,1,1,2,A,Covert,4,
"[0, 0, 255]",2,35,0.2302533,1,1,3,A,Covert,4,
"[0, 0, 255]",2,25,0.22433638,1,1,4,A,Covert,4,
"[0, 0, 255]",2,25,0.20451217,1,1,5,A,Covert,4,
"[0, 0, 255]",0,30,0.2071257,1,1,6,A,Covert,4,
"[0, 0, 255]",0,20,0.19608012,1,1,7,A,Covert,4,
"[0, 0, 255]",2,20,0.16119708,1,1,8,A,Covert,4,
"[0, 0, 255]",0,15,0.19931809,1,1,9,A,Covert,4,
"[0, 0, 255]",0,5,0.21866402,1,1,10,A,Covert,4,
"[0, 0, 255]",0,10,0.19709386,1,1,11,A,Covert,4,
"[0, 0, 255]",0,40,-0.0792563,1,1,12,A,Covert,4,
"[0, 0, 255]",2,35,0.23801929,1,1,13,A,Covert,4,
"[0, 0, 255]",0,40,0.25861919,1,1,14,A,Covert,4,
"[0, 0, 255]",0,0,0.19846363,1,1,15,A,Covert,4,
"[0, 0, 255]",0,35,0.27237654,1,1,16,A,Covert,4,
"[0, 0, 255]",2,35,0.34058782,1,1,17,A,Covert,4,
"[0, 0, 255]",0,20,0.25502083,1,1,18,A,Covert,4,
"[0, 0, 255]",0,10,0.22337174,1,1,19,A,Covert,4,
"[0, 0, 255]",2,25,0.23370789,1,1,20,A,Covert,4,
"[0, 0, 255]",2,5,0.21592142,1,1,21,A,Covert,4,
"[0, 0, 255]",2,25,0.24345995,1,1,22,A,Covert,4,
"[0, 0, 255]",0,10,0.25079748,1,1,23,A,Covert,4,
"[0, 0, 255]",0,0,0.21779557,1,1,24,A,Covert,4,
"[0, 0, 255]",0,10,0.21930091,1,1,25,A,Covert,4,
"[0, 0, 255]",2,0,0.2079665,1,1,26,A,Covert,4,
"[0, 0, 255]",2,15,0.24639568,1,1,27,A,Covert,4,
"[0, 0, 255]",0,40,0.26773301,1,1,28,A,Covert,4,
"[0, 0, 255]",2,15,0.23002717,1,1,29,A,Covert,4,
"[0, 0, 255]",2,5,-0.0212306,1,1,30,A,Covert,4,
"[0, 0, 255]",2,0,0.25704965,1,1,31,A,Covert,4,
"[0, 0, 255]",0,15,0.26580945,1,1,32,A,Covert,4,
"[0, 0, 255]",0,30,0.22152274,1,1,33,A,Covert,4,
"[0, 0, 255]",2,40,0.24391882,1,1,34,A,Covert,4,
"[0, 0, 255]",0,5,0.24220856,1,1,35,A,Covert,4,
"[0, 0, 255]",2,40,0.21101699,1,1,36,A,Covert,4,
"[0, 0, 255]",0,5,0.22533896,1,1,37,A,Covert,4,
"[0, 0, 255]",2,35,0.23237778,1,1,38,A,Covert,4,
"[0, 0, 255]",0,0,0.23362803,1,1,39,A,Covert,4,
"[0, 0, 255]",2,30,0.21909982,1,1,40,A,Covert,4,
"[0, 0, 255]",0,35,0.25528187,1,1,41,A,Covert,4,
"[0, 0, 255]",0,25,0.2411949,1,1,42,A,Covert,4,
"[0, 0, 255]",2,0,0.22281368,1,1,43,A,Covert,4,
"[0, 0, 255]",0,15,0.21456721,1,1,44,A,Covert,4,
"[0, 0, 255]",0,25,0.22188358,1,1,45,A,Covert,4,
