Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,1/2/3 Colors,Trial,Name,Attention,Circle Size (degrees),n = 12
"[255, 0, 0]",0,20,0.33890259,1,1,1,A,Covert,4,
"[255, 0, 0]",0,0,0.30252422,1,1,2,A,Covert,4,
"[255, 0, 0]",0,0,0.26510406,1,1,3,A,Covert,4,
"[255, 0, 0]",2,35,0.29896488,1,1,4,A,Covert,4,
"[255, 0, 0]",0,35,0.28554606,1,1,5,A,Covert,4,
"[255, 0, 0]",2,20,0.23593112,1,1,6,A,Covert,4,
"[255, 0, 0]",2,40,0.28474204,1,1,7,A,Covert,4,
"[255, 0, 0]",0,40,0.29013191,1,1,8,A,Covert,4,
"[255, 0, 0]",0,35,0.24273516,1,1,9,A,Covert,4,
"[255, 0, 0]",0,25,0.24800015,1,1,10,A,Covert,4,
"[255, 0, 0]",0,0,0.22036639,1,1,11,A,Covert,4,
"[255, 0, 0]",2,40,0.27633722,1,1,12,A,Covert,4,
"[255, 0, 0]",2,25,0.26013411,1,1,13,A,Covert,4,
"[255, 0, 0]",0,5,0.25895864,1,1,14,A,Covert,4,
"[255, 0, 0]",0,20,0.23490337,1,1,15,A,Covert,4,
"[255, 0, 0]",2,15,0.27131858,1,1,16,A,Covert,4,
"[255, 0, 0]",0,5,0.26957812,1,1,17,A,Covert,4,
"[255, 0, 0]",0,35,0.26188461,1,1,18,A,Covert,4,
"[255, 0, 0]",0,40,0.32223876,1,1,19,A,Covert,4,
"[255, 0, 0]",2,20,0.25501424,1,1,20,A,Covert,4,
"[255, 0, 0]",2,30,0.28007795,1,1,21,A,Covert,4,
"[255, 0, 0]",2,0,0.26325108,1,1,22,A,Covert,4,
"[255, 0, 0]",2,5,0.24864152,1,1,23,A,Covert,4,
"[255, 0, 0]",0,40,0.36095244,1,1,24,A,Covert,4,
"[255, 0, 0]",0,25,0.27594556,1,1,25,A,Covert,4,
"[255, 0, 0]",0,20,0.26069718,1,1,26,A,Covert,4,
"[255, 0, 0]",2,10,0.27108298,1,1,27,A,Covert,4,
"[255, 0, 0]",0,10,0.29365683,1,1,28,A,Covert,4,
"[255, 0, 0]",0,20,0.31492843,1,1,29,A,Covert,4,
"[255, 0, 0]",0,25,0.23957201,1,1,30,A,Covert,4,
"[255, 0, 0]",2,30,0.25906913,1,1,31,A,Covert,4,
"[255, 0, 0]",0,30,0.24194934,1,1,32,A,Covert,4,
"[255, 0, 0]",2,30,0.25952134,1,1,33,A,Covert,4,
"[255, 0, 0]",0,30,0.25942845,1,1,34,A,Covert,4,
"[255, 0, 0]",2,0,0.18841578,1,1,35,A,Covert,4,
"[255, 0, 0]",2,35,0.22486607,1,1,36,A,Covert,4,
"[255, 0, 0]",2,30,0.23588224,1,1,37,A,Covert,4,
"[255, 0, 0]",2,10,0.22847447,1,1,38,A,Covert,4,
"[255, 0, 0]",2,35,0.24208563,1,1,39,A,Covert,4,
"[255, 0, 0]",2,40,0.26385223,1,1,40,A,Covert,4,
"[255, 0, 0]",0,40,0.28506778,1,1,41,A,Covert,4,
"[255, 0, 0]",2,0,0.23505648,1,1,42,A,Covert,4,
"[255, 0, 0]",0,5,0.22572174,1,1,43,A,Covert,4,
"[255, 0, 0]",2,15,0.2468714,1,1,44,A,Covert,4,
"[255, 0, 0]",2,10,0.24229254,1,1,45,A,Covert,4,
"[255, 0, 0]",0,10,0.24662151,1,1,46,A,Covert,4,
