Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,1/2/3 Colors,Trial,Name,Attention,Circle Size (degrees)
"[255, 0, 0]",0,10,0.34251719,1,2,74,A,Covert,4
"[255, 0, 0]",0,0,0.32343127,1,2,76,A,Covert,4
"[255, 0, 0]",0,35,0.36112192,0,2,79,A,Covert,4
"[255, 0, 0]",0,40,0.35795697,1,2,80,A,Covert,4
"[255, 0, 0]",2,5,0.36413109,1,2,81,A,Covert,4
"[255, 0, 0]",0,0,0.27978297,1,2,82,A,Covert,4
"[255, 0, 0]",0,20,0.3673374,1,2,83,A,Covert,4
"[255, 0, 0]",2,5,0.28557244,1,2,90,A,Covert,4
"[255, 0, 0]",0,25,0.35890552,1,2,91,A,Covert,4
"[255, 0, 0]",0,0,0.35011693,1,2,92,A,Covert,4
"[255, 0, 0]",0,25,0.42492116,1,2,93,A,Covert,4
"[255, 0, 0]",2,15,0.44478923,1,2,94,A,Covert,4
"[255, 0, 0]",2,15,0.37893492,1,2,97,A,Covert,4
"[255, 0, 0]",0,15,0.39127864,1,2,98,A,Covert,4
"[255, 0, 0]",0,25,0.40534821,1,2,103,A,Covert,4
"[255, 0, 0]",2,40,0.44228984,1,2,110,A,Covert,4
"[255, 0, 0]",0,15,0.44033772,1,2,111,A,Covert,4
"[255, 0, 0]",0,15,0.39704516,1,2,113,A,Covert,4
"[255, 0, 0]",0,40,0.42698127,1,2,119,A,Covert,4
"[255, 0, 0]",2,30,0.50371669,1,2,120,A,Covert,4
"[255, 0, 0]",2,10,0.41815209,1,2,121,A,Covert,4
"[255, 0, 0]",0,35,0.39402093,1,2,124,A,Covert,4
"[255, 0, 0]",2,35,0.40503895,1,2,125,A,Covert,4
"[255, 0, 0]",2,15,0.37990475,1,2,126,A,Covert,4
"[255, 0, 0]",0,30,0.42780837,1,2,135,A,Covert,4
"[255, 0, 0]",2,0,0.29609558,1,2,140,A,Covert,4
"[255, 0, 0]",0,5,0.33996207,1,2,141,A,Covert,4
"[255, 0, 0]",2,25,0.40380987,1,2,144,A,Covert,4
"[255, 0, 0]",0,0,0.31707506,1,2,146,A,Covert,4
