Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,1/2/3 Colors,Trial,Name,Attention,Circle Size (degrees),n = 12
"[0, 0, 255]",2,0,0.29387506,1,1,1,A,Overt,4,
"[0, 0, 255]",2,35,0.28712848,1,1,2,A,Overt,4,
"[0, 0, 255]",2,15,0.29767006,1,1,3,A,Overt,4,
"[0, 0, 255]",0,0,0.31749478,1,1,4,A,Overt,4,
"[0, 0, 255]",2,20,0.37825629,1,1,5,A,Overt,4,
"[0, 0, 255]",0,20,0.2662921,1,1,6,A,Overt,4,
"[0, 0, 255]",2,20,0.30120518,1,1,7,A,Overt,4,
"[0, 0, 255]",0,10,0.26740115,1,1,8,A,Overt,4,
"[0, 0, 255]",2,40,0.28069498,1,1,9,A,Overt,4,
"[0, 0, 255]",2,5,0.29603409,1,1,10,A,Overt,4,
"[0, 0, 255]",2,25,0.29934218,1,1,11,A,Overt,4,
"[0, 0, 255]",2,20,0.30812807,1,1,12,A,Overt,4,
"[0, 0, 255]",0,25,0.2910483,1,1,13,A,Overt,4,
"[0, 0, 255]",0,25,0.36055776,1,1,14,A,Overt,4,
"[0, 0, 255]",0,35,0.31058727,1,1,15,A,Overt,4,
"[0, 0, 255]",0,5,0.22743876,1,1,16,A,Overt,4,
"[0, 0, 255]",2,30,0.25729839,1,1,17,A,Overt,4,
"[0, 0, 255]",0,30,0.27738186,1,1,18,A,Overt,4,
"[0, 0, 255]",0,0,0.22454919,1,1,19,A,Overt,4,
"[0, 0, 255]",0,20,0.25225115,1,1,20,A,Overt,4,
"[0, 0, 255]",0,15,0.27587817,1,1,21,A,Overt,4,
"[0, 0, 255]",2,15,0.28180973,1,1,22,A,Overt,4,
"[0, 0, 255]",2,35,0.25492172,1,1,23,A,Overt,4,
"[0, 0, 255]",2,20,0.27007954,1,1,24,A,Overt,4,
"[0, 0, 255]",0,30,0.26374806,1,1,25,A,Overt,4,
"[0, 0, 255]",0,15,0.29778689,1,1,26,A,Overt,4,
"[0, 0, 255]",0,30,0.31346588,1,1,27,A,Overt,4,
"[0, 0, 255]",2,0,0.24775302,1,1,28,A,Overt,4,
"[0, 0, 255]",0,20,0.28235752,1,1,29,A,Overt,4,
"[0, 0, 255]",2,30,0.28529833,1,1,30,A,Overt,4,
"[0, 0, 255]",0,30,0.3029332,1,1,31,A,Overt,4,
"[0, 0, 255]",2,40,0.34599321,1,1,32,A,Overt,4,
"[0, 0, 255]",2,10,0.25806579,1,1,33,A,Overt,4,
"[0, 0, 255]",2,5,0.25486934,1,1,34,A,Overt,4,
"[0, 0, 255]",0,40,0.40477464,1,1,35,A,Overt,4,
"[0, 0, 255]",0,5,0.24630283,1,1,36,A,Overt,4,
"[0, 0, 255]",2,5,0.28385386,1,1,37,A,Overt,4,
"[0, 0, 255]",2,35,0.30611581,1,1,38,A,Overt,4,
"[0, 0, 255]",0,35,0.33407175,1,1,39,A,Overt,4,
"[0, 0, 255]",0,0,0.2574357,1,1,40,A,Overt,4,
"[0, 0, 255]",0,15,0.27016295,1,1,41,A,Overt,4,
"[0, 0, 255]",2,15,0.26970283,1,1,42,A,Overt,4,
"[0, 0, 255]",2,0,0.27718026,1,1,43,A,Overt,4,
"[0, 0, 255]",2,15,0.25600243,1,1,44,A,Overt,4,
"[0, 0, 255]",0,10,0.29618597,1,1,45,A,Overt,4,
"[0, 0, 255]",0,0,0.26008577,1,1,46,A,Overt,4,
"[0, 0, 255]",0,35,0.32143422,1,1,47,A,Overt,4,
"[0, 0, 255]",2,10,0.28766596,1,1,48,A,Overt,4,
"[0, 0, 255]",0,10,0.30967204,1,1,49,A,Overt,4,
"[0, 0, 255]",2,30,0.35449645,1,1,50,A,Overt,4,
"[0, 0, 255]",2,35,0.32101731,1,1,51,A,Overt,4,
"[0, 0, 255]",0,5,0.26174591,1,1,52,A,Overt,4,
"[0, 0, 255]",0,40,0.33329141,1,1,53,A,Overt,4,
"[0, 0, 255]",2,40,0.29345964,1,1,54,A,Overt,4,
"[0, 0, 255]",0,25,0.29699713,1,1,55,A,Overt,4,
"[0, 0, 255]",2,25,0.28977327,1,1,56,A,Overt,4,
"[0, 0, 255]",2,10,0.2526005,1,1,57,A,Overt,4,
"[0, 0, 255]",2,40,0.29405059,1,1,58,A,Overt,4,
"[0, 0, 255]",2,5,0.27287937,1,1,59,A,Overt,4,
"[0, 0, 255]",2,25,0.33897274,1,1,60,A,Overt,4,
"[0, 0, 255]",0,5,0.28398341,1,1,61,A,Overt,4,
"[0, 0, 255]",2,10,0.29904212,1,1,62,A,Overt,4,
"[0, 0, 255]",2,25,0.27404661,1,1,63,A,Overt,4,
"[0, 0, 255]",0,40,0.32359155,1,1,64,A,Overt,4,
"[0, 0, 255]",0,35,0.372073,1,1,65,A,Overt,4,
"[0, 0, 255]",2,0,0.28725203,1,1,66,A,Overt,4,
"[0, 0, 255]",0,25,0.33800408,1,1,67,A,Overt,4,
"[0, 0, 255]",0,10,0.32261371,1,1,68,A,Overt,4,
"[0, 0, 255]",0,15,0.30520983,1,1,69,A,Overt,4,
"[0, 0, 255]",0,40,0.39297605,1,1,70,A,Overt,4,
"[0, 0, 255]",0,20,0.33421438,1,1,71,A,Overt,4,
"[0, 0, 255]",2,30,0.40922929,1,1,72,A,Overt,4,
"[0, 0, 255]",2,0,0.27768653,1,1,1,A,Overt,4,
"[0, 0, 255]",0,25,0.26822818,1,1,2,A,Overt,4,
"[0, 0, 255]",2,25,0.24888214,1,1,3,A,Overt,4,
"[0, 0, 255]",0,0,0.22420992,1,1,4,A,Overt,4,
"[0, 0, 255]",0,20,0.25883561,1,1,5,A,Overt,4,
"[0, 0, 255]",0,0,0.27665148,1,1,6,A,Overt,4,
"[0, 0, 255]",2,25,0.24988636,1,1,7,A,Overt,4,
"[0, 0, 255]",0,35,0.28402676,1,1,8,A,Overt,4,
"[0, 0, 255]",0,15,0.28640978,1,1,9,A,Overt,4,
"[0, 0, 255]",2,15,0.24930318,1,1,10,A,Overt,4,
"[0, 0, 255]",2,35,0.27196914,1,1,11,A,Overt,4,
"[0, 0, 255]",0,10,0.26609482,1,1,12,A,Overt,4,
"[0, 0, 255]",0,25,0.2623757,1,1,13,A,Overt,4,
"[0, 0, 255]",2,30,0.24871993,1,1,14,A,Overt,4,
"[0, 0, 255]",0,0,0.24539537,1,1,15,A,Overt,4,
"[0, 0, 255]",2,5,0.23346306,1,1,16,A,Overt,4,
"[0, 0, 255]",2,30,0.2665144,1,1,17,A,Overt,4,
"[0, 0, 255]",2,0,0.25291395,1,1,18,A,Overt,4,
"[0, 0, 255]",0,30,0.27845133,1,1,19,A,Overt,4,
"[0, 0, 255]",0,30,0.25081663,1,1,20,A,Overt,4,
"[0, 0, 255]",2,40,0.24668754,1,1,21,A,Overt,4,
"[0, 0, 255]",2,10,0.26218763,1,1,22,A,Overt,4,
"[0, 0, 255]",2,20,0.27166878,1,1,23,A,Overt,4,
"[0, 0, 255]",0,30,0.27342229,1,1,24,A,Overt,4,
"[0, 0, 255]",2,15,0.26549665,1,1,25,A,Overt,4,
"[0, 0, 255]",2,5,0.24766873,1,1,26,A,Overt,4,
"[0, 0, 255]",2,25,0.24857413,1,1,27,A,Overt,4,
"[0, 0, 255]",0,40,0.36013377,1,1,28,A,Overt,4,
"[0, 0, 255]",0,5,0.28010062,1,1,29,A,Overt,4,
"[0, 0, 255]",0,30,0.26477724,1,1,30,A,Overt,4,
"[0, 0, 255]",2,35,0.28980952,1,1,31,A,Overt,4,
"[0, 0, 255]",2,40,0.30203951,1,1,32,A,Overt,4,
"[0, 0, 255]",0,10,0.27168901,1,1,33,A,Overt,4,
"[0, 0, 255]",0,25,0.26688103,1,1,34,A,Overt,4,
"[0, 0, 255]",0,0,0.23541369,1,1,35,A,Overt,4,
"[0, 0, 255]",0,20,0.25212386,1,1,36,A,Overt,4,
"[0, 0, 255]",0,15,0.22730093,1,1,37,A,Overt,4,
"[0, 0, 255]",0,5,0.23395998,1,1,38,A,Overt,4,
"[0, 0, 255]",0,40,0.24421655,1,1,39,A,Overt,4,
"[0, 0, 255]",0,35,0.25502063,1,1,40,A,Overt,4,
"[0, 0, 255]",0,10,0.24221662,1,1,41,A,Overt,4,
"[0, 0, 255]",2,40,0.25759924,1,1,42,A,Overt,4,
"[0, 0, 255]",0,5,0.20839512,1,1,43,A,Overt,4,
"[0, 0, 255]",0,20,0.22337395,1,1,44,A,Overt,4,
"[0, 0, 255]",0,15,0.2394477,1,1,45,A,Overt,4,
"[0, 0, 255]",0,10,0.24604651,1,1,46,A,Overt,4,
"[0, 0, 255]",2,35,0.25746728,1,1,47,A,Overt,4,
"[0, 0, 255]",2,25,0.23337428,1,1,48,A,Overt,4,
"[0, 0, 255]",2,10,0.21941715,1,1,49,A,Overt,4,
