Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,1/2/3 Colors,Trial,Name,Attention,Circle Size (degrees)
"[0, 0, 255]",0,10,0.4181457,1,3,293,A,Overt,4
"[0, 0, 255]",0,0,0.37470695,1,3,295,A,Overt,4
"[0, 0, 255]",0,20,0.40935497,1,3,299,A,Overt,4
"[0, 0, 255]",0,0,0.36087837,1,3,302,A,Overt,4
"[0, 0, 255]",0,5,0.37446429,1,3,305,A,Overt,4
"[0, 0, 255]",0,20,0.45037026,1,3,306,A,Overt,4
"[0, 0, 255]",0,35,0.54229292,1,3,307,A,Overt,4
"[0, 0, 255]",2,20,0.47719629,1,3,308,A,Overt,4
"[0, 0, 255]",2,40,0.49631245,1,3,310,A,Overt,4
"[0, 0, 255]",0,20,0.4278901,1,3,311,A,Overt,4
"[0, 0, 255]",2,20,0.43005675,1,3,314,A,Overt,4
"[0, 0, 255]",2,30,0.44408305,1,3,315,A,Overt,4
"[0, 0, 255]",0,10,0.43681927,1,3,318,A,Overt,4
"[0, 0, 255]",0,15,0.47628342,1,3,324,A,Overt,4
"[0, 0, 255]",2,40,0.38868399,1,3,325,A,Overt,4
"[0, 0, 255]",2,35,0.55905671,0,3,328,A,Overt,4
"[0, 0, 255]",0,0,0.37261789,1,3,335,A,Overt,4
"[0, 0, 255]",0,5,0.47848988,1,3,342,A,Overt,4
"[0, 0, 255]",2,10,0.36015354,1,3,344,A,Overt,4
"[0, 0, 255]",2,40,0.5059604,1,3,350,A,Overt,4
"[0, 0, 255]",2,5,0.37711253,1,3,353,A,Overt,4
"[0, 0, 255]",0,0,0.32872012,1,3,354,A,Overt,4
"[0, 0, 255]",2,25,0.48972328,1,3,356,A,Overt,4
"[0, 0, 255]",0,30,0.44645126,1,3,359,A,Overt,4
"[0, 0, 255]",2,5,0.51822071,1,3,361,A,Overt,4
"[0, 0, 255]",0,20,0.45044515,1,3,362,A,Overt,4
"[0, 0, 255]",2,35,0.40649623,1,3,364,A,Overt,4
"[0, 0, 255]",2,25,0.50135766,1,3,366,A,Overt,4
"[0, 0, 255]",2,30,0.47363945,1,3,373,A,Overt,4
"[0, 0, 255]",2,5,0.36350943,1,3,378,A,Overt,4
"[0, 0, 255]",0,0,0.37841479,1,3,385,A,Overt,4
"[0, 0, 255]",2,10,0.39135076,1,3,389,A,Overt,4
"[0, 0, 255]",2,20,0.42073315,1,3,395,A,Overt,4
"[0, 0, 255]",0,10,0.39746797,1,3,403,A,Overt,4
"[0, 0, 255]",0,5,0.39860139,1,3,406,A,Overt,4
"[0, 0, 255]",2,40,0.53016594,1,3,408,A,Overt,4
"[0, 0, 255]",0,20,0.45062519,1,3,409,A,Overt,4
"[0, 0, 255]",2,15,0.42584932,1,3,414,A,Overt,4
"[0, 0, 255]",2,5,0.38401986,1,3,417,A,Overt,4
"[0, 0, 255]",2,5,0.33632856,1,3,421,A,Overt,4
"[0, 0, 255]",0,20,0.43139195,1,3,424,A,Overt,4
"[0, 0, 255]",0,5,0.44263196,1,3,425,A,Overt,4
"[0, 0, 255]",2,30,0.40235172,1,3,429,A,Overt,4
"[0, 0, 255]",2,15,0.3787436,1,3,432,A,Overt,4
"[0, 0, 255]",0,40,0.48657415,1,3,436,A,Overt,4
"[0, 0, 255]",2,5,0.3475247,1,3,437,A,Overt,4
"[0, 0, 255]",2,0,0.38424446,1,3,438,A,Overt,4
"[0, 0, 255]",2,10,0.36526344,1,3,440,A,Overt,4
"[0, 0, 255]",0,35,0.45717464,1,3,448,A,Overt,4
"[0, 0, 255]",0,40,0.45369536,1,3,453,A,Overt,4
"[0, 0, 255]",0,5,0.39505849,1,3,455,A,Overt,4
"[0, 0, 255]",0,15,0.46096576,1,3,460,A,Overt,4
"[0, 0, 255]",0,35,0.46131685,1,3,466,A,Overt,4
"[0, 0, 255]",2,40,0.59664342,1,3,468,A,Overt,4
"[0, 0, 255]",0,0,0.40412851,1,3,469,A,Overt,4
"[0, 0, 255]",0,5,0.36624569,1,3,471,A,Overt,4
"[0, 0, 255]",0,15,0.39959518,1,3,478,A,Overt,4
"[0, 0, 255]",2,5,0.35805528,1,3,482,A,Overt,4
"[0, 0, 255]",0,5,0.39215617,1,3,485,A,Overt,4
"[0, 0, 255]",0,30,0.5049421,1,3,486,A,Overt,4
"[0, 0, 255]",0,30,0.44188927,1,3,491,A,Overt,4
"[0, 0, 255]",0,30,0.47976678,1,3,492,A,Overt,4
"[0, 0, 255]",2,0,0.36953199,1,3,495,A,Overt,4
"[0, 0, 255]",2,15,0.43657606,1,3,498,A,Overt,4
"[0, 0, 255]",0,25,0.43892184,1,3,500,A,Overt,4
"[0, 0, 255]",0,10,0.32212003,0,3,502,A,Overt,4
"[0, 0, 255]",2,40,0.50845478,1,3,506,A,Overt,4
"[0, 0, 255]",0,30,0.4927831,1,3,508,A,Overt,4
"[0, 0, 255]",0,40,0.59275025,1,3,509,A,Overt,4
"[0, 0, 255]",0,15,0.42874157,1,3,510,A,Overt,4
"[0, 0, 255]",0,35,0.47074266,1,3,514,A,Overt,4
"[0, 0, 255]",2,20,0.48051289,1,3,517,A,Overt,4
"[0, 0, 255]",2,20,0.44027074,1,3,521,A,Overt,4
"[0, 0, 255]",0,0,0.35000012,1,3,523,A,Overt,4
"[0, 0, 255]",2,0,0.35497275,1,3,525,A,Overt,4
"[0, 0, 255]",2,20,0.37010338,1,3,527,A,Overt,4
"[0, 0, 255]",2,35,0.46983353,1,3,530,A,Overt,4
"[0, 0, 255]",0,10,0.39098179,1,3,533,A,Overt,4
"[0, 0, 255]",0,25,0.47562788,1,3,534,A,Overt,4
"[0, 0, 255]",2,5,0.34842487,1,3,539,A,Overt,4
"[0, 0, 255]",0,0,0.36673982,1,3,542,A,Overt,4
"[0, 0, 255]",0,40,0.50276571,1,3,545,A,Overt,4
"[0, 0, 255]",2,0,0.34199321,1,3,546,A,Overt,4
"[0, 0, 255]",0,10,0.34125025,1,3,549,A,Overt,4
"[0, 0, 255]",2,40,0.46934992,1,3,551,A,Overt,4
"[0, 0, 255]",0,15,0.33139835,1,3,294,A,Overt,4
"[0, 0, 255]",2,30,0.37083622,1,3,296,A,Overt,4
"[0, 0, 255]",0,15,0.35634322,1,3,297,A,Overt,4
"[0, 0, 255]",2,30,0.33408746,1,3,298,A,Overt,4
"[0, 0, 255]",0,25,0.32472224,1,3,300,A,Overt,4
"[0, 0, 255]",0,0,0.30599688,1,3,301,A,Overt,4
"[0, 0, 255]",0,10,0.37014736,1,3,306,A,Overt,4
"[0, 0, 255]",2,25,0.35314663,1,3,319,A,Overt,4
"[0, 0, 255]",0,40,0.37531849,1,3,321,A,Overt,4
"[0, 0, 255]",0,0,0.31741658,1,3,324,A,Overt,4
"[0, 0, 255]",2,25,0.32827398,0,3,326,A,Overt,4
"[0, 0, 255]",0,40,0.36292316,1,3,330,A,Overt,4
"[0, 0, 255]",2,15,0.32492777,1,3,332,A,Overt,4
"[0, 0, 255]",0,15,0.33047624,1,3,335,A,Overt,4
"[0, 0, 255]",2,30,0.34534278,0,3,340,A,Overt,4
"[0, 0, 255]",0,15,0.32080299,1,3,341,A,Overt,4
"[0, 0, 255]",0,20,0.33583576,1,3,349,A,Overt,4
"[0, 0, 255]",0,30,0.34988693,1,3,351,A,Overt,4
"[0, 0, 255]",2,35,0.42943444,1,3,352,A,Overt,4
"[0, 0, 255]",2,40,0.45613984,1,3,355,A,Overt,4
"[0, 0, 255]",2,20,0.34919004,1,3,356,A,Overt,4
"[0, 0, 255]",2,25,0.34402819,1,3,357,A,Overt,4
"[0, 0, 255]",0,35,0.3518717,1,3,359,A,Overt,4
"[0, 0, 255]",2,10,0.35997355,1,3,361,A,Overt,4
"[0, 0, 255]",0,15,0.30580852,1,3,363,A,Overt,4
"[0, 0, 255]",0,20,0.3183528,1,3,364,A,Overt,4
"[0, 0, 255]",0,40,0.38124987,1,3,366,A,Overt,4
"[0, 0, 255]",2,20,0.30997454,1,3,368,A,Overt,4
"[0, 0, 255]",2,15,0.32048031,1,3,372,A,Overt,4
"[0, 0, 255]",2,30,0.39068929,1,3,376,A,Overt,4
"[0, 0, 255]",0,30,0.35446152,1,3,380,A,Overt,4
"[0, 0, 255]",2,20,0.29606052,1,3,383,A,Overt,4
"[0, 0, 255]",2,30,0.36588953,1,3,386,A,Overt,4
"[0, 0, 255]",2,40,0.40780435,1,3,388,A,Overt,4
"[0, 0, 255]",2,10,0.36118565,1,3,389,A,Overt,4
"[0, 0, 255]",2,0,0.28782025,1,3,391,A,Overt,4
"[0, 0, 255]",0,10,0.27478846,1,3,395,A,Overt,4
"[0, 0, 255]",2,20,0.29408319,1,3,399,A,Overt,4
"[0, 0, 255]",0,25,0.3359878,1,3,400,A,Overt,4
"[0, 0, 255]",0,40,0.32695752,1,3,401,A,Overt,4
"[0, 0, 255]",2,35,0.41283583,1,3,402,A,Overt,4
"[0, 0, 255]",2,30,0.31236558,1,3,403,A,Overt,4
"[0, 0, 255]",0,0,0.2790487,1,3,408,A,Overt,4
"[0, 0, 255]",0,5,0.28972662,1,3,413,A,Overt,4
"[0, 0, 255]",2,35,0.36651297,1,3,414,A,Overt,4
"[0, 0, 255]",2,40,0.33925097,1,3,423,A,Overt,4
"[0, 0, 255]",2,0,0.28050122,1,3,426,A,Overt,4
