Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,1/2/3 Colors,Trial,Name,Attention,Circle Size (degrees),n = 12
"[255, 0, 0]",2,35,0.39194643,1,1,1,A,Overt,4,
"[255, 0, 0]",2,35,0.28601306,1,1,2,A,Overt,4,
"[255, 0, 0]",2,20,0.30034499,1,1,3,A,Overt,4,
"[255, 0, 0]",2,40,0.30848988,1,1,4,A,Overt,4,
"[255, 0, 0]",2,40,0.35818272,1,1,5,A,Overt,4,
"[255, 0, 0]",0,5,0.28988142,1,1,6,A,Overt,4,
"[255, 0, 0]",0,5,0.29999894,1,1,7,A,Overt,4,
"[255, 0, 0]",0,40,0.31778409,1,1,8,A,Overt,4,
"[255, 0, 0]",2,20,0.25831032,1,1,9,A,Overt,4,
"[255, 0, 0]",0,20,0.2918446,1,1,10,A,Overt,4,
"[255, 0, 0]",0,10,0.25066716,1,1,11,A,Overt,4,
"[255, 0, 0]",2,35,0.26575779,1,1,12,A,Overt,4,
"[255, 0, 0]",0,40,0.31532772,1,1,13,A,Overt,4,
"[255, 0, 0]",0,15,0.29982614,1,1,14,A,Overt,4,
"[255, 0, 0]",0,25,0.30864267,1,1,15,A,Overt,4,
"[255, 0, 0]",0,0,0.24386218,1,1,16,A,Overt,4,
"[255, 0, 0]",2,0,0.25873759,1,1,17,A,Overt,4,
"[255, 0, 0]",0,15,0.26649936,1,1,18,A,Overt,4,
"[255, 0, 0]",0,0,0.27593467,1,1,19,A,Overt,4,
"[255, 0, 0]",2,15,0.26732373,1,1,20,A,Overt,4,
"[255, 0, 0]",0,30,0.26250102,1,1,21,A,Overt,4,
"[255, 0, 0]",2,5,0.2702442,1,1,22,A,Overt,4,
"[255, 0, 0]",2,20,0.27587932,1,1,23,A,Overt,4,
"[255, 0, 0]",0,10,0.28429132,1,1,24,A,Overt,4,
"[255, 0, 0]",0,40,0.26026821,1,1,25,A,Overt,4,
"[255, 0, 0]",0,25,0.27146021,1,1,26,A,Overt,4,
"[255, 0, 0]",2,25,0.27188279,1,1,27,A,Overt,4,
