Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,1/2/3 Colors,Trial,Name,Attention,Circle Size (degrees)
"[255, 0, 0]",0,35,0.4364006,1,3,289,A,Overt,4
"[255, 0, 0]",2,0,0.36493249,1,3,290,A,Overt,4
"[255, 0, 0]",0,15,0.3818068,1,3,293,A,Overt,4
"[255, 0, 0]",2,20,0.4730315,1,3,299,A,Overt,4
"[255, 0, 0]",0,30,0.41083912,1,3,302,A,Overt,4
"[255, 0, 0]",2,5,0.38128372,1,3,304,A,Overt,4
"[255, 0, 0]",0,20,0.36844648,0,3,305,A,Overt,4
"[255, 0, 0]",2,40,0.41714907,1,3,306,A,Overt,4
"[255, 0, 0]",0,20,0.37897463,1,3,307,A,Overt,4
"[255, 0, 0]",2,35,0.43591054,1,3,308,A,Overt,4
"[255, 0, 0]",2,5,0.33960452,1,3,311,A,Overt,4
"[255, 0, 0]",0,25,0.42977243,1,3,312,A,Overt,4
"[255, 0, 0]",2,25,0.30707302,1,3,313,A,Overt,4
"[255, 0, 0]",2,25,0.43727343,1,3,317,A,Overt,4
"[255, 0, 0]",2,40,0.40359485,1,3,321,A,Overt,4
"[255, 0, 0]",0,0,0.34712421,1,3,326,A,Overt,4
"[255, 0, 0]",2,0,0.32240386,1,3,327,A,Overt,4
"[255, 0, 0]",2,35,0.40585482,1,3,330,A,Overt,4
"[255, 0, 0]",0,15,0.29602035,1,3,331,A,Overt,4
"[255, 0, 0]",2,40,0.40862455,1,3,333,A,Overt,4
"[255, 0, 0]",0,35,0.50384581,1,3,334,A,Overt,4
"[255, 0, 0]",0,5,0.37902905,1,3,337,A,Overt,4
"[255, 0, 0]",0,5,0.30505954,1,3,345,A,Overt,4
"[255, 0, 0]",0,0,0.34063333,1,3,346,A,Overt,4
"[255, 0, 0]",0,15,0.41243112,1,3,347,A,Overt,4
"[255, 0, 0]",0,35,0.40223101,1,3,351,A,Overt,4
"[255, 0, 0]",0,15,0.46464022,1,3,354,A,Overt,4
"[255, 0, 0]",0,10,0.36657438,1,3,359,A,Overt,4
"[255, 0, 0]",2,30,0.46056565,1,3,360,A,Overt,4
"[255, 0, 0]",0,5,0.3844731,1,3,364,A,Overt,4
"[255, 0, 0]",0,35,0.41784215,1,3,370,A,Overt,4
"[255, 0, 0]",0,15,0.39713394,1,3,372,A,Overt,4
"[255, 0, 0]",2,0,0.30759802,1,3,374,A,Overt,4
"[255, 0, 0]",0,10,0.37087553,1,3,377,A,Overt,4
"[255, 0, 0]",2,20,0.40977439,1,3,379,A,Overt,4
"[255, 0, 0]",2,15,0.39400516,1,3,381,A,Overt,4
"[255, 0, 0]",0,5,0.34954025,1,3,389,A,Overt,4
"[255, 0, 0]",0,15,0.41852942,1,3,390,A,Overt,4
"[255, 0, 0]",0,5,0.3678267,1,3,393,A,Overt,4
"[255, 0, 0]",2,20,0.42859689,1,3,394,A,Overt,4
"[255, 0, 0]",0,30,0.4451228,1,3,397,A,Overt,4
"[255, 0, 0]",2,30,0.42019164,1,3,403,A,Overt,4
"[255, 0, 0]",2,0,0.37785878,1,3,404,A,Overt,4
"[255, 0, 0]",2,5,0.40241343,1,3,408,A,Overt,4
"[255, 0, 0]",0,25,0.45800848,1,3,410,A,Overt,4
"[255, 0, 0]",2,5,0.41741588,1,3,411,A,Overt,4
"[255, 0, 0]",2,25,0.4180372,1,3,414,A,Overt,4
"[255, 0, 0]",0,30,0.37044323,1,3,416,A,Overt,4
"[255, 0, 0]",2,10,0.33613058,1,3,426,A,Overt,4
"[255, 0, 0]",2,10,0.32791316,1,3,429,A,Overt,4
"[255, 0, 0]",0,10,0.34802942,1,3,430,A,Overt,4
"[255, 0, 0]",2,15,0.30581874,1,3,432,A,Overt,4
"[255, 0, 0]",0,40,0.4478663,1,3,433,A,Overt,4
"[255, 0, 0]",0,0,0.35847315,1,3,439,A,Overt,4
"[255, 0, 0]",2,40,0.47313666,1,3,446,A,Overt,4
"[255, 0, 0]",0,10,0.41401782,1,3,447,A,Overt,4
"[255, 0, 0]",0,20,0.43585654,1,3,450,A,Overt,4
"[255, 0, 0]",2,0,0.35741641,1,3,451,A,Overt,4
"[255, 0, 0]",0,5,0.37575712,1,3,453,A,Overt,4
"[255, 0, 0]",2,25,0.39619108,1,3,454,A,Overt,4
"[255, 0, 0]",2,10,0.35862382,1,3,455,A,Overt,4
"[255, 0, 0]",2,40,0.54089545,1,3,456,A,Overt,4
"[255, 0, 0]",2,20,0.46900351,1,3,457,A,Overt,4
"[255, 0, 0]",2,15,0.415622,1,3,458,A,Overt,4
"[255, 0, 0]",0,10,0.33037628,0,3,463,A,Overt,4
"[255, 0, 0]",2,5,0.26487033,1,3,464,A,Overt,4
"[255, 0, 0]",2,30,0.41863957,1,3,465,A,Overt,4
"[255, 0, 0]",0,0,0.35441399,1,3,467,A,Overt,4
"[255, 0, 0]",0,40,0.4228095,1,3,472,A,Overt,4
"[255, 0, 0]",2,40,0.38769354,1,3,475,A,Overt,4
"[255, 0, 0]",0,10,0.3776166,1,3,476,A,Overt,4
"[255, 0, 0]",2,35,0.40584012,0,3,477,A,Overt,4
"[255, 0, 0]",2,35,0.35196266,1,3,478,A,Overt,4
"[255, 0, 0]",2,15,0.46222751,1,3,482,A,Overt,4
"[255, 0, 0]",0,20,0.38209216,1,3,483,A,Overt,4
"[255, 0, 0]",0,10,0.32759463,1,3,485,A,Overt,4
"[255, 0, 0]",0,10,0.4004616,1,3,491,A,Overt,4
"[255, 0, 0]",0,30,0.42475426,1,3,492,A,Overt,4
"[255, 0, 0]",0,10,0.40516921,1,3,499,A,Overt,4
"[255, 0, 0]",2,10,0.40799535,1,3,504,A,Overt,4
"[255, 0, 0]",2,20,0.43460178,1,3,509,A,Overt,4
"[255, 0, 0]",0,0,0.37054077,1,3,511,A,Overt,4
"[255, 0, 0]",0,35,0.45016497,1,3,516,A,Overt,4
"[255, 0, 0]",0,35,0.4208477,1,3,522,A,Overt,4
"[255, 0, 0]",0,30,0.51224357,1,3,523,A,Overt,4
"[255, 0, 0]",2,25,0.4234886,1,3,526,A,Overt,4
"[255, 0, 0]",0,25,0.3426229,1,3,528,A,Overt,4
"[255, 0, 0]",2,5,0.38900667,1,3,532,A,Overt,4
"[255, 0, 0]",2,35,0.43182865,1,3,533,A,Overt,4
"[255, 0, 0]",0,10,0.394203,1,3,536,A,Overt,4
"[255, 0, 0]",2,35,0.55533811,1,3,539,A,Overt,4
"[255, 0, 0]",0,15,0.45160764,1,3,540,A,Overt,4
"[255, 0, 0]",0,30,0.36534021,1,3,541,A,Overt,4
"[255, 0, 0]",0,0,0.36092243,1,3,542,A,Overt,4
"[255, 0, 0]",2,15,0.35445675,1,3,543,A,Overt,4
"[255, 0, 0]",2,20,0.37931371,1,3,545,A,Overt,4
