0.6255 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
9.5995 	WARNING 	User requested fullscreen with size [1920 1080], but screen is actually [1680, 1050]. Using actual size
10.3250 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0., 0., 0.]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x143a46710>, gamma=None, gammaErrorPolicy='raise', kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x1454a1438>, multiSample=False, name='window1', numSamples=2, pos=[420.0, 262.5], screen=0, size=array([3360, 2100]), stencilBits=0, stereo=False, units='norm', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
10.3251 	EXP 	window1: recordFrameIntervals = False
10.4912 	EXP 	window1: recordFrameIntervals = True
10.6752 	EXP 	window1: recordFrameIntervals = False
11.2311 	EXP 	Created ExperimentInstructions = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='ExperimentInstructions', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text=str(...), units='norm', win=Window(...), wrapWidth=1)
11.6943 	EXP 	Created Cross = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=-1.0, fillColor=array([1., 1., 1.]), fillColorSpace='rgb', interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineWidth=1, name='Cross', opacity=1.0, ori=array(0.), pos=array([0., 0.]), size=array([1., 1.]), units='deg', vertices=ndarray(...), win=Window(...), windingRule=None)
11.7043 	EXP 	Created polygon_2 = Polygon(__class__=<class 'psychopy.visual.polygon.Polygon'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=-2.0, fillColor=array([255.,   0.,   0.]), fillColorSpace='rgb255', fillRGB=array([255.,   0.,   0.]), interpolate=True, lineColor=array([255.,   0.,   0.]), lineColorSpace='rgb255', lineRGB=array([255.,   0.,   0.]), lineWidth=1, name='polygon_2', opacity=1.0, ori=array(0.), pos=array([0., 0.]), size=array([2.74, 2.74]), units='deg', vertices=ndarray(...), win=Window(...))
12.2126 	EXP 	Created thanksText = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='arial', fontFiles=[], height=0.3, italic=False, languageStyle='LTR', name='thanksText', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([1., 1., 1.]), text=str(...), units='norm', win=Window(...), wrapWidth=1)
12.2362 	EXP 	ExperimentInstructions: autoDraw = True
13.6971 	EXP 	Created sequence: random, trialTypes=1, nReps=50, seed=None
13.6975 	EXP 	New trial (rep=0, index=0): None
13.7007 	DATA 	Keypress: space
13.7147 	EXP 	ExperimentInstructions: autoDraw = False
14.7124 	EXP 	Cross: autoDraw = True
14.9124 	EXP 	Cross: autoDraw = False
15.6460 	EXP 	polygon_2: autoDraw = True
15.9481 	EXP 	New trial (rep=1, index=0): None
15.9503 	DATA 	Keypress: b
15.9640 	EXP 	Cross: autoDraw = False
15.9640 	EXP 	polygon_2: autoDraw = False
16.9453 	EXP 	Cross: autoDraw = True
17.1463 	EXP 	Cross: autoDraw = False
17.6956 	EXP 	polygon_2: autoDraw = True
17.9139 	EXP 	New trial (rep=2, index=0): None
17.9173 	DATA 	Keypress: b
17.9314 	EXP 	Cross: autoDraw = False
17.9314 	EXP 	polygon_2: autoDraw = False
18.9121 	EXP 	Cross: autoDraw = True
19.1123 	EXP 	Cross: autoDraw = False
19.8620 	EXP 	polygon_2: autoDraw = True
19.8980 	EXP 	New trial (rep=3, index=0): None
19.9001 	DATA 	Keypress: b
19.9139 	EXP 	Cross: autoDraw = False
19.9139 	EXP 	polygon_2: autoDraw = False
20.8959 	EXP 	Cross: autoDraw = True
21.0954 	EXP 	Cross: autoDraw = False
21.5458 	EXP 	polygon_2: autoDraw = True
21.8146 	EXP 	New trial (rep=4, index=0): None
21.8162 	DATA 	Keypress: b
21.8299 	EXP 	Cross: autoDraw = False
21.8299 	EXP 	polygon_2: autoDraw = False
22.8126 	EXP 	Cross: autoDraw = True
23.0122 	EXP 	Cross: autoDraw = False
23.4626 	EXP 	polygon_2: autoDraw = True
23.7138 	EXP 	New trial (rep=5, index=0): None
23.7150 	DATA 	Keypress: b
23.7328 	EXP 	Cross: autoDraw = False
23.7328 	EXP 	polygon_2: autoDraw = False
24.7117 	EXP 	Cross: autoDraw = True
24.9121 	EXP 	Cross: autoDraw = False
25.5292 	EXP 	polygon_2: autoDraw = True
25.6476 	EXP 	New trial (rep=6, index=0): None
25.6498 	DATA 	Keypress: b
25.6636 	EXP 	Cross: autoDraw = False
25.6636 	EXP 	polygon_2: autoDraw = False
26.6452 	EXP 	Cross: autoDraw = True
26.8452 	EXP 	Cross: autoDraw = False
27.4621 	EXP 	polygon_2: autoDraw = True
27.6967 	EXP 	New trial (rep=7, index=0): None
27.6980 	DATA 	Keypress: b
27.7121 	EXP 	Cross: autoDraw = False
27.7121 	EXP 	polygon_2: autoDraw = False
28.6958 	EXP 	Cross: autoDraw = True
28.8958 	EXP 	Cross: autoDraw = False
29.2958 	EXP 	polygon_2: autoDraw = True
29.5472 	EXP 	New trial (rep=8, index=0): None
29.5486 	DATA 	Keypress: b
29.5623 	EXP 	Cross: autoDraw = False
29.5623 	EXP 	polygon_2: autoDraw = False
30.5453 	EXP 	Cross: autoDraw = True
30.7453 	EXP 	Cross: autoDraw = False
31.2957 	EXP 	polygon_2: autoDraw = True
31.5137 	EXP 	New trial (rep=9, index=0): None
31.5152 	DATA 	Keypress: b
31.5291 	EXP 	Cross: autoDraw = False
31.5291 	EXP 	polygon_2: autoDraw = False
32.5124 	EXP 	Cross: autoDraw = True
32.7124 	EXP 	Cross: autoDraw = False
33.4453 	EXP 	polygon_2: autoDraw = True
33.4967 	EXP 	New trial (rep=10, index=0): None
33.4982 	DATA 	Keypress: b
33.5120 	EXP 	Cross: autoDraw = False
33.5120 	EXP 	polygon_2: autoDraw = False
34.4952 	EXP 	Cross: autoDraw = True
34.6953 	EXP 	Cross: autoDraw = False
35.3455 	EXP 	polygon_2: autoDraw = True
35.5966 	EXP 	New trial (rep=11, index=0): None
35.5979 	DATA 	Keypress: b
35.6118 	EXP 	Cross: autoDraw = False
35.6118 	EXP 	polygon_2: autoDraw = False
36.5950 	EXP 	Cross: autoDraw = True
36.7952 	EXP 	Cross: autoDraw = False
37.1451 	EXP 	polygon_2: autoDraw = True
37.4142 	EXP 	New trial (rep=12, index=0): None
37.4163 	DATA 	Keypress: b
37.4301 	EXP 	Cross: autoDraw = False
37.4301 	EXP 	polygon_2: autoDraw = False
38.4116 	EXP 	Cross: autoDraw = True
38.6120 	EXP 	Cross: autoDraw = False
39.0783 	EXP 	polygon_2: autoDraw = True
39.3138 	EXP 	New trial (rep=13, index=0): None
39.3152 	DATA 	Keypress: b
39.3287 	EXP 	Cross: autoDraw = False
39.3287 	EXP 	polygon_2: autoDraw = False
40.3115 	EXP 	Cross: autoDraw = True
40.5116 	EXP 	Cross: autoDraw = False
41.1117 	EXP 	polygon_2: autoDraw = True
41.3466 	EXP 	New trial (rep=14, index=0): None
41.3480 	DATA 	Keypress: b
41.3618 	EXP 	Cross: autoDraw = False
41.3618 	EXP 	polygon_2: autoDraw = False
42.3453 	EXP 	Cross: autoDraw = True
42.5453 	EXP 	Cross: autoDraw = False
42.9616 	EXP 	polygon_2: autoDraw = True
43.2304 	EXP 	New trial (rep=15, index=0): None
43.2317 	DATA 	Keypress: b
43.2456 	EXP 	Cross: autoDraw = False
43.2456 	EXP 	polygon_2: autoDraw = False
44.2285 	EXP 	Cross: autoDraw = True
44.4284 	EXP 	Cross: autoDraw = False
45.2282 	EXP 	polygon_2: autoDraw = True
45.4470 	EXP 	New trial (rep=16, index=0): None
45.4484 	DATA 	Keypress: b
45.4622 	EXP 	Cross: autoDraw = False
45.4622 	EXP 	polygon_2: autoDraw = False
46.4452 	EXP 	Cross: autoDraw = True
46.6448 	EXP 	Cross: autoDraw = False
47.0452 	EXP 	polygon_2: autoDraw = True
47.3138 	EXP 	New trial (rep=17, index=0): None
47.3157 	DATA 	Keypress: b
47.3297 	EXP 	Cross: autoDraw = False
47.3297 	EXP 	polygon_2: autoDraw = False
48.3116 	EXP 	Cross: autoDraw = True
48.5115 	EXP 	Cross: autoDraw = False
49.1948 	EXP 	polygon_2: autoDraw = True
49.4298 	EXP 	New trial (rep=18, index=0): None
49.4315 	DATA 	Keypress: b
49.4453 	EXP 	Cross: autoDraw = False
49.4453 	EXP 	polygon_2: autoDraw = False
50.4285 	EXP 	Cross: autoDraw = True
50.6279 	EXP 	Cross: autoDraw = False
51.0947 	EXP 	polygon_2: autoDraw = True
51.3966 	EXP 	New trial (rep=19, index=0): None
51.3979 	DATA 	Keypress: b
51.4116 	EXP 	Cross: autoDraw = False
51.4116 	EXP 	polygon_2: autoDraw = False
52.3946 	EXP 	Cross: autoDraw = True
