0.5885 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
149.9356 	WARNING 	User requested fullscreen with size [1920 1080], but screen is actually [1680, 1050]. Using actual size
150.6449 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0., 0., 0.]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x1434ab710>, gamma=None, gammaErrorPolicy='raise', kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x149fb0fd0>, multiSample=False, name='window1', numSamples=2, pos=[420.0, 262.5], screen=0, size=array([3360, 2100]), stencilBits=0, stereo=False, units='norm', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
150.6450 	EXP 	window1: recordFrameIntervals = False
150.8116 	EXP 	window1: recordFrameIntervals = True
150.9946 	EXP 	window1: recordFrameIntervals = False
151.5444 	EXP 	Created ExperimentInstructions = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='ExperimentInstructions', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text=str(...), units='norm', win=Window(...), wrapWidth=1)
152.0222 	EXP 	Created Cross = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=-1.0, fillColor=array([1., 1., 1.]), fillColorSpace='rgb', interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineWidth=1, name='Cross', opacity=1.0, ori=array(0.), pos=array([0., 0.]), size=array([1., 1.]), units='deg', vertices=ndarray(...), win=Window(...), windingRule=None)
152.0319 	EXP 	Created polygon_2 = Polygon(__class__=<class 'psychopy.visual.polygon.Polygon'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=-2.0, fillColor=array([255., 255.,   0.]), fillColorSpace='rgb255', fillRGB=array([255., 255.,   0.]), interpolate=True, lineColor=array([255., 255.,   0.]), lineColorSpace='rgb255', lineRGB=array([255., 255.,   0.]), lineWidth=1, name='polygon_2', opacity=1.0, ori=array(0.), pos=array([0., 0.]), size=array([2.74, 2.74]), units='deg', vertices=ndarray(...), win=Window(...))
152.5111 	EXP 	Created thanksText = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='arial', fontFiles=[], height=0.3, italic=False, languageStyle='LTR', name='thanksText', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([1., 1., 1.]), text=str(...), units='norm', win=Window(...), wrapWidth=1)
152.5326 	EXP 	ExperimentInstructions: autoDraw = True
153.9179 	EXP 	Created sequence: random, trialTypes=1, nReps=50, seed=None
153.9183 	EXP 	New trial (rep=0, index=0): None
153.9214 	DATA 	Keypress: space
153.9353 	EXP 	ExperimentInstructions: autoDraw = False
154.9329 	EXP 	Cross: autoDraw = True
155.1329 	EXP 	Cross: autoDraw = False
155.4335 	EXP 	polygon_2: autoDraw = True
155.7011 	EXP 	New trial (rep=1, index=0): None
155.7025 	DATA 	Keypress: b
155.7163 	EXP 	Cross: autoDraw = False
155.7163 	EXP 	polygon_2: autoDraw = False
156.6994 	EXP 	Cross: autoDraw = True
156.8998 	EXP 	Cross: autoDraw = False
157.3827 	EXP 	polygon_2: autoDraw = True
157.6015 	EXP 	New trial (rep=2, index=0): None
157.6032 	DATA 	Keypress: b
157.6171 	EXP 	Cross: autoDraw = False
157.6171 	EXP 	polygon_2: autoDraw = False
158.5996 	EXP 	Cross: autoDraw = True
158.7991 	EXP 	Cross: autoDraw = False
159.4492 	EXP 	polygon_2: autoDraw = True
159.6845 	EXP 	New trial (rep=3, index=0): None
159.6859 	DATA 	Keypress: b
159.6998 	EXP 	Cross: autoDraw = False
159.6998 	EXP 	polygon_2: autoDraw = False
160.6825 	EXP 	Cross: autoDraw = True
160.8824 	EXP 	Cross: autoDraw = False
161.2658 	EXP 	polygon_2: autoDraw = True
161.4674 	EXP 	New trial (rep=4, index=0): None
161.4688 	DATA 	Keypress: b
161.4826 	EXP 	Cross: autoDraw = False
161.4826 	EXP 	polygon_2: autoDraw = False
162.4662 	EXP 	Cross: autoDraw = True
162.6662 	EXP 	Cross: autoDraw = False
163.2489 	EXP 	polygon_2: autoDraw = True
163.4351 	EXP 	New trial (rep=5, index=0): None
163.4373 	DATA 	Keypress: b
163.4511 	EXP 	Cross: autoDraw = False
163.4511 	EXP 	polygon_2: autoDraw = False
164.4324 	EXP 	Cross: autoDraw = True
164.6324 	EXP 	Cross: autoDraw = False
164.9658 	EXP 	polygon_2: autoDraw = True
165.2006 	EXP 	New trial (rep=6, index=0): None
165.2021 	DATA 	Keypress: b
165.2160 	EXP 	Cross: autoDraw = False
165.2160 	EXP 	polygon_2: autoDraw = False
166.1995 	EXP 	Cross: autoDraw = True
166.3990 	EXP 	Cross: autoDraw = False
166.7827 	EXP 	polygon_2: autoDraw = True
167.0003 	EXP 	New trial (rep=7, index=0): None
167.0019 	DATA 	Keypress: b
