Color,Reaction Time (s)
"[255, 255, 0]",0
"[255, 255, 0]",0
"[255, 255, 0]",0.29522076299690525
"[255, 0, 0]",0.27961546500227996
"[255, 255, 0]",0.32631489599953056
"[255, 0, 0]",0.322575833000883
"[255, 0, 0]",0.30469375800021226
"[255, 0, 0]",0.348611138000706
"[255, 255, 0]",0.29461144400193007
"[255, 255, 0]",0.3039866049984994
"[255, 0, 0]",0.34363211700110696
"[255, 0, 0]",0.284934864997922
"[255, 0, 0]",0.26942234299713164
"[255, 255, 0]",0.37664340500123217
"[255, 0, 0]",0.3486603549972642
"[255, 0, 0]",0.3582947079994483
"[255, 255, 0]",0.345398108001973
"[255, 255, 0]",0
"[255, 0, 0]",0.2997968090021459
"[255, 0, 0]",0.3871909519984911
"[255, 255, 0]",0.28372986700196634
"[255, 0, 0]",0.35941182599708554
"[255, 0, 0]",0.6274818350029818
"[255, 0, 0]",0.405248336999648
"[255, 255, 0]",0.38289095599975553
"[255, 0, 0]",0.3582640040003753
"[255, 255, 0]",0.3509982720024709
"[255, 255, 0]",0.3231863869987137
"[255, 0, 0]",0.28362295500119217
"[255, 255, 0]",0.3610189179998997
"[255, 255, 0]",0.3317116590005753
"[255, 0, 0]",0.42610349700044026
"[255, 0, 0]",0.34908988300230703
"[255, 0, 0]",0.357933008002874
"[255, 0, 0]",0
"[255, 255, 0]",0.323747299000388
"[255, 255, 0]",0.36521146900122403
"[255, 0, 0]",0.30280555699937395
"[255, 0, 0]",0.465601191001042
"[255, 0, 0]",0.23767228799988516
"[255, 255, 0]",0.3200125180010218
"[255, 255, 0]",0.3160303920012666
"[255, 255, 0]",0.302169665999827
"[255, 0, 0]",0.37245154999982333
"[255, 0, 0]",0.28140398600226035
"[255, 255, 0]",0.3529679120001674
"[255, 255, 0]",0.30596858500211965
"[255, 0, 0]",0.3844926489982754
"[255, 255, 0]",0.4102811209995707
"[255, 255, 0]",0.39087129600011394
"[255, 0, 0]",0.29764113499913947
"[255, 255, 0]",0.33412909799881163
"[255, 0, 0]",0.44422516800113954
"[255, 255, 0]",0.3469639989998541
"[255, 255, 0]",0.29387991499970667
"[255, 255, 0]",0.29777402199761127
"[255, 0, 0]",0.274672064002516
"[255, 0, 0]",0.28598671600047965
"[255, 0, 0]",0.2625641500017082
"[255, 255, 0]",0
"[255, 0, 0]",0.35309259799760184
"[255, 255, 0]",0.32878930299921194
"[255, 0, 0]",0.3209066780000285
"[255, 0, 0]",0
"[255, 0, 0]",0.31077712399928714
"[255, 255, 0]",0.3376517579999927
"[255, 0, 0]",0.3641742450017773
"[255, 255, 0]",0.3323608879982203
"[255, 0, 0]",0.3333399129987811
"[255, 255, 0]",0.3651507260001381
"[255, 0, 0]",0.31545170599929406
"[255, 255, 0]",0.3377118230018823
"[255, 255, 0]",0.282787513002404
"[255, 255, 0]",0.2833992779997061
"[255, 0, 0]",0.3340020510004251
"[255, 0, 0]",0.37692342499940423
"[255, 255, 0]",0.32595401800062973
"[255, 0, 0]",0.3770705579991045
"[255, 0, 0]",0.3727399020026496
"[255, 0, 0]",0.4451660439990519
"[255, 0, 0]",0.33339559999876656
"[255, 255, 0]",0.31539716399856843
"[255, 255, 0]",0.35987991399815655
"[255, 0, 0]",0.36285886599944206
"[255, 255, 0]",0.4900076509984501
"[255, 0, 0]",0.28245051900012186
"[255, 0, 0]",0.3211155909993977
"[255, 0, 0]",0.3219385849988612
"[255, 0, 0]",0.3074798340021516
"[255, 255, 0]",0.29299408299993956
"[255, 255, 0]",0.29280044099868974
"[255, 255, 0]",0.39513824499954353
"[255, 255, 0]",0.3174980650001089
"[255, 255, 0]",0.30708101200070814
"[255, 255, 0]",0.333515972000896
"[255, 255, 0]",0.26439638000010746
"[255, 255, 0]",0.2735418020020006
"[255, 0, 0]",0.29699376699863933
"[255, 255, 0]",0.3873333260016807
"[255, 255, 0]",0.31736374300089665
"[255, 0, 0]",0.32685766700160457
"[255, 0, 0]",0.2771464819998073
"[255, 0, 0]",0.267287138998654
"[255, 0, 0]",0.2679471819974424
"[255, 0, 0]",0.4823817989999952
"[255, 0, 0]",0.2746279790007975
"[255, 255, 0]",0.3425036890002957
"[255, 0, 0]",0.3363761600012367
"[255, 255, 0]",0.33020664200012106
"[255, 255, 0]",0.37752963800085126
"[255, 255, 0]",0.3022029380008462
"[255, 255, 0]",0.31867816200247034
"[255, 255, 0]",0.31572176000190666
"[255, 255, 0]",0.3024853050010279
"[255, 0, 0]",0.34974291199978325
"[255, 255, 0]",0.3370888310018927
"[255, 255, 0]",0.41850087200145936
"[255, 255, 0]",0.268197526998847
"[255, 255, 0]",0.2965911280007276
"[255, 255, 0]",0.29367584500141675
"[255, 255, 0]",0.6322713919980743
"[255, 255, 0]",0.2824223620009434
"[255, 255, 0]",0.3163784600001236
"[255, 0, 0]",0.30846549900161335
"[255, 255, 0]",0.3103048110024247
"[255, 0, 0]",0.3256504559976747
