Color,Reaction Time (s)
"[255, 255, 0]",0.6241703140003665
"[255, 0, 0]",0.3089713049994316
"[255, 255, 0]",0.29935603700141655
"[255, 0, 0]",0.31493951299853506
"[255, 0, 0]",0.477967496997735
"[255, 255, 0]",0.24896265200004564
"[255, 0, 0]",0.3136568410009204
"[255, 255, 0]",0.30614771700129495
"[255, 255, 0]",0.41137266700025066
"[255, 255, 0]",0.2790375340009632
"[255, 255, 0]",0.28797200199915096
"[255, 255, 0]",0.26122504900195054
"[255, 0, 0]",0.3630595139984507
"[255, 255, 0]",0.4456698720023269
"[255, 255, 0]",0.49190209999869694
"[255, 0, 0]",0.3314520880012424
"[255, 255, 0]",0
"[255, 255, 0]",0.29146218199821305
"[255, 255, 0]",0.3006791549996706
"[255, 0, 0]",0.3459541059964977
"[255, 0, 0]",0.4543438420005259
"[255, 255, 0]",0.33879721899938886
"[255, 255, 0]",0.4841371930015157
"[255, 0, 0]",0.28685858999961056
"[255, 255, 0]",0.48870450599861215
"[255, 0, 0]",0.31579974200212746
"[255, 0, 0]",0.3326542979993974
"[255, 255, 0]",0.35968269300065003
"[255, 255, 0]",0.25751957099782885
"[255, 255, 0]",0.33229679000214674
"[255, 255, 0]",0.2752386510001088
"[255, 255, 0]",0.2591918700018141
"[255, 255, 0]",0.2724078579994966
"[255, 0, 0]",0.3776841090002563
"[255, 255, 0]",0.32269920999897295
"[255, 255, 0]",0.5152453039991087
"[255, 255, 0]",0.3166086500023084
"[255, 0, 0]",0.3755695339968952
"[255, 0, 0]",0.4277150170019013
"[255, 255, 0]",0.3771752300017397
"[255, 255, 0]",0.27579908900224837
"[255, 0, 0]",0.32426408500032267
"[255, 255, 0]",0.3369488349999301
"[255, 255, 0]",0.3380816790013341
"[255, 0, 0]",0.32459335000021383
"[255, 255, 0]",0.30027536600027815
"[255, 0, 0]",0.3492386899997655
"[255, 255, 0]",0.3220014100006665
"[255, 255, 0]",0.29908295499990345
"[255, 255, 0]",0.29280332399866893
"[255, 255, 0]",0.31757641399963177
"[255, 255, 0]",0.3593469900006312
"[255, 0, 0]",1.1061046819995681
"[255, 0, 0]",0.362336817997857
"[255, 255, 0]",0.35052879599970765
"[255, 0, 0]",0.3612080339989916
"[255, 0, 0]",0.25910082900009
"[255, 0, 0]",0.3386341599980369
"[255, 0, 0]",0.3180827029973443
"[255, 0, 0]",0.30834708899783436
"[255, 255, 0]",0.3971116840002651
"[255, 255, 0]",0.25365958499969565
"[255, 255, 0]",0.33873688399762614
"[255, 255, 0]",0.28755896800066694
"[255, 0, 0]",0
"[255, 0, 0]",0.2870377910003299
"[255, 255, 0]",0.4933984809977119
"[255, 0, 0]",0.3382570030007628
"[255, 255, 0]",0.33250536500054295
"[255, 0, 0]",0.361727265000809
"[255, 0, 0]",0.3908049999990908
"[255, 0, 0]",0.3475068419975287
"[255, 0, 0]",0.3551788149998174
"[255, 0, 0]",0.2826880810025614
"[255, 255, 0]",0
"[255, 0, 0]",0.28871032400275
"[255, 0, 0]",0.38876636599889025
"[255, 255, 0]",0.37453294600345544
"[255, 0, 0]",0.3346243250016414
"[255, 255, 0]",0.38670663100128877
"[255, 0, 0]",0.3952594289985427
"[255, 0, 0]",0.34056003500154475
"[255, 0, 0]",0.3144293179975648
"[255, 255, 0]",0.38125015100013115
"[255, 0, 0]",0.46443402800287004
"[255, 255, 0]",0.4766271329972369
"[255, 0, 0]",0.32001230899913935
"[255, 0, 0]",0.32888593900133856
"[255, 0, 0]",0.3639339959991048
"[255, 0, 0]",0.38953149799999665
"[255, 255, 0]",0.3577617150003789
"[255, 255, 0]",0.3426579650003987
"[255, 0, 0]",0.3800960219996341
"[255, 0, 0]",0.31025718599994434
"[255, 0, 0]",0.2939846100016439
"[255, 0, 0]",0.3025286320007581
"[255, 0, 0]",0.3147128669988888
"[255, 0, 0]",0.27027421399907325
"[255, 255, 0]",0.3161318089987617
"[255, 0, 0]",0.6311203549994389
"[255, 255, 0]",0.3161117599993304
"[255, 0, 0]",0.34763545199893997
"[255, 0, 0]",0.37697824700080673
"[255, 255, 0]",0.35141173699958017
"[255, 255, 0]",0.40592709699922125
"[255, 0, 0]",0.3149538930010749
"[255, 255, 0]",0.2712979700008873
"[255, 255, 0]",0.31315726800312405
"[255, 0, 0]",0.49624297699847375
"[255, 255, 0]",0.252984587001265
"[255, 0, 0]",0.33368505100224866
"[255, 0, 0]",0.37191270000039367
"[255, 0, 0]",0.37623643899860326
"[255, 255, 0]",0.2956435619998956
"[255, 0, 0]",0.3117800569998508
"[255, 0, 0]",0.38206776500010164
"[255, 255, 0]",0.3367831229988951
"[255, 255, 0]",0.35855233400070574
"[255, 0, 0]",0.3908874660010042
"[255, 255, 0]",0.3177711879980052
"[255, 255, 0]",0.34677605999968364
"[255, 0, 0]",0.28487369700087584
"[255, 255, 0]",0.24179134499718202
