Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,1/2/3 Colors
"[255, 0, 0]",2,0,0.41689768800279126,1,1
"[255, 0, 0]",2,10,0.35543703800067306,1,1
"[255, 0, 0]",2,20,0.4088905940006953,1,1
"[255, 0, 0]",2,25,0.44034362900129054,1,1
"[255, 0, 0]",0,30,0.5374104640068254,1,1
"[255, 0, 0]",2,35,0.4231876359990565,1,1
"[255, 0, 0]",0,0,0.795628605003003,1,1
"[255, 0, 0]",2,10,0.5742327580082929,1,1
"[255, 0, 0]",0,40,0.5355592580017401,1,1
"[255, 0, 0]",0,30,0.33423710000352,1,1
"[255, 0, 0]",2,20,0.32063251099316403,1,1
"[255, 0, 0]",0,15,0.47728047300188337,1,1
"[255, 0, 0]",2,30,0.3466541609959677,1,1
"[255, 0, 0]",0,0,0.37168788599956315,1,1
"[255, 0, 0]",0,30,0.4041548390086973,1,1
"[255, 0, 0]",0,35,0.33365498199418653,1,1
"[255, 0, 0]",2,35,0.44177468300040346,1,1
"[255, 0, 0]",2,25,0.2630315300048096,1,1
"[255, 0, 0]",0,5,0.40036195098946337,1,1
"[255, 0, 0]",2,40,0.368263451004168,1,1
"[255, 0, 0]",0,10,0.34633955000026617,1,1
"[255, 0, 0]",2,0,0.373647055006586,1,1
"[255, 0, 0]",0,25,0.36488995800027624,1,1
"[255, 0, 0]",2,40,0.44484028599981684,1,1
"[255, 0, 0]",0,25,0.3773844860115787,1,1
"[255, 0, 0]",0,5,0.4172207619994879,1,1
"[255, 0, 0]",0,15,0.406330487006926,1,1
"[255, 0, 0]",2,15,0.3783198979945155,1,1
"[255, 0, 0]",0,10,0.455435720999958,1,1
"[255, 0, 0]",0,25,0.446166933994391,1,1
"[255, 0, 0]",0,15,0.3816388819977874,1,1
"[255, 0, 0]",0,20,0.43008718300552573,1,1
"[255, 0, 0]",2,20,0.3567697629914619,1,1
"[255, 0, 0]",2,35,0.3973023730068235,1,1
"[255, 0, 0]",0,10,0.3504590289958287,1,1
"[255, 0, 0]",2,0,0.3908148640039144,1,1
"[255, 0, 0]",0,35,0.4656147170026088,1,1
"[255, 0, 0]",0,40,0.46837128400511574,1,1
"[255, 0, 0]",0,15,0.4622148019989254,1,1
"[255, 0, 0]",2,15,0.35440717900928576,1,1
"[255, 0, 0]",2,35,0.3750604410015512,1,1
"[255, 0, 0]",0,5,0.3493396499980008,1,1
"[255, 0, 0]",2,5,0.37855384999420494,1,1
"[255, 0, 0]",2,15,0.4042699549900135,1,1
"[255, 0, 0]",2,40,0.3855489999987185,1,1
"[255, 0, 0]",0,30,0.42038621800020337,1,1
"[255, 0, 0]",2,25,0.39078711699403357,1,1
"[255, 0, 0]",0,10,0.39022476600075606,1,1
"[255, 0, 0]",0,25,0.4006184600002598,1,1
"[255, 0, 0]",0,5,0.43159503700735513,1,1
"[255, 0, 0]",2,5,0.37172696700145025,1,1
"[255, 0, 0]",0,0,0.3827073169959476,1,1
"[255, 0, 0]",2,5,0.3703288909891853,1,1
"[255, 0, 0]",2,30,0.38978240100550465,1,1
"[255, 0, 0]",2,30,0.43207952700322494,1,1
"[255, 0, 0]",2,0,0.931943670992041,1,1
"[255, 0, 0]",2,25,0.27269383300154004,1,1
"[255, 0, 0]",2,5,0.13123479500063695,1,1
"[255, 0, 0]",0,35,1.158026653007255,1,1
"[255, 0, 0]",0,20,0.31714705799822696,1,1
"[255, 0, 0]",2,30,0.5125140839954838,1,1
"[255, 0, 0]",0,40,0.3181449319963576,1,1
"[255, 0, 0]",0,20,0.29083865400752984,1,1
"[255, 0, 0]",0,35,0.36012277599365916,1,1
"[255, 0, 0]",0,0,0.5815118419995997,1,1
"[255, 0, 0]",2,10,0.36814365099417046,1,1
"[255, 0, 0]",2,15,0.28575110700330697,1,1
"[255, 0, 0]",2,10,0.2725779749889625,1,1
"[255, 0, 0]",2,20,0.2847505380050279,1,1
"[255, 0, 0]",0,40,0.07300507598847616,1,1
"[255, 0, 0]",2,40,0.23908784199738875,1,1
"[255, 0, 0]",0,20,0.4724733559996821,1,1
"[0, 255, 0]",2,10,0.5510252700041747,1,2
"[0, 255, 0]",0,35,0.44639730401104316,1,2
"[255, 0, 0]",2,5,0.4737267840100685,1,2
"[0, 255, 0]",2,20,0.658067640993977,1,2
"[255, 0, 0]",2,35,0.5017124449950643,1,2
"[0, 255, 0]",2,20,0.4537414749938762,1,2
"[255, 0, 0]",2,25,0.5094184829940787,1,2
"[255, 0, 0]",2,5,0.7148521280032583,1,2
"[255, 0, 0]",2,5,0.47379544300201815,1,2
"[0, 255, 0]",0,15,0.6386894220049726,1,2
"[255, 0, 0]",2,25,0.5349257150082849,0,2
"[255, 0, 0]",2,0,0.44907225799397565,1,2
"[255, 0, 0]",0,20,0.45269714599999133,1,2
"[255, 0, 0]",0,0,0.3636889409972355,1,2
"[0, 255, 0]",2,10,0.46317507200001273,1,2
"[0, 255, 0]",0,0,0.5289250999921933,1,2
"[255, 0, 0]",0,40,0.4756275010004174,1,2
"[255, 0, 0]",2,0,0.4191299640078796,1,2
"[0, 255, 0]",2,20,0.4930186959973071,1,2
"[255, 0, 0]",0,40,0.5672016610042192,1,2
"[0, 255, 0]",2,30,0.48149365800782107,1,2
"[0, 255, 0]",0,15,0.46618779200071003,1,2
"[255, 0, 0]",2,35,0.5722975809912896,1,2
"[255, 0, 0]",2,25,0.585575206001522,1,2
"[0, 255, 0]",2,15,0.667993145994842,1,2
"[0, 255, 0]",0,30,0.44278809799288865,1,2
"[255, 0, 0]",0,10,0.5091041770065203,1,2
"[0, 255, 0]",2,40,0.5573415799881332,1,2
"[255, 0, 0]",0,25,0.5171127979992889,0,2
"[255, 0, 0]",2,30,0.43274175000260584,1,2
"[255, 0, 0]",2,40,0.45444118000159506,1,2
"[255, 0, 0]",2,5,0.469263385006343,1,2
"[255, 0, 0]",2,25,0.41200703600770794,1,2
"[255, 0, 0]",0,0,0.400197170994943,1,2
"[0, 255, 0]",0,20,0.5335886929970002,1,2
"[255, 0, 0]",0,0,0.5189494780061068,1,2
"[0, 255, 0]",2,20,0.47023887500108685,1,2
"[0, 255, 0]",0,40,0.5703106790024322,1,2
"[0, 255, 0]",0,25,0.5046485450002365,1,2
"[0, 255, 0]",2,30,0.6777631320001092,1,2
"[0, 255, 0]",0,10,0.5718807599914726,1,2
"[0, 255, 0]",2,25,0.42981907600187697,1,2
