Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,1/2/3 Colors
"[0, 0, 255]",2,30,0.4876590240019141,1,1
"[0, 0, 255]",0,5,0.4968914070050232,1,1
"[0, 0, 255]",2,40,0.42544025598908775,1,1
"[0, 0, 255]",2,0,0.39826347900088876,1,1
"[0, 0, 255]",2,25,0.4010325420094887,1,1
"[0, 0, 255]",0,0,0.34604799300723244,1,1
"[0, 0, 255]",0,25,0.385394618002465,1,1
"[0, 0, 255]",2,40,0.3649710320023587,1,1
"[0, 0, 255]",0,20,0.3483789580059238,1,1
"[0, 0, 255]",0,20,0.32113205699715763,1,1
"[0, 0, 255]",2,5,0.3011965459882049,1,1
"[0, 0, 255]",2,25,0.37400284499744885,1,1
"[0, 0, 255]",2,25,0.4400883700000122,1,1
"[0, 0, 255]",0,30,0.42882234101125505,1,1
"[0, 0, 255]",2,0,0.4051516019972041,1,1
"[0, 0, 255]",2,5,0.37875496999186,1,1
"[0, 0, 255]",2,10,0.3810209999937797,1,1
"[0, 0, 255]",0,30,0.3977546250098385,1,1
"[0, 0, 255]",0,5,0.38273712299996987,1,1
"[0, 0, 255]",0,40,0.37098918500123546,1,1
"[0, 0, 255]",2,30,0.24966998799936846,1,1
"[0, 0, 255]",2,0,0.3842490450042533,1,1
"[0, 0, 255]",0,40,0.38691668001411017,1,1
"[0, 0, 255]",2,10,0.3597305180010153,1,1
"[0, 0, 255]",0,10,0.38931574099115096,1,1
"[0, 0, 255]",2,25,0.34311179000360426,1,1
"[0, 0, 255]",0,25,0.08286539198888931,1,1
"[0, 0, 255]",0,40,0.3387607839977136,1,1
"[0, 0, 255]",2,15,0.3890706889942521,1,1
"[0, 0, 255]",0,25,0.4265057209995575,1,1
"[0, 0, 255]",0,20,0.5001187270099763,1,1
"[0, 0, 255]",2,30,0.3773214430111693,1,1
"[0, 0, 255]",2,10,0.4210760479909368,1,1
"[0, 0, 255]",0,35,0.4225359410047531,1,1
"[0, 0, 255]",0,15,0.44304964700131677,1,1
"[0, 0, 255]",2,35,0.36470052700315136,1,1
"[0, 0, 255]",2,20,0.4392008199938573,1,1
"[0, 0, 255]",2,35,0.45791394999832846,1,1
"[0, 0, 255]",0,5,0.4296554489992559,1,1
"[0, 0, 255]",0,15,0.40462067200860474,1,1
"[0, 0, 255]",0,15,0.43155233399011195,1,1
"[0, 0, 255]",2,5,0.35918895099894144,1,1
"[0, 0, 255]",2,15,0.4065075480029918,1,1
"[0, 0, 255]",2,40,0.4431517850025557,1,1
"[0, 0, 255]",0,5,0.40578214499691967,1,1
"[0, 0, 255]",0,20,0.47257686499506235,1,1
"[0, 0, 255]",2,15,0.4059736010094639,1,1
"[0, 0, 255]",2,10,0.3776370819978183,1,1
"[0, 0, 255]",2,0,0.35685301400371827,1,1
"[0, 0, 255]",2,15,0.3818628150038421,1,1
"[0, 0, 255]",0,35,0.4047948700026609,1,1
"[0, 0, 255]",2,35,0.4111675930034835,1,1
"[0, 0, 255]",0,15,0.4082595259969821,1,1
"[0, 0, 255]",2,30,0.3739384969958337,1,1
"[0, 0, 255]",2,20,0.4095865589915775,1,1
"[0, 0, 255]",0,0,0.4137339370063273,1,1
"[0, 0, 255]",0,0,0.3697679019969655,1,1
"[0, 0, 255]",2,20,0.3603971870034002,1,1
