Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,1/2/3 Colors
"[0, 0, 255]",2,40,1.397301257995423,0,1
"[0, 0, 255]",2,15,0.4614004970062524,1,1
"[0, 0, 255]",0,30,0.4014844439952867,1,1
"[0, 0, 255]",0,0,0.3786345950065879,1,1
"[0, 0, 255]",0,0,0.40826837001077365,1,1
"[0, 0, 255]",2,20,0.3986874359979993,1,1
"[0, 0, 255]",0,40,0.47876820000237785,1,1
"[0, 0, 255]",2,0,0.4171769699896686,1,1
"[0, 0, 255]",0,15,0.40348103700671345,1,1
"[0, 0, 255]",2,0,0.4136503710033139,1,1
"[0, 0, 255]",0,5,0.41093903000000864,1,1
"[0, 0, 255]",0,10,0.39355629099009093,1,1
"[0, 0, 255]",0,15,0.5511082519951742,1,1
"[0, 0, 255]",2,5,0.3811622899957001,1,1
"[0, 0, 255]",2,30,0.3968337859987514,1,1
"[0, 0, 255]",2,5,0.3907083989906823,1,1
"[0, 0, 255]",0,35,0.393745993002085,1,1
"[0, 0, 255]",0,20,0.4134341009921627,1,1
"[0, 0, 255]",0,5,0.3694636510044802,1,1
"[0, 0, 255]",2,15,0.35761290999653284,1,1
"[0, 0, 255]",0,40,0.367796949998592,1,1
"[0, 0, 255]",2,25,0.37549925698840525,1,1
"[0, 0, 255]",0,5,0.38401213999895845,1,1
"[0, 0, 255]",0,30,0.39412594700115733,1,1
"[0, 0, 255]",2,10,0.41116396900906693,1,1
"[0, 0, 255]",2,10,0.4465072799939662,1,1
"[0, 0, 255]",0,25,0.37570538799627684,1,1
"[0, 0, 255]",0,25,0.39353660099732224,1,1
"[0, 0, 255]",0,30,0.4014427830115892,1,1
"[0, 0, 255]",2,5,0.3590737079939572,1,1
"[0, 0, 255]",2,20,0.35502219600311946,1,1
"[0, 0, 255]",0,10,0.3826982109894743,1,1
"[0, 0, 255]",2,30,0.41612395700940397,1,1
"[0, 0, 255]",0,25,0.327531203001854,1,1
"[0, 0, 255]",0,30,0.43293357400398236,1,1
"[0, 0, 255]",0,20,0.3620061810070183,1,1
"[0, 0, 255]",2,30,0.4228641449881252,1,1
"[0, 0, 255]",0,20,0.4009123780124355,1,1
"[0, 0, 255]",2,40,0.3865761809865944,1,1
"[0, 0, 255]",2,35,0.40080533300351817,1,1
"[0, 0, 255]",0,10,0.3499659949884517,1,1
"[0, 0, 255]",0,15,0.3801920710102422,1,1
"[0, 0, 255]",2,25,0.43588422500761226,1,1
"[0, 0, 255]",2,10,0.39631063598790206,1,1
"[0, 0, 255]",2,25,0.34468010200362187,1,1
"[0, 0, 255]",0,0,0.37360438899486326,1,1
"[0, 0, 255]",2,35,0.3955253619933501,1,1
"[0, 0, 255]",0,15,0.3525723970087711,1,1
"[0, 0, 255]",0,40,0.4260031110025011,1,1
"[0, 0, 255]",0,10,0.37673793999420013,1,1
"[0, 0, 255]",2,20,0.3711533799942117,1,1
"[0, 0, 255]",2,35,0.4177328249934362,1,1
"[0, 0, 255]",0,20,0.3408342049951898,1,1
"[0, 0, 255]",2,35,0.36617748100252356,1,1
"[0, 0, 255]",0,40,0.4020241160033038,1,1
"[0, 0, 255]",2,5,0.3558337959984783,1,1
"[0, 0, 255]",0,0,0.3717256109957816,1,1
"[0, 0, 255]",2,40,0.3401240810053423,1,1
"[0, 0, 255]",2,0,0.38890112400986254,1,1
"[0, 0, 255]",2,20,0.3614130399946589,1,1
"[0, 0, 255]",2,25,0.3728877819958143,1,1
"[0, 0, 255]",0,35,0.38589581500855274,1,1
"[0, 0, 255]",2,0,0.8349016099964501,1,1
"[0, 0, 255]",0,35,0.36257497500628233,1,1
"[0, 0, 255]",0,5,0.3481674340000609,1,1
"[0, 0, 255]",0,25,0.32292416800919455,1,1
"[0, 0, 255]",0,35,0.324552231002599,1,1
"[0, 0, 255]",2,30,0.4010855420056032,1,1
"[0, 0, 255]",2,10,0.4091135749913519,1,1
"[0, 0, 255]",2,15,0.39470231799350586,1,1
"[0, 0, 255]",2,15,0.34754876600345597,1,1
"[0, 0, 255]",2,40,0.40205202500510495,1,1
"[0, 0, 255]",2,0,0.4841097019962035,1,2
"[0, 0, 255]",2,5,0.36222353800258134,1,2
"[255, 255, 0]",0,0,0.3737263060029363,0,2
"[255, 255, 0]",0,20,0.42189955599315,1,2
"[0, 0, 255]",0,35,0.5860473469947465,1,2
"[255, 255, 0]",2,30,0.5682823850074783,1,2
"[255, 255, 0]",0,20,0.4274158750049537,1,2
"[0, 0, 255]",0,30,0.45994367900129873,0,2
"[0, 0, 255]",2,25,0.4243110399984289,1,2
"[0, 0, 255]",0,0,0.42919850700127427,1,2
"[255, 255, 0]",2,40,0.5659000120067503,1,2
"[0, 0, 255]",0,10,0.4313893660000758,1,2
"[0, 0, 255]",2,10,0.46023945799970534,1,2
"[0, 0, 255]",0,10,0.38642940399586223,1,2
"[255, 255, 0]",0,30,0.4838153730088379,1,2
"[255, 255, 0]",0,15,0.4834235570015153,1,2
"[0, 0, 255]",0,40,0.5647893910063431,1,2
"[255, 255, 0]",2,10,0.4614788359904196,1,2
"[0, 0, 255]",2,25,0.562647205995745,1,2
"[255, 255, 0]",2,20,0.5098858699930133,1,2
"[255, 255, 0]",0,40,0.43722473201341927,1,2
"[255, 255, 0]",0,15,0.44308665501012,1,2
"[0, 0, 255]",0,35,0.5269225829979405,1,2
"[255, 255, 0]",2,5,0.4930696740048006,1,2
"[255, 255, 0]",2,30,0.40140727900143247,1,2
