Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,1/2/3 Colors
"[255, 0, 0]",0,20,0.5421249159999206,1,1
"[255, 0, 0]",0,20,0.4402400900007706,1,1
"[255, 0, 0]",0,30,0.4722844019997865,1,1
"[255, 0, 0]",0,15,0.45292636200065317,1,1
"[255, 0, 0]",2,0,0.4422760979996383,1,1
"[255, 0, 0]",0,10,0.4653709330004858,1,1
"[255, 0, 0]",0,35,0.5229073220007194,1,1
"[255, 0, 0]",0,10,0.4867180660003214,1,1
"[255, 0, 0]",0,0,0.4592717490004361,1,1
"[255, 0, 0]",0,25,0.593841008999334,1,1
"[255, 0, 0]",2,5,0.45044640000014624,1,1
"[255, 0, 0]",2,15,0.44688529999984894,1,1
"[255, 0, 0]",2,20,0.42237249500067264,1,1
"[255, 0, 0]",2,10,0.48766766500011727,1,1
"[255, 0, 0]",2,15,0.4287723819998064,1,1
"[255, 0, 0]",2,0,0.47711058700042486,1,1
"[255, 0, 0]",0,20,0.41185047300041333,1,1
"[255, 0, 0]",2,25,0.4630232399995293,1,1
"[255, 0, 0]",2,25,0.40848177799944096,1,1
"[255, 0, 0]",0,35,0.39675696499944024,1,1
"[255, 0, 0]",0,10,0.4455956949996107,1,1
"[255, 0, 0]",2,25,0.41673589200036076,1,1
"[255, 0, 0]",0,5,0.39857698600008007,1,1
"[255, 0, 0]",0,0,0.42096198799936246,1,1
"[255, 0, 0]",0,15,0.45220658499965793,1,1
"[255, 0, 0]",2,10,0.44370603900006245,1,1
"[255, 0, 0]",2,0,0.4380571940000664,1,1
"[255, 0, 0]",0,5,0.42474012699949526,1,1
"[255, 0, 0]",0,25,0.4707945509999263,1,1
"[255, 0, 0]",0,35,0.47415474699937477,1,1
"[255, 0, 0]",2,35,0.42747524100013834,1,1
"[255, 0, 0]",2,40,0.4575499980001041,1,1
"[255, 0, 0]",0,40,0.4448103599997921,1,1
"[255, 0, 0]",2,20,0.4475865869999325,1,1
"[255, 0, 0]",2,40,0.43987143600043055,1,1
"[255, 0, 0]",2,40,0.4661282739998569,1,1
"[255, 0, 0]",2,10,0.44360237199998664,1,1
"[255, 0, 0]",2,5,0.41253314100049465,1,1
"[255, 0, 0]",2,35,0.39351618599994254,1,1
"[255, 0, 0]",0,30,0.4553274670006431,1,1
"[255, 0, 0]",0,25,0.4021983929997077,1,1
"[255, 0, 0]",2,20,0.37118349200045486,1,1
"[255, 0, 0]",0,0,0.43754253599945514,1,1
"[255, 0, 0]",2,15,0.413871884999935,1,1
"[255, 0, 0]",0,10,0.4112768619997951,1,1
"[255, 0, 0]",2,30,0.40305421499942895,1,1
"[255, 0, 0]",0,40,0.4262866830003986,1,1
"[255, 0, 0]",0,25,0.4063864889994875,1,1
"[255, 0, 0]",0,30,0.39992663399971207,1,1
"[255, 0, 0]",2,0,0.4282617310000205,1,1
"[255, 0, 0]",2,40,0.40720561599937355,1,1
"[255, 0, 0]",2,20,0.4538759220004067,1,1
"[255, 0, 0]",0,15,0.43219612800021423,1,1
"[255, 0, 0]",2,25,0.4580847030001678,1,1
"[255, 0, 0]",0,20,0.42335483500028204,1,1
"[255, 0, 0]",0,40,0.4388784560005661,1,1
"[255, 0, 0]",0,5,0.4059669889993529,1,1
"[255, 0, 0]",0,15,0.4076869660002558,1,1
"[255, 0, 0]",0,35,0.4735926670000481,1,1
"[255, 0, 0]",0,40,0.4772932280002351,1,1
"[255, 0, 0]",2,5,0.4192198999999164,1,1
"[255, 0, 0]",2,5,0.3827175869992061,1,1
"[255, 0, 0]",2,30,0.42166202899989,1,1
"[255, 0, 0]",2,15,0.3469256190001033,1,1
"[255, 0, 0]",2,30,0.5925988049993975,1,1
