Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,1/2/3 Colors
"[0, 0, 255]",0,15,3.2395949860074325,1,1
"[0, 0, 255]",2,20,0.39200004999293014,1,1
"[0, 0, 255]",0,5,0.4118401140003698,1,1
"[0, 0, 255]",0,40,0.46595383700332604,1,1
"[0, 0, 255]",0,30,0.4319557300041197,1,1
"[0, 0, 255]",0,35,0.3533797370037064,1,1
"[0, 0, 255]",0,25,0.36564680900482927,1,1
"[0, 0, 255]",0,25,0.2100015479954891,1,1
"[0, 0, 255]",2,10,0.3543860360077815,1,1
"[0, 0, 255]",0,0,0.37094712399994023,1,1
"[0, 0, 255]",2,35,0.40557882099528797,1,1
"[0, 0, 255]",0,15,0.39194410099298693,1,1
"[0, 0, 255]",0,5,0.4598708859994076,1,1
"[0, 0, 255]",2,25,0.3863756429927889,1,1
"[0, 0, 255]",0,30,0.4446544310048921,1,1
"[0, 0, 255]",2,40,0.38967541899182834,1,1
"[0, 0, 255]",2,35,0.4143147989962017,1,1
"[0, 0, 255]",0,35,0.4398711120011285,1,1
"[0, 0, 255]",0,5,0.34103755200339947,1,1
"[0, 0, 255]",2,40,0.41509342499193735,1,1
"[0, 0, 255]",0,10,0.3744481970061315,1,1
"[0, 0, 255]",0,40,0.3490587350097485,1,1
"[0, 0, 255]",0,0,0.6946775680116843,1,1
"[0, 0, 255]",2,35,0.39270099000714254,1,1
"[0, 0, 255]",2,25,0.4000591279909713,1,1
"[0, 0, 255]",2,5,0.3608502819988644,1,1
"[0, 0, 255]",2,40,0.7470446029910818,1,1
"[0, 0, 255]",0,25,0.3842678369983332,1,1
"[0, 0, 255]",0,0,0.40427562200056855,1,1
"[0, 0, 255]",0,10,0.4065580880123889,1,1
"[0, 0, 255]",2,15,0.43768858100520447,1,1
"[0, 0, 255]",2,0,0.7822684239945374,1,1
"[0, 0, 255]",2,15,0.34407299899612553,1,1
"[0, 0, 255]",0,20,0.39354539501073305,1,1
"[0, 0, 255]",0,20,0.426769965008134,1,1
"[0, 0, 255]",2,15,0.3709695410070708,1,1
"[0, 0, 255]",0,20,0.918141492002178,1,1
"[0, 0, 255]",2,5,0.41140392200031783,1,1
"[0, 0, 255]",2,0,0.44812178700522054,1,1
"[0, 0, 255]",2,10,0.3836377500119852,1,1
"[0, 0, 255]",2,35,0.4674946279992582,1,1
"[0, 0, 255]",2,25,0.4335932100075297,1,1
"[0, 0, 255]",2,20,0.39816246400005184,1,1
"[0, 0, 255]",2,30,0.40465505499741994,1,1
"[0, 0, 255]",0,30,0.4567360430082772,1,1
"[0, 0, 255]",2,20,0.40493422000145074,1,1
"[0, 0, 255]",0,0,0.41302714600169566,1,1
"[0, 0, 255]",0,5,0.42965902799915057,1,1
"[0, 0, 255]",2,30,0.41100901299796533,1,1
"[0, 0, 255]",2,25,0.44753312300599646,1,1
"[0, 0, 255]",2,0,0.3999425429938128,1,1
"[0, 0, 255]",2,10,0.4646101179969264,1,1
"[0, 0, 255]",2,5,0.45318187899829354,1,1
"[0, 0, 255]",0,15,0.46488305200182367,1,1
"[0, 0, 255]",0,10,0.456023163991631,1,1
"[0, 0, 255]",2,10,0.4292285779956728,1,1
"[0, 0, 255]",0,15,0.5867140380141791,1,1
"[0, 0, 255]",0,10,0.4056378210079856,1,1
"[0, 0, 255]",0,30,0.4424907619977603,1,1
"[0, 0, 255]",0,35,0.5360310390096856,1,1
"[0, 0, 255]",2,30,0.4109778929996537,1,1
"[0, 0, 255]",2,40,0.36450981299276464,1,1
"[0, 0, 255]",2,30,0.3999243169964757,1,1
"[0, 0, 255]",0,25,0.3761649759981083,1,1
"[0, 0, 255]",0,40,0.3832477029936854,1,1
"[0, 0, 255]",2,20,0.3961217620089883,1,1
"[0, 0, 255]",0,35,0.3634525129891699,1,1
"[0, 0, 255]",2,5,0.3493959900079062,1,1
"[0, 0, 255]",0,40,0.3947135780035751,1,1
"[0, 0, 255]",0,20,0.3450857619900489,1,1
"[0, 0, 255]",2,0,0.40873823799483944,1,1
"[0, 0, 255]",2,15,0.3626185940083815,1,1
"[255, 255, 0]",0,5,0.46693413599859923,1,2
"[255, 255, 0]",0,35,0.4216722629935248,1,2
"[255, 255, 0]",0,30,0.4173778029944515,1,2
"[0, 0, 255]",2,40,0.44930285500595346,1,2
"[255, 255, 0]",0,30,0.4197988490050193,1,2
"[0, 0, 255]",0,35,0.401946912999847,0,2
"[255, 255, 0]",0,35,0.5872818600037135,1,2
"[255, 255, 0]",0,35,0.4681634930020664,1,2
"[255, 255, 0]",2,25,0.4665267189993756,1,2
"[255, 255, 0]",0,20,0.42530328799330164,1,2
"[255, 255, 0]",0,20,0.48601356499420945,1,2
"[0, 0, 255]",2,5,0.5954812700074399,1,2
"[255, 255, 0]",2,30,0.42088113899808377,1,2
"[255, 255, 0]",0,5,0.5276669469894841,1,2
"[255, 255, 0]",2,35,0.5143190210073953,1,2
"[0, 0, 255]",0,20,0.5108345390035538,1,2
"[255, 255, 0]",2,10,0.5144578290055506,1,2
"[0, 0, 255]",0,15,0.4544805420009652,1,2
"[0, 0, 255]",0,10,0.513551861004089,1,2
"[255, 255, 0]",2,15,0.47092781400715467,1,2
"[255, 255, 0]",2,35,0.4496670630032895,1,2
"[0, 0, 255]",2,15,0.5924436700006481,1,2
"[0, 0, 255]",0,10,0.6078139119927073,1,2
"[0, 0, 255]",2,5,0.4790650900104083,1,2
"[0, 0, 255]",0,35,0.5037203749961918,1,2
"[0, 0, 255]",2,10,0.42915247300697956,1,2
"[255, 255, 0]",0,15,0.4874450279894518,1,2
"[0, 0, 255]",2,30,0.5300793789938325,1,2
"[255, 255, 0]",2,0,0.4187631500099087,1,2
"[0, 0, 255]",2,35,0.4996981159929419,1,2
"[0, 0, 255]",2,20,0.47497473799739964,1,2
"[0, 0, 255]",2,10,0.4385839640017366,1,2
"[255, 255, 0]",2,20,0.4804823419981403,1,2
"[0, 0, 255]",0,20,0.5463997619954171,1,2
"[0, 0, 255]",0,0,0.5190829979983391,1,2
"[255, 255, 0]",0,25,0.45246016900637187,1,2
"[0, 0, 255]",0,20,0.5551961460005259,1,2
"[255, 255, 0]",2,0,0.49256273699575104,1,2
"[255, 255, 0]",2,0,0.5794510929990793,1,2
