Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,1/2/3 Colors
"[255, 0, 0]",2,10,0.6302771769987885,1,1
"[255, 0, 0]",2,35,0.4120225520018721,1,1
"[255, 0, 0]",0,15,0.3779420890059555,1,1
"[255, 0, 0]",0,35,0.40071425000496674,1,1
"[255, 0, 0]",0,5,0.41574584899353795,1,1
"[255, 0, 0]",0,25,0.38804467899899464,1,1
"[255, 0, 0]",2,40,0.3978037759952713,1,1
"[255, 0, 0]",0,40,0.3977472999977181,1,1
"[255, 0, 0]",2,25,0.39558563599712215,1,1
"[255, 0, 0]",0,40,0.43412610700761434,1,1
"[255, 0, 0]",2,30,0.4021861990040634,1,1
"[255, 0, 0]",0,25,0.402332366007613,1,1
"[255, 0, 0]",0,15,0.4348316069954308,1,1
"[255, 0, 0]",2,10,0.3510213960107649,1,1
"[255, 0, 0]",2,30,0.3805550580000272,1,1
"[255, 0, 0]",0,10,0.39112791800289415,1,1
"[255, 0, 0]",2,15,0.4137887239921838,1,1
"[255, 0, 0]",0,5,0.41529757299576886,1,1
"[255, 0, 0]",2,15,0.4337869549926836,1,1
"[255, 0, 0]",2,0,0.4761290669994196,1,1
"[255, 0, 0]",2,35,0.39543339499505237,1,1
"[255, 0, 0]",2,25,0.39043927800958045,1,1
"[255, 0, 0]",2,20,0.378970745994593,1,1
"[255, 0, 0]",0,10,0.4580914260004647,1,1
"[255, 0, 0]",0,40,0.22648491599829867,1,1
"[255, 0, 0]",2,20,0.030132808999042027,1,1
"[255, 0, 0]",2,35,0.4177893490123097,1,1
"[255, 0, 0]",0,15,0.3797006370004965,1,1
"[255, 0, 0]",2,25,0.400780323005165,1,1
"[255, 0, 0]",2,10,0.41573961700487416,1,1
"[255, 0, 0]",2,15,0.6021734919922892,1,1
"[255, 0, 0]",0,30,0.6454556960088667,1,1
"[255, 0, 0]",2,0,0.5218952759896638,1,1
"[255, 0, 0]",2,35,0.41289916599635035,1,1
"[255, 0, 0]",2,30,0.1804087199998321,1,1
"[255, 0, 0]",2,20,0.38099693099502474,1,1
"[255, 0, 0]",2,5,0.45392433799861465,1,1
