Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,1/2/3 Colors
"[0, 0, 255]",2,35,0.47036654100520536,1,1
"[0, 0, 255]",2,25,0.42995115701342,1,1
"[0, 0, 255]",0,15,0.43031961099768523,1,1
"[0, 0, 255]",2,30,0.4132273950090166,1,1
"[0, 0, 255]",0,30,0.4422314120020019,1,1
"[0, 0, 255]",2,0,0.3710069049993763,1,1
"[0, 0, 255]",2,20,0.40755015300237574,1,1
"[0, 0, 255]",0,5,0.3983393829985289,1,1
"[0, 0, 255]",0,30,0.4423476859956281,1,1
"[0, 0, 255]",0,40,0.4401508060109336,1,1
"[0, 0, 255]",2,10,0.410401905013714,1,1
"[0, 0, 255]",2,20,0.4011824030021671,1,1
"[0, 0, 255]",2,5,0.43508303799899295,1,1
"[0, 0, 255]",2,40,0.40501162300643045,1,1
"[0, 0, 255]",0,15,0.422313672999735,1,1
"[0, 0, 255]",2,0,0.3996453649888281,1,1
"[0, 0, 255]",2,0,0.3962255910009844,1,1
"[0, 0, 255]",0,35,0.4398628449998796,1,1
"[0, 0, 255]",2,25,0.3833759310073219,1,1
"[0, 0, 255]",2,15,0.3920636410039151,1,1
"[0, 0, 255]",2,20,0.4064222650049487,1,1
"[0, 0, 255]",0,35,0.28614673200354446,1,1
"[0, 0, 255]",2,0,0.389939355009119,1,1
"[0, 0, 255]",2,40,0.34546957099519204,1,1
"[0, 0, 255]",0,20,0.421338675005245,1,1
"[0, 0, 255]",0,25,0.38409185799537227,1,1
"[0, 0, 255]",0,0,0.4268122979992768,1,1
"[0, 0, 255]",0,10,0.349274164007511,1,1
"[0, 0, 255]",2,10,0.35037754800578114,1,1
"[0, 0, 255]",0,10,0.39743804300087504,1,1
"[0, 0, 255]",2,30,0.3941290549992118,1,1
"[0, 0, 255]",2,30,0.47052021500712726,1,1
"[0, 0, 255]",2,25,0.3851369240001077,1,1
"[0, 0, 255]",2,35,0.38189304000115953,1,1
"[0, 0, 255]",2,5,0.3890797060012119,1,1
"[0, 0, 255]",0,40,0.38819587700709235,1,1
"[0, 0, 255]",2,15,0.41267449299630243,1,1
"[0, 0, 255]",2,20,0.3894936900032917,1,1
"[0, 0, 255]",2,35,0.39317331300117075,1,1
"[0, 0, 255]",0,35,0.40519882200169377,1,1
"[0, 0, 255]",0,0,0.4163849619944813,1,1
"[0, 0, 255]",2,25,0.3304759290040238,1,1
"[0, 0, 255]",2,30,0.36907407399849035,1,1
"[0, 0, 255]",0,0,0.3926937919895863,1,1
"[0, 0, 255]",0,40,0.4225000979931792,1,1
"[0, 0, 255]",2,40,0.3665906670066761,1,1
"[0, 0, 255]",2,10,0.20937862299615517,1,1
"[0, 0, 255]",0,35,0.4448425699956715,1,1
"[0, 0, 255]",2,35,0.3611227440123912,1,1
"[0, 0, 255]",2,40,0.37531798299460206,1,1
"[0, 0, 255]",0,30,0.43079148800461553,1,1
"[0, 0, 255]",0,15,0.396965807012748,1,1
"[0, 0, 255]",0,5,0.34837828000308946,1,1
"[0, 0, 255]",0,40,0.11037868399580475,1,1
"[0, 0, 255]",0,5,0.35379491400090046,1,1
"[0, 0, 255]",0,10,0.37389557898859493,1,1
"[0, 0, 255]",0,25,0.4179930160025833,1,1
"[0, 0, 255]",0,5,0.3612789049948333,1,1
"[0, 0, 255]",0,25,0.4421570600097766,1,1
"[0, 0, 255]",0,10,0.3706476770021254,1,1
"[0, 0, 255]",2,15,0.3343728799954988,1,1
"[0, 0, 255]",2,5,0.3854642569931457,1,1
"[0, 0, 255]",2,10,0.36009829699469265,1,1
"[0, 0, 255]",0,25,0.41551925500971265,1,1
"[0, 0, 255]",0,20,0.3880352060077712,1,1
"[0, 0, 255]",2,15,0.39683085499564186,1,1
"[0, 0, 255]",0,30,0.4221198740124237,1,1
"[0, 0, 255]",0,15,0.4324005630041938,1,1
"[0, 0, 255]",0,20,0.3379742619872559,1,1
