Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,1/2/3 Colors
"[255, 0, 0]",0,35,0.536091710004257,1,1
"[255, 0, 0]",2,5,0.3742139829992084,1,1
"[255, 0, 0]",0,40,0.36577897900133394,1,1
"[255, 0, 0]",2,25,0.3399289709923323,1,1
"[255, 0, 0]",0,10,0.28231316700112075,1,1
"[255, 0, 0]",0,20,0.3602284980006516,1,1
"[255, 0, 0]",2,40,0.38366241099720355,1,1
"[255, 0, 0]",2,25,0.38298190500063356,1,1
"[255, 0, 0]",0,35,0.3796527469967259,1,1
"[255, 0, 0]",2,15,0.37136797000130173,1,1
"[255, 0, 0]",0,40,0.4150297799933469,1,1
"[255, 0, 0]",2,30,0.3737592560064513,1,1
"[255, 0, 0]",0,30,0.3970621569897048,1,1
"[255, 0, 0]",2,20,0.3971939269977156,1,1
"[255, 0, 0]",2,35,0.3990595619980013,1,1
"[255, 0, 0]",0,30,0.3702425640076399,1,1
"[255, 0, 0]",2,25,0.14034113999514375,1,1
"[255, 0, 0]",2,40,0.33448520000092685,1,1
"[255, 0, 0]",2,30,0.3832268279948039,1,1
"[255, 0, 0]",0,0,0.42683238101017196,1,1
"[255, 0, 0]",0,0,0.5711309330072254,1,1
"[255, 0, 0]",2,5,0.34764710199669935,1,1
"[255, 0, 0]",0,40,0.3373527249932522,1,1
"[255, 0, 0]",0,30,0.4920056109986035,1,1
"[255, 0, 0]",0,15,0.5130090860038763,1,1
"[255, 0, 0]",2,10,0.3887364260008326,1,1
"[255, 0, 0]",2,15,0.37125316899619065,1,1
"[255, 0, 0]",0,25,0.3598574929928873,1,1
"[255, 0, 0]",2,40,0.3950142770045204,1,1
"[255, 0, 0]",2,10,0.3934016249986598,1,1
"[255, 0, 0]",2,0,0.37231472799612675,1,1
"[255, 0, 0]",0,20,0.3767324799991911,1,1
"[255, 0, 0]",0,10,0.3907782820024295,1,1
"[255, 0, 0]",0,15,0.39435556299577,1,1
"[255, 0, 0]",0,5,0.3786657739983639,1,1
"[255, 0, 0]",0,0,0.37077822600258514,1,1
"[255, 0, 0]",0,0,0.4144463839911623,1,1
"[255, 0, 0]",2,40,0.3706740810011979,1,1
"[255, 0, 0]",0,25,0.0841313330020057,1,1
"[255, 0, 0]",2,30,0.34558224701322615,1,1
"[255, 0, 0]",2,10,0.39777637999213766,1,1
"[255, 0, 0]",2,20,0.3349651449971134,1,1
"[255, 0, 0]",0,35,0.2890850399999181,1,1
"[255, 0, 0]",0,25,0.37946151501091663,1,1
"[255, 0, 0]",0,40,0.1607350700069219,1,1
"[255, 0, 0]",0,35,0.3136361090000719,1,1
"[255, 0, 0]",2,20,0.3517707370046992,1,1
"[255, 0, 0]",2,5,0.3937231570016593,1,1
"[255, 0, 0]",0,5,0.34812557698751334,1,1
"[255, 0, 0]",0,5,0.5766420259897131,1,1
"[255, 0, 0]",0,10,0.35167024699330796,1,1
"[255, 0, 0]",2,35,0.3447000680025667,1,1
"[255, 0, 0]",0,30,0.5049573019932723,1,1
"[255, 0, 0]",2,0,0.36503674399864394,1,1
"[255, 0, 0]",2,10,0.3122993159922771,1,1
"[255, 0, 0]",0,20,0.31243599600566085,1,1
"[255, 0, 0]",2,30,0.447151942003984,1,1
"[255, 0, 0]",2,25,0.35778581799240783,1,1
"[255, 0, 0]",0,20,0.1167278159991838,1,1
"[255, 0, 0]",2,35,0.18897329400351737,1,1
"[255, 0, 0]",2,15,0.3911996969982283,1,1
"[255, 0, 0]",2,0,0.3215056590124732,1,1
"[255, 0, 0]",2,15,0.3685461819986813,1,1
"[255, 0, 0]",0,25,0.40274062800745014,1,1
"[255, 0, 0]",0,15,0.06271081999875605,1,1
"[255, 0, 0]",0,15,0.25137495700619183,1,1
"[255, 0, 0]",0,5,0.39945723899290897,1,1
"[255, 0, 0]",2,35,0.34731851499236654,1,1
"[255, 0, 0]",0,10,0.5003090639947914,1,1
