Color,Direction,Eccentricity (degrees),Reaction Time (s)
"[0, 0, 255]",2,40,0.5465467859758064,0
"[255, 255, 0]",2,40,0.615737785003148,0
"[255, 0, 0]",0,35,0.6757147990865633,0
"[255, 0, 0]",0,40,0.5426324759609997,0
"[255, 0, 0]",2,15,0.46214306296315044,0
"[0, 0, 255]",2,40,0.5864005410112441,0
"[255, 0, 0]",2,35,0.5638408300001174,0
"[255, 0, 0]",2,15,0.5380306469742209,0
"[0, 0, 255]",2,25,0.5965666710399091,0
"[255, 255, 0]",0,35,0.7774840310448781,0
"[0, 0, 255]",2,35,0.5874475029995665,0
"[255, 0, 0]",2,20,0.5128694189479575,0
"[255, 255, 0]",0,10,0.47932813107036054,0
"[255, 0, 0]",0,25,0.5495817620540038,0
"[255, 255, 0]",2,5,0.48573862796183676,0
"[255, 0, 0]",2,30,0.6478580519324169,0
"[255, 0, 0]",0,5,0.519906121888198,0
"[255, 255, 0]",0,25,0.5081573890056461,0
"[255, 0, 0]",2,40,0.48789559793658555,0
"[255, 0, 0]",0,30,0.41031452594324946,0
"[0, 0, 255]",0,25,0.568783262046054,0
"[255, 0, 0]",2,20,0.43988040601834655,0
"[255, 0, 0]",2,40,0.42761172901373357,0
"[255, 255, 0]",2,25,0.5293977940455079,0
"[255, 255, 0]",2,30,0.4491514670662582,0
"[255, 0, 0]",0,15,0.5409316900186241,0
"[255, 0, 0]",2,10,0.558458185987547,0
"[255, 255, 0]",0,35,0.6158578470349312,1
"[255, 255, 0]",0,15,0.47009250801056623,0
"[255, 255, 0]",0,35,0.44496223609894514,0
"[0, 0, 255]",0,40,0.5328467829385772,0
"[255, 0, 0]",2,10,0.4875724849989638,0
"[255, 255, 0]",2,20,0.48364970996044576,0
"[255, 255, 0]",0,25,0.4554095900384709,0
"[255, 0, 0]",2,5,0.5940800270764157,0
"[0, 0, 255]",0,10,0.6340903179952875,0
"[0, 0, 255]",0,5,0.5607517269672826,0
"[255, 255, 0]",0,25,0.624640905065462,1
"[0, 0, 255]",2,20,0.5079237209865823,0
"[255, 255, 0]",0,30,0.534560268977657,0
"[255, 0, 0]",2,25,0.6713977399049327,0
"[255, 0, 0]",0,20,0.5178094130242243,0
"[0, 0, 255]",2,15,0.4885824020020664,0
"[0, 0, 255]",2,10,0.44432665104977787,0
"[255, 0, 0]",0,15,0.5317772889975458,0
"[0, 0, 255]",0,35,0.6257046639220789,0
"[0, 0, 255]",2,40,0.6709492389345542,0
"[255, 0, 0]",2,25,0.5537669910117984,0
"[255, 0, 0]",0,30,0.5184417170239612,0
"[0, 0, 255]",0,40,0.6269877880113199,0
"[0, 0, 255]",2,5,0.5910607139812782,0
"[255, 255, 0]",0,10,0.45871823898050934,0
"[0, 0, 255]",0,15,0.532274165074341,0
"[255, 255, 0]",2,5,0.6320203130599111,0
"[255, 255, 0]",2,10,0.6696811879519373,0
"[255, 255, 0]",2,15,0.6232424160698429,0
"[255, 0, 0]",0,20,0.6250483470503241,0
"[255, 255, 0]",2,20,0.49804342398419976,0
"[255, 255, 0]",2,25,0.43851502100005746,0
"[0, 0, 255]",2,10,0.6125002900371328,0
