Color,Direction,Eccentricity (degrees),Reaction Time (s)
"[0, 255, 0]",0,10,0.5683147560339421,0
"[255, 0, 0]",0,20,0.5600964879849926,0
"[0, 0, 255]",2,15,0.8439195769606158,0
"[0, 255, 0]",0,15,0.5106549690244719,0
"[0, 0, 255]",0,20,0.5199781939154491,0
"[255, 255, 0]",2,10,0.6007996409898624,0
"[0, 0, 255]",0,30,0.5437580819707364,0
"[255, 255, 0]",2,10,0.4891592300264165,0
"[0, 0, 255]",0,35,0.5120484669459984,0
"[0, 255, 0]",2,15,0.5340734240598977,0
"[255, 255, 0]",0,25,0.5981995520414785,0
"[0, 255, 0]",0,5,0.6078543830662966,0
"[0, 0, 255]",2,5,0.5238832430914044,0
"[255, 255, 0]",0,40,0.7429495910182595,0
"[0, 255, 0]",2,30,0.679227034910582,0
"[255, 255, 0]",2,5,0.606785063049756,0
"[0, 0, 255]",2,30,0.6101571499602869,0
"[0, 255, 0]",2,25,0.4454933099914342,1
"[255, 0, 0]",2,40,0.6404089460847899,0
"[255, 0, 0]",2,5,0.4670522209489718,0
"[0, 255, 0]",2,20,0.5752350470284,0
"[255, 0, 0]",0,35,0.6006355130812153,0
"[0, 255, 0]",2,30,0.5794001100584865,0
"[255, 0, 0]",2,35,0.5571386519586667,0
"[255, 255, 0]",0,20,0.6416685490403324,0
"[0, 255, 0]",2,10,0.5267323370790109,0
"[0, 255, 0]",0,30,0.5709587190067396,0
"[0, 255, 0]",0,30,0.5952891069464386,0
"[255, 0, 0]",2,35,0.5728850869927555,0
"[255, 0, 0]",2,15,0.6974507600534707,0
"[0, 255, 0]",0,35,0.6771659039659426,0
"[255, 0, 0]",0,35,1.1609840060118586,0
"[0, 255, 0]",0,40,1.2048067710129544,0
"[255, 255, 0]",0,25,1.0111775239929557,0
"[0, 0, 255]",0,35,0.5922980019822717,0
"[0, 0, 255]",0,25,0.6234141209861264,0
"[255, 0, 0]",0,10,1.024064652970992,0
"[0, 0, 255]",0,20,0.6394757359521464,0
"[255, 0, 0]",2,20,0.9358001999789849,0
"[255, 255, 0]",0,30,0.7150567939970642,0
"[0, 255, 0]",0,5,0.6676176839973778,0
"[255, 0, 0]",2,35,0.6563352009980008,0
"[0, 255, 0]",0,30,0.6238903520861641,0
"[0, 0, 255]",2,25,0.5597222649957985,0
"[255, 0, 0]",2,10,0.7357256949180737,0
"[255, 255, 0]",0,10,0.8697059609694406,0
"[255, 255, 0]",2,30,0.6153609360335395,0
"[255, 255, 0]",2,25,0.6239955490455031,0
"[0, 255, 0]",2,15,0.6379227780271322,1
"[255, 0, 0]",2,10,0.5610000198939815,0
"[255, 255, 0]",2,5,0.5788638310041279,0
"[0, 0, 255]",2,40,0.6853275889297947,0
"[0, 255, 0]",2,40,0.8170066450256854,0
"[0, 255, 0]",0,15,0.601640252978541,0
"[0, 0, 255]",2,40,0.5738850880879909,0
"[255, 0, 0]",0,25,0.8178962300298735,0
"[255, 255, 0]",2,30,0.6722571670543402,0
"[0, 255, 0]",2,20,0.5881434929324314,0
"[255, 255, 0]",2,20,0.5980177419260144,0
"[0, 255, 0]",0,20,0.6215041909599677,0
"[0, 0, 255]",0,10,0.6100760990520939,0
"[0, 255, 0]",2,10,0.6392637160606682,0
"[0, 0, 255]",0,10,0.568082181038335,0
"[255, 255, 0]",0,35,0.7531772459624335,0
"[0, 255, 0]",0,5,0.606859946041368,0
"[255, 0, 0]",0,15,0.6368058379739523,0
"[255, 0, 0]",2,5,0.802079166052863,0
"[0, 255, 0]",2,15,0.9847943290369585,0
"[255, 0, 0]",2,5,0.7080524580087513,0
"[255, 0, 0]",0,10,0.5410427980823442,0
"[0, 0, 255]",2,25,0.6619958569062874,0
"[0, 255, 0]",0,10,0.6386224299203604,0
"[0, 255, 0]",0,30,0.6575251669855788,0
"[255, 0, 0]",2,15,0.6135607720352709,0
"[255, 0, 0]",0,25,0.5227207909338176,0
"[255, 0, 0]",2,30,0.5249879088951275,0
"[0, 255, 0]",2,25,0.5900956860277802,0
"[0, 255, 0]",2,35,0.6220897149760276,0
"[255, 0, 0]",0,15,0.5461764690699056,0
"[0, 0, 255]",0,5,0.5923500480130315,0
"[255, 0, 0]",2,25,0.5925739069934934,0
"[255, 255, 0]",2,20,0.6473654930014163,0
"[0, 0, 255]",0,40,0.6895400170469657,0
"[255, 255, 0]",0,25,0.7364059849642217,0
"[255, 0, 0]",2,10,0.6209392260061577,0
"[0, 255, 0]",2,30,0.6546299559995532,0
"[255, 0, 0]",2,20,0.5075110220350325,0
"[0, 255, 0]",0,5,0.5840313549851999,0
"[0, 0, 255]",2,25,0.5959382849978283,0
"[0, 0, 255]",2,10,0.6871040479745716,0
"[0, 0, 255]",0,40,0.903550638933666,0
"[255, 255, 0]",2,20,0.6401563740801066,0
"[255, 0, 0]",2,30,0.562568073044531,0
"[0, 255, 0]",0,15,0.6760570929618552,0
"[255, 0, 0]",0,40,0.546443436993286,0
"[0, 255, 0]",0,20,0.5443868350703269,0
"[255, 0, 0]",2,40,0.8723257218953222,0
"[0, 255, 0]",0,5,0.6143611719598994,0
