Color,Direction,Eccentricity (degrees),Reaction Time (s)
"[255, 0, 0]",2,10,0.506256535067223,0
"[0, 0, 255]",2,30,0.5952240399783477,0
"[0, 0, 255]",0,15,0.5762308220146224,0
"[255, 255, 0]",0,30,0.598131159087643,0
"[0, 0, 255]",2,25,0.5597447759937495,0
"[255, 255, 0]",0,10,0.45927394402679056,0
"[255, 0, 0]",0,15,0.7042312689591199,0
"[255, 0, 0]",0,15,0.46741193800698966,0
"[0, 0, 255]",0,5,0.5869323840597644,0
"[255, 255, 0]",2,30,0.6613592950161546,0
"[0, 0, 255]",2,40,0.4909994159825146,0
"[0, 0, 255]",0,20,0.46591055497992784,0
"[255, 0, 0]",2,10,0.4853443530155346,0
"[255, 255, 0]",2,10,0.47157649497967213,0
"[255, 255, 0]",2,30,0.6529944309731945,0
"[255, 0, 0]",0,5,0.48127684905193746,0
"[255, 0, 0]",2,15,0.4820180059177801,0
"[0, 0, 255]",2,15,0.5885525069897994,0
"[0, 0, 255]",0,40,0.6179405100410804,0
"[255, 0, 0]",0,10,0.5146257730666548,0
"[0, 0, 255]",2,25,0.731045157997869,0
"[255, 255, 0]",2,25,0.5238249689573422,0
"[255, 255, 0]",2,5,0.5154790210071951,0
"[255, 0, 0]",2,40,0.6036289870971814,0
"[255, 255, 0]",2,5,0.48604655906092376,0
"[255, 0, 0]",2,25,0.58234375808388,0
"[255, 255, 0]",0,20,0.4930409110384062,0
"[255, 255, 0]",0,25,0.5039712559664622,0
"[255, 255, 0]",0,10,0.4917201549978927,0
"[0, 0, 255]",0,5,0.4586198260076344,0
"[0, 0, 255]",0,20,0.4860755020054057,0
"[255, 0, 0]",2,25,0.5523277019383386,0
"[0, 0, 255]",2,5,0.6340388930402696,0
"[0, 0, 255]",2,5,0.5002577549312264,0
"[255, 0, 0]",2,30,0.5385561770526692,0
"[0, 0, 255]",0,35,0.5642106489976868,0
"[255, 0, 0]",2,30,0.4929131669923663,0
"[0, 0, 255]",2,20,0.5961133959935978,0
"[255, 255, 0]",2,35,0.5434119199635461,0
"[255, 0, 0]",0,10,0.5376298880437389,0
"[0, 0, 255]",0,5,0.42066975496709347,0
"[255, 0, 0]",2,15,0.48022106394637376,0
"[255, 255, 0]",2,5,0.4997749299509451,0
"[0, 0, 255]",2,35,0.49085898301564157,0
"[255, 0, 0]",2,40,0.5396709510823712,0
"[255, 255, 0]",2,40,0.48098805802874267,0
"[0, 0, 255]",2,15,0.5042974760290235,0
"[255, 0, 0]",0,25,0.5132939090253785,0
"[255, 255, 0]",0,20,0.5100678210146725,0
"[255, 0, 0]",2,35,0.5281125420005992,0
"[255, 0, 0]",0,30,0.6271683010272682,0
"[0, 0, 255]",0,5,0.48695939988829195,0
"[0, 0, 255]",0,15,0.4590050639817491,0
"[255, 255, 0]",0,40,0.5206795439589769,0
"[0, 0, 255]",2,5,0.47834247804712504,0
"[0, 0, 255]",0,25,0.4665584509493783,0
"[255, 255, 0]",2,20,0.44633952307049185,0
"[255, 255, 0]",0,35,0.4305984319653362,0
"[255, 255, 0]",0,10,0.4224412770709023,0
