Color,Direction,Eccentricity (degrees),Reaction Time (s)
"[255, 0, 0]",2,40,0.7873317359481007,0
"[255, 255, 0]",2,25,0.5603027690667659,0
"[0, 0, 255]",0,20,0.5025065869558603,0
"[255, 255, 0]",0,15,0.5432370929047465,0
"[255, 0, 0]",2,5,0.6304012050386518,0
"[0, 255, 0]",2,40,0.7356913590338081,0
"[0, 255, 0]",2,30,0.5089102719211951,0
"[255, 0, 0]",0,15,0.5250619079452008,0
"[255, 255, 0]",0,25,0.5147676209453493,0
"[0, 0, 255]",0,15,0.5901200219523162,0
"[0, 0, 255]",0,15,0.50822427298408,0
"[0, 0, 255]",2,25,0.6033636999782175,0
"[0, 255, 0]",2,35,0.7041671019978821,0
"[0, 255, 0]",2,30,0.47183304000645876,0
"[255, 255, 0]",0,20,0.5141009889775887,0
"[255, 0, 0]",0,5,0.46113186597358435,0
"[255, 255, 0]",0,40,0.496591356000863,0
"[0, 0, 255]",0,15,0.46637626795563847,0
"[255, 0, 0]",0,5,0.4862098069861531,0
"[0, 255, 0]",0,30,0.6028036340139806,0
"[0, 0, 255]",0,5,0.4736577399307862,0
"[255, 255, 0]",2,10,0.5649365650024265,0
"[0, 0, 255]",2,25,0.5686927089700475,0
"[255, 0, 0]",0,25,0.46884650201536715,0
"[0, 0, 255]",2,25,0.48150810902006924,0
"[0, 0, 255]",2,30,0.5443731039995328,0
"[0, 0, 255]",2,35,0.518917495966889,0
"[255, 255, 0]",0,35,0.7431163979927078,0
"[255, 255, 0]",2,10,0.7183804520172998,0
"[0, 255, 0]",2,10,1.1287565740058199,0
"[255, 255, 0]",0,15,0.5407022490398958,0
"[255, 255, 0]",2,30,0.44904389104340225,0
"[255, 0, 0]",2,40,0.5025549599668011,0
"[0, 255, 0]",2,20,0.48249747592490166,0
"[255, 0, 0]",0,10,0.494235165999271,0
"[0, 0, 255]",2,15,0.474831328028813,0
"[0, 0, 255]",2,10,0.43213745998218656,0
"[255, 0, 0]",0,30,0.532933127018623,0
"[255, 255, 0]",2,20,0.5464585529407486,0
"[0, 0, 255]",0,10,0.7100033400347456,0
"[255, 255, 0]",0,25,0.5563544299220666,0
"[0, 0, 255]",2,15,0.47697364690247923,0
"[0, 0, 255]",2,5,0.518490256043151,0
"[0, 0, 255]",2,15,0.5311774800065905,0
"[255, 0, 0]",0,30,0.5472424230538309,0
"[255, 255, 0]",0,25,0.4814056500326842,0
"[0, 255, 0]",2,40,0.6678902510320768,0
"[0, 255, 0]",2,10,0.5642375589814037,0
"[255, 255, 0]",0,5,0.5595710559282452,0
"[255, 0, 0]",0,10,0.4768708130577579,0
"[255, 255, 0]",2,35,0.6225648149847984,0
"[0, 0, 255]",0,10,0.5355212459107861,0
"[255, 255, 0]",2,20,0.48930633603595197,0
"[255, 0, 0]",2,15,0.5274405599338934,0
"[0, 255, 0]",0,40,0.6201122479978949,0
"[255, 255, 0]",0,30,0.5103444169508293,0
"[0, 255, 0]",2,10,0.5553829979617149,0
"[0, 255, 0]",2,25,0.49641545803751796,0
"[255, 0, 0]",0,5,0.49623549508396536,0
"[255, 0, 0]",0,20,0.43694765609689057,0
"[255, 0, 0]",2,5,0.4705586259951815,0
"[0, 255, 0]",2,15,0.5204372259322554,0
"[255, 255, 0]",0,35,0.5662156719481573,0
"[255, 0, 0]",2,20,0.5397058479720727,0
"[0, 255, 0]",2,15,0.4711186420172453,0
"[0, 0, 255]",0,5,0.4226159940008074,0
"[255, 255, 0]",2,15,0.39440084202215075,1
"[255, 0, 0]",2,5,0.5125442440621555,0
"[0, 0, 255]",0,25,0.47776087489910424,0
"[0, 0, 255]",0,35,0.5444815059890971,0
"[0, 255, 0]",0,30,0.5056681849528104,0
"[0, 0, 255]",2,5,0.5015394879737869,0
"[255, 255, 0]",2,20,0.48358323296997696,0
"[255, 0, 0]",2,10,0.5307005050126463,0
"[0, 255, 0]",2,35,0.5679640900343657,0
"[255, 0, 0]",2,5,0.5113428269978613,0
"[0, 0, 255]",0,10,0.4936924959765747,0
"[0, 255, 0]",2,30,0.5395509559893981,0
"[0, 255, 0]",0,25,0.4899505110224709,0
"[255, 255, 0]",0,40,0.6102013029158115,1
"[0, 0, 255]",0,35,0.7027899279491976,0
"[0, 255, 0]",2,30,0.47623170795850456,0
"[0, 255, 0]",2,40,0.545769831049256,0
"[255, 255, 0]",2,10,0.5018197150202468,0
"[255, 255, 0]",0,15,0.4981442339485511,0
"[255, 0, 0]",0,10,0.5281750990543514,0
"[0, 0, 255]",2,20,0.4958699169801548,0
"[0, 255, 0]",2,40,0.572027065907605,0
"[255, 0, 0]",0,20,0.5302452959585935,0
"[255, 255, 0]",0,20,0.5876142099732533,0
"[0, 255, 0]",0,25,0.48648031998891383,0
"[0, 255, 0]",0,10,0.5606397519586608,0
"[255, 255, 0]",2,35,0.5956948499660939,0
"[255, 255, 0]",2,35,0.5439088459825143,0
"[0, 255, 0]",2,30,0.4802539029624313,0
"[0, 0, 255]",0,30,0.5674567969981581,0
