Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,Name,Trial,Circle Size (degrees),Experiment Name,Background Color,Cue
"[0, 0, 255]",2,0,0.541209353999875,1,C,1,8,BG,BLACK,Blue Circle
"[0, 0, 255]",2,10,0.40518867400010095,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",2,0,0.45151261800015163,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",0,0,0.3008503839998866,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",2,20,0.37266031400008615,1,C,1,8,BG,BLACK,Blue Circle
"[0, 0, 255]",2,10,0.40134408800008714,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",2,10,0.4580251470001713,1,C,1,8,BG,BLACK,Blue Circle
"[0, 0, 255]",0,0,0.46820611199996165,1,C,1,8,BG,BLACK,Blue Circle
"[0, 0, 255]",0,10,0.40450152900007197,1,C,1,8,BG,BLACK,Blue Circle
"[0, 0, 255]",0,10,0.3258482250000725,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",2,10,0.34641511600011654,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",2,20,0.3372289169999476,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",0,10,0.3189543160001449,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",0,10,0.3538376829999379,1,C,1,8,BG,BLACK,Blue Circle
"[0, 0, 255]",0,10,0.3157949720000488,1,C,1,8,BG,BLACK,Blue Circle
"[0, 0, 255]",2,0,0.34434701800000767,1,C,1,8,BG,BLACK,Blue Circle
"[0, 0, 255]",2,0,0.3068767029999435,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",0,10,0.3062414510000053,1,C,1,8,BG,BLACK,Blue Circle
"[0, 0, 255]",2,20,0.46468248700011827,1,C,1,8,BG,BLACK,Blue Circle
"[0, 0, 255]",0,0,0.3119015929999023,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",0,10,0.2862810050000917,1,C,1,8,BG,BLACK,Blue Circle
"[0, 0, 255]",0,10,0.32123671699991974,1,C,1,8,BG,BLACK,Blue Circle
"[0, 0, 255]",2,0,0.30673104900006365,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",2,0,0.3203621249999742,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",2,20,0.42019025000013244,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",2,10,0.33016516799989404,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",2,10,0.2613870099999076,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",2,0,0.28487020700003995,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",0,10,0.28957038400017154,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",0,10,0.37955277599985493,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",2,20,0.3031358079999791,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",0,0,0.2688985679999405,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",0,20,0.3670405129998926,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",0,20,0.29297313300003225,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",0,0,0.34584595299998,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",0,20,0.2801871460001166,1,C,1,8,BG,BLACK,Blue Circle
"[0, 0, 255]",0,20,0.34078483099983714,0,C,1,8,BG,BLACK,Blue Circle
"[0, 0, 255]",2,20,0.4260343890000513,1,C,1,8,BG,BLACK,Blue Circle
"[0, 0, 255]",2,20,0.34437209700013227,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",0,20,0.33697316600000704,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",2,10,0.39053915800013783,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",0,10,0.3315581970000494,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",2,10,0.327758546999803,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",0,0,0.33935148499995194,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",0,20,0.34378989399988313,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",0,20,0.3027084919999652,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",2,20,0.3259920709999733,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",2,20,0.3444482509999034,1,C,1,8,BG,BLACK,Blue Circle
"[0, 0, 255]",2,10,0.42276253799991537,1,C,1,8,BG,BLACK,Blue Circle
"[0, 0, 255]",2,0,0.29301014199995734,1,C,1,8,BG,BLACK,Blue Circle
"[0, 0, 255]",0,10,0.34742664700002024,1,C,1,8,BG,BLACK,Blue Circle
"[0, 0, 255]",0,20,0.33854139200002464,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",2,20,0.44923878199983847,1,C,1,8,BG,BLACK,Blue Circle
"[0, 0, 255]",2,20,0.4066022960000737,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",0,20,0.2811274119999325,1,C,1,8,BG,BLACK,Blue Circle
"[0, 0, 255]",2,10,0.557671363000054,1,C,1,8,BG,BLACK,Blue Circle
"[0, 0, 255]",0,0,0.3393327430001136,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",0,0,0.41468495499998426,1,C,1,8,BG,BLACK,Blue Circle
"[0, 0, 255]",2,20,0.3965464249999968,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",0,20,0.35378725100008523,1,C,1,8,BG,BLACK,Blue Circle
"[0, 0, 255]",0,10,0.5270735149999837,1,C,1,8,BG,BLACK,Blue Circle
"[0, 0, 255]",2,10,0.3461491999998998,1,C,1,8,BG,BLACK,Blue Circle
"[0, 0, 255]",0,0,0.3695785219999834,1,C,1,8,BG,BLACK,Blue Circle
"[0, 0, 255]",0,10,0.4111090349999813,1,C,1,8,BG,BLACK,Blue Circle
"[0, 0, 255]",0,0,0.2784062260002429,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",2,20,0.38514924599985534,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",2,0,0.346885931000088,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",0,10,0.3310146980002173,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",0,20,0.2960005319996526,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",0,10,0.2791713139999956,1,C,1,8,BG,BLACK,Blue Circle
"[0, 0, 255]",0,0,0.3701039929997023,1,C,1,8,BG,BLACK,Blue Circle
"[0, 0, 255]",0,0,0.27726555500021277,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",2,20,0.48653188500020406,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",0,0,0.32841825700006666,1,C,1,8,BG,BLACK,Blue Circle
"[0, 0, 255]",2,10,0.3418736999997236,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",2,10,0.429127475000314,1,C,1,8,BG,BLACK,Blue Circle
"[0, 0, 255]",2,20,0.3388119139999617,1,C,1,8,BG,BLACK,Blue Circle
"[0, 0, 255]",2,0,0.4131445069997426,1,C,1,8,BG,BLACK,Blue Circle
"[0, 0, 255]",2,20,0.3081045990002167,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",2,10,0.3298054500000944,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",0,0,0.38458124199996746,1,C,1,8,BG,BLACK,Blue Circle
"[0, 0, 255]",0,10,0.3976246679999349,1,C,1,8,BG,BLACK,Blue Circle
"[0, 0, 255]",2,20,0.3361404140000559,1,C,1,8,BG,BLACK,Blue Circle
"[0, 0, 255]",0,20,0.36359661500000584,1,C,1,8,BG,BLACK,Blue Circle
"[0, 0, 255]",2,20,0.292256417000317,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",0,20,0.4511387970001124,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",0,20,0.39202350699997623,1,C,1,8,BG,BLACK,Blue Circle
"[0, 0, 255]",0,20,0.4002904940002736,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",0,0,0.4144019679997655,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",2,0,0.3566667269997197,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",0,20,0.6024522540001271,1,C,1,8,BG,BLACK,Blue Circle
"[0, 0, 255]",0,20,0.37358971100002236,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",0,10,0.3816602709998733,1,C,1,8,BG,BLACK,Blue Circle
