Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,Name,Trial,Circle Size (degrees),Experiment Name,Background Color,Cue
"[0, 255, 0]",2,0,0.17547117599997364,0,C,1,8,BG,BLACK,Green Circle
"[0, 0, 255]",0,10,0.04344383999978163,1,C,1,8,BG,BLACK,Green Circle
"[0, 255, 0]",0,0,0.1470437610000772,0,C,1,8,BG,BLACK,Green Circle
"[0, 0, 255]",0,10,0.2473489030003293,1,C,1,8,BG,BLACK,Green Circle
"[0, 0, 255]",0,20,0.2687824169997839,1,C,1,8,BG,BLACK,Green Circle
"[0, 0, 255]",0,0,0.058761455999956524,1,C,1,8,BG,BLACK,Green Circle
"[0, 255, 0]",0,20,0.04239555399999517,0,C,1,8,BG,BLACK,Green Circle
"[0, 0, 255]",0,20,0.45217990700029986,1,C,1,8,BG,BLACK,Green Circle
"[0, 0, 255]",0,0,0.7957657490001111,1,C,1,8,BG,BLACK,Green Circle
"[0, 0, 255]",0,10,0.01467408999997133,1,C,1,8,BG,BLACK,Green Circle
"[0, 0, 255]",0,20,0.40066399499983163,1,C,1,8,BG,BLACK,Green Circle
"[0, 255, 0]",2,10,0.42987949999997,0,C,1,8,BG,BLACK,Green Circle
"[0, 0, 255]",0,10,0.30724090200010323,1,C,1,8,BG,BLACK,Green Circle
"[0, 255, 0]",2,0,0.28240319699989413,0,C,1,8,BG,BLACK,Green Circle
"[0, 0, 255]",0,0,0.07312880100016628,1,C,1,8,BG,BLACK,Green Circle
"[0, 255, 0]",2,10,0.15533061999985875,0,C,1,8,BG,BLACK,Green Circle
"[0, 0, 255]",2,10,0.14994791199978863,1,C,1,8,BG,BLACK,Green Circle
"[0, 255, 0]",2,10,0.5770088079998459,0,C,1,8,BG,BLACK,Green Circle
"[0, 255, 0]",2,20,0.29969841500042094,0,C,1,8,BG,BLACK,Green Circle
"[0, 0, 255]",2,10,0.36379654199981815,1,C,1,8,BG,BLACK,Green Circle
"[0, 255, 0]",2,20,0.33045724000021437,0,C,1,8,BG,BLACK,Green Circle
"[0, 0, 255]",2,20,0.4035701299999346,1,C,1,8,BG,BLACK,Green Circle
"[0, 255, 0]",2,10,0.11439450999978362,0,C,1,8,BG,BLACK,Green Circle
"[0, 0, 255]",2,0,0.6750907460000235,1,C,1,8,BG,BLACK,Green Circle
"[0, 0, 255]",2,10,0.8627060640001218,1,C,1,8,BG,BLACK,Green Circle
"[0, 0, 255]",0,10,0.038217716999952245,1,C,1,8,BG,BLACK,Green Circle
"[0, 255, 0]",0,20,0.2784775219997755,0,C,1,8,BG,BLACK,Green Circle
"[0, 255, 0]",0,0,0.593590727999981,0,C,1,8,BG,BLACK,Green Circle
"[0, 0, 255]",0,10,0.7863061469997774,1,C,1,8,BG,BLACK,Green Circle
"[0, 0, 255]",0,0,0.0468062650002139,1,C,1,8,BG,BLACK,Green Circle
"[0, 0, 255]",2,20,0.09511426300014136,1,C,1,8,BG,BLACK,Green Circle
"[0, 0, 255]",0,0,0.32736108899962346,1,C,1,8,BG,BLACK,Green Circle
"[0, 255, 0]",2,20,0.4611745349998273,0,C,1,8,BG,BLACK,Green Circle
