Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,Name,Trial,Circle Size (degrees),Experiment Name,Background Color,Cue
"[0, 255, 0]",2,20,0.9825217940001494,1,C,1,8,GB,BLACK,Blue Circle
"[0, 255, 0]",0,10,0.4099887580000541,1,C,1,8,GB,BLACK,Blue Circle
"[0, 255, 0]",0,10,0.17544458200018198,1,C,1,8,GB,BLACK,Blue Circle
"[0, 0, 255]",2,0,0.3155546210000466,0,C,1,8,GB,BLACK,Blue Circle
"[0, 255, 0]",2,10,0.07837444100005087,1,C,1,8,GB,BLACK,Blue Circle
"[0, 0, 255]",2,10,0.24193362000005436,0,C,1,8,GB,BLACK,Blue Circle
"[0, 255, 0]",0,0,0.25182498100002704,1,C,1,8,GB,BLACK,Blue Circle
"[0, 255, 0]",0,10,0.1743522829997346,1,C,1,8,GB,BLACK,Blue Circle
"[0, 255, 0]",0,0,0.16013406299998678,1,C,1,8,GB,BLACK,Blue Circle
"[0, 0, 255]",2,10,0.6509168200000204,0,C,1,8,GB,BLACK,Blue Circle
"[0, 0, 255]",0,20,0.838922189999721,0,C,1,8,GB,BLACK,Blue Circle
"[0, 0, 255]",0,0,0.4361804300001495,0,C,1,8,GB,BLACK,Blue Circle
"[0, 0, 255]",2,10,0.6856267620000835,0,C,1,8,GB,BLACK,Blue Circle
"[0, 255, 0]",2,20,0.610089834000064,1,C,1,8,GB,BLACK,Blue Circle
"[0, 0, 255]",0,0,0.006847846000255231,0,C,1,8,GB,BLACK,Blue Circle
"[0, 0, 255]",0,20,0.7051912070000981,0,C,1,8,GB,BLACK,Blue Circle
"[0, 255, 0]",2,0,0.26575603099990985,1,C,1,8,GB,BLACK,Blue Circle
"[0, 255, 0]",0,10,0.026716771999872435,1,C,1,8,GB,BLACK,Blue Circle
"[0, 255, 0]",2,0,0.32392955899968,1,C,1,8,GB,BLACK,Blue Circle
"[0, 255, 0]",2,10,0.21321189900027093,1,C,1,8,GB,BLACK,Blue Circle
"[0, 0, 255]",0,10,0.13050998099970457,0,C,1,8,GB,BLACK,Blue Circle
"[0, 255, 0]",0,20,0.6006072559998756,1,C,1,8,GB,BLACK,Blue Circle
"[0, 255, 0]",2,10,0.2740736350001498,1,C,1,8,GB,BLACK,Blue Circle
"[0, 255, 0]",0,10,0.10648080500004653,1,C,1,8,GB,BLACK,Blue Circle
"[0, 0, 255]",0,20,0.024363341000025684,0,C,1,8,GB,BLACK,Blue Circle
"[0, 0, 255]",0,10,0.6307914480003092,0,C,1,8,GB,BLACK,Blue Circle
"[0, 0, 255]",0,20,0.5813939100003154,0,C,1,8,GB,BLACK,Blue Circle
"[0, 255, 0]",0,20,0.02297433399962756,1,C,1,8,GB,BLACK,Blue Circle
"[0, 255, 0]",2,20,0.28062516299996787,1,C,1,8,GB,BLACK,Blue Circle
"[0, 0, 255]",0,20,0.543286395999985,0,C,1,8,GB,BLACK,Blue Circle
"[0, 0, 255]",2,10,0.252805372000239,0,C,1,8,GB,BLACK,Blue Circle
"[0, 0, 255]",0,0,0.3603975940000055,0,C,1,8,GB,BLACK,Blue Circle
"[0, 255, 0]",0,0,0.028822571000091557,1,C,1,8,GB,BLACK,Blue Circle
"[0, 255, 0]",2,10,0.07568427600017458,1,C,1,8,GB,BLACK,Blue Circle
"[0, 255, 0]",0,20,0.36843637299989496,1,C,1,8,GB,BLACK,Blue Circle
"[0, 255, 0]",0,0,0.6820970769999803,1,C,1,8,GB,BLACK,Blue Circle
"[0, 255, 0]",0,20,0.26216730499982077,1,C,1,8,GB,BLACK,Blue Circle
"[0, 0, 255]",2,10,0.3001850949999607,0,C,1,8,GB,BLACK,Blue Circle
"[0, 0, 255]",0,0,0.21171459200013487,0,C,1,8,GB,BLACK,Blue Circle
"[0, 0, 255]",2,10,0.09896565500002907,0,C,1,8,GB,BLACK,Blue Circle
"[0, 255, 0]",0,0,0.5707153640000797,1,C,1,8,GB,BLACK,Blue Circle
"[0, 255, 0]",2,20,0.9192156199997044,1,C,1,8,GB,BLACK,Blue Circle
"[0, 255, 0]",2,20,0.005186860000321758,1,C,1,8,GB,BLACK,Blue Circle
"[0, 255, 0]",2,20,0.6751409779999449,1,C,1,8,GB,BLACK,Blue Circle
"[0, 0, 255]",2,20,0.027307782000207226,0,C,1,8,GB,BLACK,Blue Circle
"[0, 255, 0]",2,20,0.2774908719998166,1,C,1,8,GB,BLACK,Blue Circle
"[0, 255, 0]",2,0,0.6131971149998208,1,C,1,8,GB,BLACK,Blue Circle
"[0, 0, 255]",2,20,0.2975772970003163,0,C,1,8,GB,BLACK,Blue Circle
"[0, 0, 255]",0,10,0.06903672699991148,0,C,1,8,GB,BLACK,Blue Circle
"[0, 0, 255]",0,10,0.027624264999758452,0,C,1,8,GB,BLACK,Blue Circle
"[0, 0, 255]",0,20,0.011232160999952612,0,C,1,8,GB,BLACK,Blue Circle
"[0, 0, 255]",2,20,0.7209569530000408,0,C,1,8,GB,BLACK,Blue Circle
"[0, 255, 0]",0,0,0.7292309870003919,1,C,1,8,GB,BLACK,Blue Circle
"[0, 0, 255]",2,10,0.45333477199983463,0,C,1,8,GB,BLACK,Blue Circle
"[0, 0, 255]",0,20,0.05276798199975019,0,C,1,8,GB,BLACK,Blue Circle
"[0, 0, 255]",2,10,0.615069597999991,0,C,1,8,GB,BLACK,Blue Circle
"[0, 0, 255]",2,0,0.21548462700002347,0,C,1,8,GB,BLACK,Blue Circle
"[0, 255, 0]",2,20,0.3867473290001726,1,C,1,8,GB,BLACK,Blue Circle
"[0, 255, 0]",2,10,0.32560449000038716,1,C,1,8,GB,BLACK,Blue Circle
"[0, 255, 0]",0,0,0.5116876810002395,1,C,1,8,GB,BLACK,Blue Circle
"[0, 255, 0]",2,20,0.3165187409999817,1,C,1,8,GB,BLACK,Blue Circle
"[0, 255, 0]",0,20,0.09440702600022632,1,C,1,8,GB,BLACK,Blue Circle
"[0, 0, 255]",0,20,0.38226362500017785,0,C,1,8,GB,BLACK,Blue Circle
"[0, 0, 255]",2,20,0.05260217400018519,0,C,1,8,GB,BLACK,Blue Circle
"[0, 0, 255]",2,20,0.03253778299995247,0,C,1,8,GB,BLACK,Blue Circle
"[0, 255, 0]",0,20,0.03058315299995229,1,C,1,8,GB,BLACK,Blue Circle
"[0, 0, 255]",0,0,0.4649625739998555,0,C,1,8,GB,BLACK,Blue Circle
"[0, 255, 0]",0,20,0.7126380939998853,1,C,1,8,GB,BLACK,Blue Circle
"[0, 255, 0]",2,10,0.21324817999993684,1,C,1,8,GB,BLACK,Blue Circle
"[0, 0, 255]",2,20,0.019774208999933762,0,C,1,8,GB,BLACK,Blue Circle
"[0, 0, 255]",2,10,0.243050662999849,0,C,1,8,GB,BLACK,Blue Circle
"[0, 255, 0]",2,0,0.3436668600002122,1,C,1,8,GB,BLACK,Blue Circle
"[0, 0, 255]",2,10,0.6245109040000898,0,C,1,8,GB,BLACK,Blue Circle
"[0, 255, 0]",0,20,0.12472083200009365,1,C,1,8,GB,BLACK,Blue Circle
"[0, 255, 0]",2,0,0.8787908040003458,1,C,1,8,GB,BLACK,Blue Circle
"[0, 255, 0]",2,0,0.3422852920002697,1,C,1,8,GB,BLACK,Blue Circle
"[0, 0, 255]",2,0,0.6180687050000415,0,C,1,8,GB,BLACK,Blue Circle
"[0, 0, 255]",2,0,0.024488201000167464,0,C,1,8,GB,BLACK,Blue Circle
"[0, 255, 0]",0,0,0.3727448709996679,1,C,1,8,GB,BLACK,Blue Circle
"[0, 255, 0]",2,20,0.42705479899996135,1,C,1,8,GB,BLACK,Blue Circle
"[0, 255, 0]",2,0,0.18879602000015439,1,C,1,8,GB,BLACK,Blue Circle
"[0, 0, 255]",2,0,0.08010660399986591,0,C,1,8,GB,BLACK,Blue Circle
"[0, 0, 255]",0,0,0.3929600550000032,0,C,1,8,GB,BLACK,Blue Circle
"[0, 255, 0]",0,20,0.5459174420002455,1,C,1,8,GB,BLACK,Blue Circle
"[0, 0, 255]",2,20,0.13799609199986662,0,C,1,8,GB,BLACK,Blue Circle
"[0, 0, 255]",0,10,0.6062089140000353,0,C,1,8,GB,BLACK,Blue Circle
"[0, 255, 0]",0,20,0.46712625899999694,1,C,1,8,GB,BLACK,Blue Circle
