Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,Name,Trial,Circle Size (degrees),Experiment Name,Background Color,Cue
"[0, 0, 255]",2,20,0.23477322300004744,0,C,1,8,GB,BLACK,Green Circle
"[0, 0, 255]",0,10,0.06358126399982211,0,C,1,8,GB,BLACK,Green Circle
"[0, 0, 255]",2,0,0.08713552899962451,0,C,1,8,GB,BLACK,Green Circle
"[0, 255, 0]",2,20,0.2678001449999101,1,C,1,8,GB,BLACK,Green Circle
"[0, 0, 255]",2,10,0.0702665869998782,0,C,1,8,GB,BLACK,Green Circle
"[0, 255, 0]",2,20,0.0518331789999138,1,C,1,8,GB,BLACK,Green Circle
"[0, 0, 255]",2,0,0.6240690729996459,0,C,1,8,GB,BLACK,Green Circle
"[0, 0, 255]",0,0,0.7571524149998368,0,C,1,8,GB,BLACK,Green Circle
"[0, 0, 255]",0,10,0.07485118900012822,0,C,1,8,GB,BLACK,Green Circle
"[0, 0, 255]",0,20,0.8526145139999244,0,C,1,8,GB,BLACK,Green Circle
"[0, 255, 0]",2,0,0.2259929629999533,1,C,1,8,GB,BLACK,Green Circle
"[0, 0, 255]",0,10,0.6526378960002148,0,C,1,8,GB,BLACK,Green Circle
"[0, 255, 0]",2,20,0.716574373000185,1,C,1,8,GB,BLACK,Green Circle
"[0, 0, 255]",2,20,0.0967991229999825,0,C,1,8,GB,BLACK,Green Circle
"[0, 255, 0]",0,10,0.5925462410000364,1,C,1,8,GB,BLACK,Green Circle
"[0, 0, 255]",2,10,0.41646053799968286,0,C,1,8,GB,BLACK,Green Circle
"[0, 255, 0]",0,20,0.738052678999793,1,C,1,8,GB,BLACK,Green Circle
"[0, 255, 0]",2,0,0.12056086900020091,1,C,1,8,GB,BLACK,Green Circle
"[0, 0, 255]",0,10,0.008955368999977509,0,C,1,8,GB,BLACK,Green Circle
"[0, 255, 0]",0,0,0.666881826000008,1,C,1,8,GB,BLACK,Green Circle
"[0, 255, 0]",0,0,0.2012223480001012,1,C,1,8,GB,BLACK,Green Circle
"[0, 255, 0]",0,10,0.08713384700013194,1,C,1,8,GB,BLACK,Green Circle
"[0, 255, 0]",2,0,0.011692842999764252,1,C,1,8,GB,BLACK,Green Circle
"[0, 0, 255]",0,0,0.3685934609998185,0,C,1,8,GB,BLACK,Green Circle
"[0, 255, 0]",2,0,0.12131601500004763,1,C,1,8,GB,BLACK,Green Circle
"[0, 255, 0]",0,20,0.10821939299967198,1,C,1,8,GB,BLACK,Green Circle
"[0, 0, 255]",2,0,0.3377485080000042,0,C,1,8,GB,BLACK,Green Circle
"[0, 255, 0]",0,10,0.5922571379996953,1,C,1,8,GB,BLACK,Green Circle
"[0, 0, 255]",2,0,0.6306343179999203,0,C,1,8,GB,BLACK,Green Circle
"[0, 0, 255]",2,20,0.09496549899995443,0,C,1,8,GB,BLACK,Green Circle
"[0, 0, 255]",2,20,0.12444250199996532,0,C,1,8,GB,BLACK,Green Circle
"[0, 0, 255]",2,20,0.9315569020000112,0,C,1,8,GB,BLACK,Green Circle
"[0, 0, 255]",0,20,0.1663227200001529,0,C,1,8,GB,BLACK,Green Circle
"[0, 255, 0]",2,0,0.5124068089999128,1,C,1,8,GB,BLACK,Green Circle
