Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,Name,Trial,Circle Size (degrees),Experiment Name,Background Color,Cue
"[0, 0, 255]",2,0,0.425209353999875,1,C,1,8,BG,BLACK,Blue Circle
"[0, 0, 255]",2,10,0.25118867400010095,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",2,0,0.28851261800015163,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",0,0,0.2808503839998866,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",2,20,0.41966031400008615,1,C,1,8,BG,BLACK,Blue Circle
"[0, 0, 255]",2,10,0.18534408800008714,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",2,10,0.3380251470001713,1,C,1,8,BG,BLACK,Blue Circle
"[0, 0, 255]",0,0,0.29620611199996165,1,C,1,8,BG,BLACK,Blue Circle
"[0, 0, 255]",0,10,0.36950152900007197,1,C,1,8,BG,BLACK,Blue Circle
"[0, 0, 255]",0,10,0.3058482250000725,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",2,10,0.22741511600011654,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",2,20,0.3372289169999476,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",0,10,0.2959543160001449,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",0,10,0.2318376829999379,1,C,1,8,BG,BLACK,Blue Circle
"[0, 0, 255]",0,10,0.2447949720000488,1,C,1,8,BG,BLACK,Blue Circle
"[0, 0, 255]",2,0,0.25234701800000767,1,C,1,8,BG,BLACK,Blue Circle
"[0, 0, 255]",2,0,0.2708767029999435,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",0,10,0.3922414510000053,1,C,1,8,BG,BLACK,Blue Circle
"[0, 0, 255]",2,20,0.40168248700011827,1,C,1,8,BG,BLACK,Blue Circle
"[0, 0, 255]",0,0,0.2089015929999023,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",0,10,0.2452810050000917,1,C,1,8,BG,BLACK,Blue Circle
"[0, 0, 255]",0,10,0.27723671699991974,1,C,1,8,BG,BLACK,Blue Circle
"[0, 0, 255]",2,0,0.27173104900006365,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",2,0,0.3693621249999742,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",2,20,0.40219025000013244,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",2,10,0.22116516799989404,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",2,10,0.2343870099999076,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",2,0,0.25487020700003995,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",0,10,0.29757038400017154,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",0,10,0.39455277599985493,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",2,20,0.4031358079999791,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",0,0,0.2108985679999405,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",0,20,0.2710405129998926,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",0,20,0.30397313300003225,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",0,0,0.27384595299998,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",0,20,0.4191871460001166,1,C,1,8,BG,BLACK,Blue Circle
"[0, 0, 255]",0,20,0.42778483099983714,1,C,1,8,BG,BLACK,Blue Circle
"[0, 0, 255]",2,20,0.2360343890000513,1,C,1,8,BG,BLACK,Blue Circle
"[0, 0, 255]",2,20,0.24937209700013227,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",0,20,0.30497316600000704,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",2,10,0.28753915800013783,1,C,1,8,BG,BLACK,Blue Circle
"[0, 255, 0]",0,10,0.3965581970000494,1,C,1,8,BG,BLACK,Blue Circle
