Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,Name,Trial,Circle Size (degrees),Experiment Name,Background Color,Cue
"[0, 255, 0]",2,0,0.42347117599997364,1,C,1,8,BG,BLACK,Green Circle
"[0, 0, 255]",0,10,0.37844383999978163,1,C,1,8,BG,BLACK,Green Circle
"[0, 255, 0]",0,0,0.2760437610000772,1,C,1,8,BG,BLACK,Green Circle
"[0, 0, 255]",0,10,0.3043489030003293,1,C,1,8,BG,BLACK,Green Circle
"[0, 0, 255]",0,20,0.3847824169997839,1,C,1,8,BG,BLACK,Green Circle
"[0, 0, 255]",0,0,0.353761455999956524,1,C,1,8,BG,BLACK,Green Circle
"[0, 255, 0]",0,20,0.38839555399999517,1,C,1,8,BG,BLACK,Green Circle
"[0, 0, 255]",0,20,0.36817990700029986,1,C,1,8,BG,BLACK,Green Circle
"[0, 0, 255]",0,0,0.2527657490001111,1,C,1,8,BG,BLACK,Green Circle
"[0, 0, 255]",0,10,0.26967408999997133,1,C,1,8,BG,BLACK,Green Circle
"[0, 0, 255]",0,20,0.38366399499983163,1,C,1,8,BG,BLACK,Green Circle
"[0, 255, 0]",2,10,0.29187949999997,1,C,1,8,BG,BLACK,Green Circle
"[0, 0, 255]",0,10,0.41924090200010323,1,C,1,8,BG,BLACK,Green Circle
"[0, 255, 0]",2,0,0.31240319699989413,1,C,1,8,BG,BLACK,Green Circle
"[0, 0, 255]",0,0,0.34112880100016628,1,C,1,8,BG,BLACK,Green Circle
"[0, 255, 0]",2,10,0.32233061999985875,1,C,1,8,BG,BLACK,Green Circle
"[0, 0, 255]",2,10,0.36294791199978863,1,C,1,8,BG,BLACK,Green Circle
"[0, 255, 0]",2,10,0.3300088079998459,1,C,1,8,BG,BLACK,Green Circle
"[0, 255, 0]",2,20,0.30069841500042094,1,C,1,8,BG,BLACK,Green Circle
"[0, 0, 255]",2,10,0.28879654199981815,1,C,1,8,BG,BLACK,Green Circle
"[0, 255, 0]",2,20,0.34045724000021437,1,C,1,8,BG,BLACK,Green Circle
"[0, 0, 255]",2,20,0.2545701299999346,1,C,1,8,BG,BLACK,Green Circle
"[0, 255, 0]",2,10,0.44639450999978362,1,C,1,8,BG,BLACK,Green Circle
"[0, 0, 255]",2,0,0.3100907460000235,1,C,1,8,BG,BLACK,Green Circle
"[0, 0, 255]",2,10,0.3667060640001218,1,C,1,8,BG,BLACK,Green Circle
"[0, 0, 255]",0,10,0.470217716999952245,1,C,1,8,BG,BLACK,Green Circle
"[0, 255, 0]",0,20,0.4194775219997755,1,C,1,8,BG,BLACK,Green Circle
"[0, 255, 0]",0,0,0.410590727999981,1,C,1,8,BG,BLACK,Green Circle
"[0, 0, 255]",0,10,0.2463061469997774,1,C,1,8,BG,BLACK,Green Circle
"[0, 0, 255]",0,0,0.3118062650002139,1,C,1,8,BG,BLACK,Green Circle
"[0, 0, 255]",2,20,0.38311426300014136,1,C,1,8,BG,BLACK,Green Circle
"[0, 0, 255]",0,0,0.44636108899962346,1,C,1,8,BG,BLACK,Green Circle
"[0, 255, 0]",2,20,0.4041745349998273,1,C,1,8,BG,BLACK,Green Circle
"[0, 0, 255]",0,20,0.46028196699986074,1,C,1,8,BG,BLACK,Green Circle
"[0, 0, 255]",2,0,0.22358824800018556,1,C,1,8,BG,BLACK,Green Circle
"[0, 255, 0]",0,0,0.31215234999982567,1,C,1,8,BG,BLACK,Green Circle
"[0, 0, 255]",0,10,0.3763402859997623,1,C,1,8,BG,BLACK,Green Circle
"[0, 0, 255]",2,0,0.44707022899960066,1,C,1,8,BG,BLACK,Green Circle
"[0, 255, 0]",0,0,0.3729222299998255,1,C,1,8,BG,BLACK,Green Circle
"[0, 0, 255]",2,10,0.42886431000002995,1,C,1,8,BG,BLACK,Green Circle
"[0, 255, 0]",0,20,0.2734303439998621,1,C,1,8,BG,BLACK,Green Circle
"[0, 255, 0]",0,0,0.3134406950002049,1,C,1,8,BG,BLACK,Green Circle
"[0, 255, 0]",0,10,0.37727249500019025,1,C,1,8,BG,BLACK,Green Circle
"[0, 0, 255]",2,20,0.4822827960000941,1,C,1,8,BG,BLACK,Green Circle
"[0, 0, 255]",0,10,0.3976238139996567,1,C,1,8,BG,BLACK,Green Circle
"[0, 0, 255]",2,20,0.4462516669998622,1,C,1,8,BG,BLACK,Green Circle
"[0, 0, 255]",0,0,0.225548847999809368,1,C,1,8,BG,BLACK,Green Circle
"[0, 255, 0]",2,20,0.3470699629997289,1,C,1,8,BG,BLACK,Green Circle
"[0, 255, 0]",0,10,0.37885639799980345,1,C,1,8,BG,BLACK,Green Circle
"[0, 0, 255]",2,20,0.483361824000036,1,C,1,8,BG,BLACK,Green Circle
"[0, 255, 0]",2,20,0.40745484199995917,1,C,1,8,BG,BLACK,Green Circle
"[0, 0, 255]",0,0,0.41419746599986684,1,C,1,8,BG,BLACK,Green Circle
"[0, 255, 0]",2,0,0.2262910660002271,1,C,1,8,BG,BLACK,Green Circle
"[0, 0, 255]",0,20,0.364602859999959037,1,C,1,8,BG,BLACK,Green Circle
"[0, 255, 0]",0,20,0.4048857360002403,1,C,1,8,BG,BLACK,Green Circle
"[0, 255, 0]",0,10,0.47563377100011712,1,C,1,8,BG,BLACK,Green Circle
"[0, 255, 0]",0,20,0.4240620160002436,1,C,1,8,BG,BLACK,Green Circle
"[0, 255, 0]",0,20,0.4646424679998854,1,C,1,8,BG,BLACK,Green Circle
"[0, 255, 0]",0,0,0.227683812000253965,1,C,1,8,BG,BLACK,Green Circle
"[0, 0, 255]",2,10,0.33338621399974363,1,C,1,8,BG,BLACK,Green Circle
"[0, 255, 0]",2,0,0.3556004579997425,1,C,1,8,BG,BLACK,Green Circle
"[0, 255, 0]",2,20,0.4852259689999664,1,C,1,8,BG,BLACK,Green Circle
"[0, 255, 0]",0,10,0.4007939909998131,1,C,1,8,BG,BLACK,Green Circle
"[0, 255, 0]",2,0,0.4166645319997515,1,C,1,8,BG,BLACK,Green Circle
"[0, 0, 255]",0,10,0.2528353519999619,1,C,1,8,BG,BLACK,Green Circle
"[0, 0, 255]",0,0,0.3987977109998974,1,C,1,8,BG,BLACK,Green Circle
"[0, 255, 0]",2,10,0.38067118700017818,1,C,1,8,BG,BLACK,Green Circle
"[0, 255, 0]",0,10,0.28793235100013044,1,C,1,8,BG,BLACK,Green Circle
