Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,Name,Trial,Circle Size (degrees),Experiment Name,Background Color,Cue
"[0, 255, 0]",2,20,0.3435217940001494,1,C,1,8,GB,BLACK,Blue Circle
"[0, 255, 0]",0,10,0.3669887580000541,1,C,1,8,GB,BLACK,Blue Circle
"[0, 255, 0]",0,10,0.33444458200018198,1,C,1,8,GB,BLACK,Blue Circle
"[0, 0, 255]",2,0,0.3905546210000466,1,C,1,8,GB,BLACK,Blue Circle
"[0, 255, 0]",2,10,0.32037444100005087,1,C,1,8,GB,BLACK,Blue Circle
"[0, 0, 255]",2,10,0.39393362000005436,1,C,1,8,GB,BLACK,Blue Circle
"[0, 255, 0]",0,0,0.34982498100002704,1,C,1,8,GB,BLACK,Blue Circle
"[0, 255, 0]",0,10,0.3543522829997346,1,C,1,8,GB,BLACK,Blue Circle
"[0, 255, 0]",0,0,0.38113406299998678,1,C,1,8,GB,BLACK,Blue Circle
"[0, 0, 255]",2,10,0.3029168200000204,1,C,1,8,GB,BLACK,Blue Circle
"[0, 0, 255]",0,20,0.375922189999721,1,C,1,8,GB,BLACK,Blue Circle
"[0, 0, 255]",0,0,0.3801804300001495,1,C,1,8,GB,BLACK,Blue Circle
"[0, 0, 255]",2,10,0.4316267620000835,1,C,1,8,GB,BLACK,Blue Circle
"[0, 255, 0]",2,20,0.317089834000064,1,C,1,8,GB,BLACK,Blue Circle
"[0, 0, 255]",0,0,0.409847846000255231,1,C,1,8,GB,BLACK,Blue Circle
"[0, 0, 255]",0,20,0.3401912070000981,1,C,1,8,GB,BLACK,Blue Circle
"[0, 255, 0]",2,0,0.40975603099990985,1,C,1,8,GB,BLACK,Blue Circle
"[0, 255, 0]",0,10,0.316716771999872435,1,C,1,8,GB,BLACK,Blue Circle
"[0, 255, 0]",2,0,0.40992955899968,1,C,1,8,GB,BLACK,Blue Circle
"[0, 255, 0]",2,10,0.30421189900027093,1,C,1,8,GB,BLACK,Blue Circle
"[0, 0, 255]",0,10,0.43450998099970457,1,C,1,8,GB,BLACK,Blue Circle
"[0, 255, 0]",0,20,0.3406072559998756,1,C,1,8,GB,BLACK,Blue Circle
"[0, 255, 0]",2,10,0.4220736350001498,1,C,1,8,GB,BLACK,Blue Circle
"[0, 255, 0]",0,10,0.31648080500004653,1,C,1,8,GB,BLACK,Blue Circle
"[0, 0, 255]",0,20,0.459363341000025684,1,C,1,8,GB,BLACK,Blue Circle
"[0, 0, 255]",0,10,0.3167914480003092,1,C,1,8,GB,BLACK,Blue Circle
"[0, 0, 255]",0,20,0.4593939100003154,1,C,1,8,GB,BLACK,Blue Circle
"[0, 255, 0]",0,20,0.34097433399962756,1,C,1,8,GB,BLACK,Blue Circle
"[0, 255, 0]",2,20,0.43562516299996787,1,C,1,8,GB,BLACK,Blue Circle
"[0, 0, 255]",0,20,0.340286395999985,1,C,1,8,GB,BLACK,Blue Circle
"[0, 0, 255]",2,10,0.422805372000239,1,C,1,8,GB,BLACK,Blue Circle
"[0, 0, 255]",0,0,0.2913975940000055,1,C,1,8,GB,BLACK,Blue Circle
"[0, 255, 0]",0,0,0.409822571000091557,1,C,1,8,GB,BLACK,Blue Circle
"[0, 255, 0]",2,10,0.30468427600017458,1,C,1,8,GB,BLACK,Blue Circle
"[0, 255, 0]",0,20,0.45943637299989496,1,C,1,8,GB,BLACK,Blue Circle
"[0, 255, 0]",0,0,0.2910970769999803,1,C,1,8,GB,BLACK,Blue Circle
"[0, 255, 0]",0,20,0.45916730499982077,1,C,1,8,GB,BLACK,Blue Circle
"[0, 0, 255]",2,10,0.3041850949999607,1,C,1,8,GB,BLACK,Blue Circle
"[0, 0, 255]",0,0,0.40971459200013487,1,C,1,8,GB,BLACK,Blue Circle
"[0, 0, 255]",2,10,0.30496565500002907,1,C,1,8,GB,BLACK,Blue Circle
"[0, 255, 0]",0,0,0.4097153640000797,1,C,1,8,GB,BLACK,Blue Circle
"[0, 255, 0]",2,20,0.3172156199997044,1,C,1,8,GB,BLACK,Blue Circle
"[0, 255, 0]",2,20,0.435186860000321758,1,C,1,8,GB,BLACK,Blue Circle
"[0, 255, 0]",2,20,0.3171409779999449,1,C,1,8,GB,BLACK,Blue Circle
"[0, 0, 255]",2,20,0.435307782000207226,1,C,1,8,GB,BLACK,Blue Circle
"[0, 255, 0]",2,20,0.3174908719998166,1,C,1,8,GB,BLACK,Blue Circle
"[0, 255, 0]",2,0,0.4091971149998208,1,C,1,8,GB,BLACK,Blue Circle
"[0, 0, 255]",2,20,0.3175772970003163,1,C,1,8,GB,BLACK,Blue Circle
