Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,Name,Trial,Circle Size (degrees),Experiment Name,Background Color,Cue
"[0, 0, 255]",2,20,0.29977322300004744,1,C,1,8,GB,BLACK,Green Circle
"[0, 0, 255]",0,10,0.27058126399982211,1,C,1,8,GB,BLACK,Green Circle
"[0, 0, 255]",2,0,0.32113552899962451,1,C,1,8,GB,BLACK,Green Circle
"[0, 255, 0]",2,20,0.3238001449999101,1,C,1,8,GB,BLACK,Green Circle
"[0, 0, 255]",2,10,0.3882665869998782,1,C,1,8,GB,BLACK,Green Circle
"[0, 255, 0]",2,20,0.2618331789999138,1,C,1,8,GB,BLACK,Green Circle
"[0, 0, 255]",2,0,0.3220690729996459,1,C,1,8,GB,BLACK,Green Circle
"[0, 0, 255]",0,0,0.3101524149998368,1,C,1,8,GB,BLACK,Green Circle
"[0, 0, 255]",0,10,0.40685118900012822,1,C,1,8,GB,BLACK,Green Circle
"[0, 0, 255]",0,20,0.2966145139999244,1,C,1,8,GB,BLACK,Green Circle
"[0, 255, 0]",2,0,0.3239929629999533,1,C,1,8,GB,BLACK,Green Circle
"[0, 0, 255]",0,10,0.3356378960002148,1,C,1,8,GB,BLACK,Green Circle
"[0, 255, 0]",2,20,0.397574373000185,1,C,1,8,GB,BLACK,Green Circle
"[0, 0, 255]",2,20,0.2637991229999825,1,C,1,8,GB,BLACK,Green Circle
"[0, 255, 0]",0,10,0.3485462410000364,1,C,1,8,GB,BLACK,Green Circle
"[0, 0, 255]",2,10,0.31946053799968286,1,C,1,8,GB,BLACK,Green Circle
"[0, 255, 0]",0,20,0.433052678999793,1,C,1,8,GB,BLACK,Green Circle
"[0, 255, 0]",2,0,0.24956086900020091,1,C,1,8,GB,BLACK,Green Circle
"[0, 0, 255]",0,10,0.349955368999977509,1,C,1,8,GB,BLACK,Green Circle
"[0, 255, 0]",0,0,0.313881826000008,1,C,1,8,GB,BLACK,Green Circle
