Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,Name,Trial,Circle Size (degrees),Experiment Name,Background Color,Cue
"[0, 0, 255]",0,0,0.6186485730004279,1,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",2,0,0.34313032499994733,0,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",2,10,0.6386872150005729,0,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",0,20,0.11518443399927492,1,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",2,10,0.13095737999992707,0,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",0,10,0.31005855500006874,0,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",0,10,0.0419415400001526,0,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",2,20,0.7528011639997203,0,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",0,0,0.09478279399991152,0,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",0,10,0.6954346470001838,1,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",0,10,0.028201203000207897,1,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",0,10,0.14372238399937487,1,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",0,20,0.17698031599957176,1,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",0,20,0.4888565280007242,0,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",0,0,0.260546290000093,0,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",0,10,0.4007689380005104,0,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",0,10,0.34109446200000093,0,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",2,20,0.16375448800044978,0,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",2,0,0.3488752170005682,1,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",2,20,0.07865054800004145,1,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",0,10,0.5349880550002126,0,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",2,10,0.11503310900025099,1,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",0,0,0.009258873000362655,0,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",0,0,0.4110425730004863,1,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",0,20,0.17932036300044274,1,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",0,20,0.6344465730007869,1,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",2,20,0.17325387699929706,1,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",2,10,0.02254762899974594,0,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",0,20,0.5821997749999355,0,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",2,10,0.7037754399998448,0,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",2,10,0.09506019899981766,1,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",0,0,0.5877652809995197,1,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",0,0,0.02470864899987646,1,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",0,20,0.501273033999496,0,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",2,10,0.1909835739998016,1,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",0,0,0.36868443099956494,0,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",0,10,0.13691081300021324,1,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",2,20,0.5388308700003108,1,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",0,0,0.5352664669999285,0,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",2,20,0.1827339840001514,1,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",0,0,0.3860166720005509,1,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",0,0,0.6928857880002397,0,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",0,20,0.18048294099935447,1,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",2,20,0.2659008680002444,0,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",2,10,0.04364948599959462,1,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",2,0,0.28768192600000475,1,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",0,20,0.11211253300007229,1,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",2,10,0.8545104049999281,1,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",2,0,0.18363949699960358,0,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",2,0,0.49553830700006074,0,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",0,10,0.41279855700031476,0,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",0,0,0.8790230989998236,0,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",0,20,0.31338913699983095,1,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",0,0,0.33587397599967517,0,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",2,10,0.04685415499989176,1,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",0,20,0.09711045299991383,0,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",0,20,0.3152024920000258,0,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",0,10,0.14493211900025926,1,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",0,20,0.15297561899933498,1,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",0,10,0.7845760560003328,0,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",2,0,0.6196126390004792,1,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",0,20,0.529351293000218,1,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",2,0,0.32404009499987296,1,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",0,10,0.364993492999929,1,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",2,20,0.9050261729998965,0,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",2,0,0.013151701999959187,0,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",2,0,0.5780600560001403,0,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",0,10,0.7724856359991463,0,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",0,20,0.23052481099966826,1,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",2,20,0.9129699489994891,1,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",2,10,0.07444352399943455,0,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",0,0,0.1335676329999842,0,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",0,20,0.04395246799958841,0,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",0,10,0.6542391210005007,0,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",0,10,0.10862535300020681,1,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",2,10,0.10088986099981412,1,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",0,0,0.42516953599988483,1,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",2,20,0.5675200010000481,0,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",0,10,0.42403423900032067,0,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",0,0,0.5542338129998825,0,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",0,0,0.16373592499985534,0,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",2,10,0.09890817399991647,1,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",0,10,0.7753043890006666,0,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",2,0,0.01738359200044215,1,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",2,20,0.44791472899942164,0,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",2,20,0.4727197910005998,0,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",2,20,0.38356231700072385,1,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",2,20,0.052234065999982704,0,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",0,20,0.18567652399997314,1,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",0,10,0.3216524429999481,0,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",0,10,0.484266714000114,0,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",0,0,0.16922700600025564,0,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",2,10,0.15008372700049222,1,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",2,20,0.6826134589991852,1,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",2,20,0.12179057600042142,1,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",0,20,0.42723091899915744,1,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",0,0,0.27704796999933023,0,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",2,10,0.4868733520006572,1,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",2,10,0.50445548100015,1,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",2,10,0.8587254349995419,0,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",2,10,0.5492317560001538,0,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",0,0,0.6514825730000666,0,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",2,0,0.37554752500000177,0,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",0,20,0.4565830449992063,0,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",2,20,0.15046917900053813,0,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",2,20,0.6828019650001806,1,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",0,20,0.18251212799987115,1,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",2,0,0.7299181979997229,0,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",0,10,0.410912054999244,1,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",2,10,0.049820577999525995,0,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",2,0,0.1512908549993881,1,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",2,10,0.07682702200054337,1,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",2,10,0.3289415019999069,1,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",0,0,0.6314663590001146,1,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",0,10,0.11009692399966298,0,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",2,0,0.1261915510003746,0,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",0,0,0.7664720060001855,0,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",0,0,0.13131043499925,0,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",0,0,0.507079120000526,1,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",2,20,0.3070268600004056,0,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",0,10,0.2650314080001408,0,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",0,10,0.03311665799992625,0,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",2,0,0.061803128000065044,0,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",0,20,0.04890852300013648,0,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",2,20,0.2128681679996589,0,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",0,10,0.10467430300013802,1,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",2,20,0.5287730149993877,1,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",2,20,0.4694266599999537,1,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",2,20,0.20445643200037011,0,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",0,0,0.3540968300003442,1,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",2,0,0.7726714050004375,0,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",2,0,0.528927203999956,1,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",0,0,0.7410631539996757,0,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",2,0,0.35320250899985695,1,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",0,0,0.3334051849997195,1,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",0,10,0.029246761000649713,0,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",0,0,0.18095606999941083,0,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",0,10,0.014470115000221995,0,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",0,0,0.33630164900023374,1,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",2,10,0.3890737430001536,0,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",2,0,0.24353817000064737,1,C,1,8,BR,BLACK,Blue Circle
