Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,Name,Trial,Circle Size (degrees),Experiment Name,Background Color,Cue
"[0, 0, 255]",0,10,3.8612123769999016,1,C,1,8,BR,BLACK,Red Circle
"[255, 0, 0]",2,0,0.34393208700021205,0,C,1,8,BR,BLACK,Red Circle
"[255, 0, 0]",0,0,0.8454039879998163,0,C,1,8,BR,BLACK,Red Circle
"[255, 0, 0]",2,10,0.2495958290000999,0,C,1,8,BR,BLACK,Red Circle
"[0, 0, 255]",0,10,0.01683772799970029,1,C,1,8,BR,BLACK,Red Circle
"[255, 0, 0]",2,0,0.03568280399940704,0,C,1,8,BR,BLACK,Red Circle
"[0, 0, 255]",2,20,0.09588959999928193,1,C,1,8,BR,BLACK,Red Circle
"[0, 0, 255]",0,20,0.34835143300006166,1,C,1,8,BR,BLACK,Red Circle
"[0, 0, 255]",2,20,0.6577592350004124,1,C,1,8,BR,BLACK,Red Circle
"[0, 0, 255]",0,0,0.5068861720001223,1,C,1,8,BR,BLACK,Red Circle
"[0, 0, 255]",0,0,0.8587740000002668,1,C,1,8,BR,BLACK,Red Circle
"[0, 0, 255]",0,0,0.5435503199996674,1,C,1,8,BR,BLACK,Red Circle
"[0, 0, 255]",0,20,0.14568384300036996,1,C,1,8,BR,BLACK,Red Circle
"[255, 0, 0]",0,0,0.7107862829998339,0,C,1,8,BR,BLACK,Red Circle
"[255, 0, 0]",2,20,0.007398728000225674,0,C,1,8,BR,BLACK,Red Circle
"[255, 0, 0]",2,10,0.6083226550008476,0,C,1,8,BR,BLACK,Red Circle
"[0, 0, 255]",2,10,0.06490433599992684,1,C,1,8,BR,BLACK,Red Circle
"[255, 0, 0]",2,20,0.4483408510004665,0,C,1,8,BR,BLACK,Red Circle
"[255, 0, 0]",0,10,0.7756018310001309,0,C,1,8,BR,BLACK,Red Circle
"[255, 0, 0]",0,0,0.049708970000210684,0,C,1,8,BR,BLACK,Red Circle
"[255, 0, 0]",2,0,0.24997095199978503,0,C,1,8,BR,BLACK,Red Circle
"[0, 0, 255]",0,0,0.1992407120005737,1,C,1,8,BR,BLACK,Red Circle
"[255, 0, 0]",0,20,0.023623899000085657,0,C,1,8,BR,BLACK,Red Circle
"[255, 0, 0]",0,10,0.33478398700026446,0,C,1,8,BR,BLACK,Red Circle
"[255, 0, 0]",0,10,0.4063905290004186,0,C,1,8,BR,BLACK,Red Circle
"[255, 0, 0]",0,10,0.06307631599975139,0,C,1,8,BR,BLACK,Red Circle
"[255, 0, 0]",0,20,0.18154816200058121,0,C,1,8,BR,BLACK,Red Circle
"[0, 0, 255]",2,10,0.33031604000007064,1,C,1,8,BR,BLACK,Red Circle
"[255, 0, 0]",2,0,0.2201014820002456,0,C,1,8,BR,BLACK,Red Circle
"[0, 0, 255]",0,0,0.16369359800046368,1,C,1,8,BR,BLACK,Red Circle
"[0, 0, 255]",2,20,0.3849123879999752,1,C,1,8,BR,BLACK,Red Circle
"[255, 0, 0]",2,10,0.4126110309998694,0,C,1,8,BR,BLACK,Red Circle
"[255, 0, 0]",2,20,0.8052933090002625,0,C,1,8,BR,BLACK,Red Circle
"[0, 0, 255]",0,10,0.3021429029995488,1,C,1,8,BR,BLACK,Red Circle
"[255, 0, 0]",2,20,0.5051353069993638,0,C,1,8,BR,BLACK,Red Circle
"[0, 0, 255]",0,10,0.06839076699998259,1,C,1,8,BR,BLACK,Red Circle
"[255, 0, 0]",0,20,0.18184891500004596,0,C,1,8,BR,BLACK,Red Circle
"[255, 0, 0]",2,20,0.7828376730003583,0,C,1,8,BR,BLACK,Red Circle
"[0, 0, 255]",0,10,0.1092635450004309,1,C,1,8,BR,BLACK,Red Circle
"[0, 0, 255]",2,20,0.5020773369997187,1,C,1,8,BR,BLACK,Red Circle
"[255, 0, 0]",0,10,0.3975869309997506,0,C,1,8,BR,BLACK,Red Circle
"[255, 0, 0]",2,0,0.6576695909998307,0,C,1,8,BR,BLACK,Red Circle
"[255, 0, 0]",2,10,0.4189869390002059,0,C,1,8,BR,BLACK,Red Circle
"[255, 0, 0]",0,20,0.046648827999888454,0,C,1,8,BR,BLACK,Red Circle
"[255, 0, 0]",2,10,0.28653448400018533,0,C,1,8,BR,BLACK,Red Circle
"[255, 0, 0]",2,0,0.1653899269995236,0,C,1,8,BR,BLACK,Red Circle
"[255, 0, 0]",0,20,0.4042587510002704,0,C,1,8,BR,BLACK,Red Circle
"[0, 0, 255]",2,10,0.04526113199972315,1,C,1,8,BR,BLACK,Red Circle
"[0, 0, 255]",2,10,0.5577825740001572,1,C,1,8,BR,BLACK,Red Circle
"[255, 0, 0]",0,0,0.18543496699930984,0,C,1,8,BR,BLACK,Red Circle
"[0, 0, 255]",2,20,0.3914049380000506,1,C,1,8,BR,BLACK,Red Circle
"[255, 0, 0]",2,10,0.032635090999974636,0,C,1,8,BR,BLACK,Red Circle
"[255, 0, 0]",0,0,0.33407396100028564,0,C,1,8,BR,BLACK,Red Circle
"[255, 0, 0]",2,0,0.1601229179996153,0,C,1,8,BR,BLACK,Red Circle
"[255, 0, 0]",2,20,0.4075659399995857,0,C,1,8,BR,BLACK,Red Circle
"[0, 0, 255]",0,10,0.3897616160002144,1,C,1,8,BR,BLACK,Red Circle
