Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,Name,Trial,Circle Size (degrees),Experiment Name,Background Color,Cue
"[0, 0, 255]",2,10,2.0690462310012663,0,C,1,8,RB,BLACK,Blue Circle
"[0, 0, 255]",2,0,0.036114323998845066,0,C,1,8,RB,BLACK,Blue Circle
"[0, 0, 255]",2,0,0.1496719970000413,0,C,1,8,RB,BLACK,Blue Circle
"[0, 0, 255]",0,10,0.5277883410017239,0,C,1,8,RB,BLACK,Blue Circle
"[255, 0, 0]",2,10,0.4009534690012515,1,C,1,8,RB,BLACK,Blue Circle
"[255, 0, 0]",0,10,0.6572730999996566,1,C,1,8,RB,BLACK,Blue Circle
"[255, 0, 0]",0,10,0.24638537200007704,1,C,1,8,RB,BLACK,Blue Circle
"[0, 0, 255]",2,20,0.49694182999883196,0,C,1,8,RB,BLACK,Blue Circle
"[0, 0, 255]",2,10,0.21372505299950717,0,C,1,8,RB,BLACK,Blue Circle
"[255, 0, 0]",0,20,0.3260553919990343,1,C,1,8,RB,BLACK,Blue Circle
"[0, 0, 255]",0,10,0.19496466700002202,0,C,1,8,RB,BLACK,Blue Circle
"[255, 0, 0]",0,20,0.5827801319992432,1,C,1,8,RB,BLACK,Blue Circle
"[255, 0, 0]",0,20,0.13139047599906917,1,C,1,8,RB,BLACK,Blue Circle
"[255, 0, 0]",0,10,0.11863479699968593,1,C,1,8,RB,BLACK,Blue Circle
"[255, 0, 0]",0,0,0.09049810800024716,1,C,1,8,RB,BLACK,Blue Circle
"[0, 0, 255]",2,10,0.24352759199973661,0,C,1,8,RB,BLACK,Blue Circle
"[255, 0, 0]",0,10,0.3407071879992145,1,C,1,8,RB,BLACK,Blue Circle
"[0, 0, 255]",0,10,0.43046254600085376,0,C,1,8,RB,BLACK,Blue Circle
"[0, 0, 255]",2,10,0.09752148000006855,0,C,1,8,RB,BLACK,Blue Circle
"[0, 0, 255]",0,0,0.07117164000010234,0,C,1,8,RB,BLACK,Blue Circle
