Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,Name,Trial,Circle Size (degrees),Experiment Name,Background Color,Cue
"[255, 0, 0]",0,10,1.8759094189999814,1,C,1,8,RB,BLACK,Red Circle
"[0, 0, 255]",2,0,0.3872984950003229,0,C,1,8,RB,BLACK,Red Circle
"[0, 0, 255]",2,10,0.3073411219997979,0,C,1,8,RB,BLACK,Red Circle
"[0, 0, 255]",0,20,0.3962385710001399,0,C,1,8,RB,BLACK,Red Circle
"[0, 0, 255]",0,0,0.09504913999990094,0,C,1,8,RB,BLACK,Red Circle
"[0, 0, 255]",2,20,0.45318938800028263,0,C,1,8,RB,BLACK,Red Circle
"[0, 0, 255]",2,20,0.6604073309999876,0,C,1,8,RB,BLACK,Red Circle
"[255, 0, 0]",0,10,0.07160287299984702,1,C,1,8,RB,BLACK,Red Circle
"[0, 0, 255]",0,20,0.11576995099994747,0,C,1,8,RB,BLACK,Red Circle
"[255, 0, 0]",0,20,0.010399989999768877,1,C,1,8,RB,BLACK,Red Circle
"[255, 0, 0]",0,20,0.148418324999966,1,C,1,8,RB,BLACK,Red Circle
"[255, 0, 0]",2,20,0.5858157450002182,1,C,1,8,RB,BLACK,Red Circle
"[255, 0, 0]",2,0,0.8603418900001998,1,C,1,8,RB,BLACK,Red Circle
"[255, 0, 0]",0,10,0.27940397900010794,1,C,1,8,RB,BLACK,Red Circle
"[255, 0, 0]",0,10,0.6680334140000923,1,C,1,8,RB,BLACK,Red Circle
"[0, 0, 255]",2,20,0.6515899529999842,0,C,1,8,RB,BLACK,Red Circle
"[255, 0, 0]",2,20,0.7482495550002568,1,C,1,8,RB,BLACK,Red Circle
"[255, 0, 0]",2,0,0.15363394099995276,1,C,1,8,RB,BLACK,Red Circle
"[255, 0, 0]",0,10,0.1212830810000014,1,C,1,8,RB,BLACK,Red Circle
"[0, 0, 255]",0,10,0.4566857949998848,0,C,1,8,RB,BLACK,Red Circle
