Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,Name,Trial,Circle Size (degrees),Experiment Name,Background Color,Cue
"[0, 0, 255]",0,0,0.4106485730004279,1,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",2,0,0.21713032499994733,1,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",2,10,0.2896872150005729,1,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",0,20,0.38418443399927492,1,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",2,10,0.34695737999992707,1,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",0,10,0.34105855500006874,1,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",0,10,0.3559415400001526,1,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",2,20,0.3748011639997203,1,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",0,0,0.32378279399991152,1,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",0,10,0.3014346470001838,1,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",0,10,0.286201203000207897,1,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",0,10,0.29372238399937487,1,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",0,20,0.33398031599957176,1,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",0,20,0.2588565280007242,1,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",0,0,0.314546290000093,1,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",0,10,0.3737689380005104,1,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",0,10,0.30309446200000093,1,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",2,20,0.31575448800044978,1,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",2,0,0.3058752170005682,1,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",2,20,0.32065054800004145,1,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",0,10,0.2819880550002126,1,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",2,10,0.38403310900025099,1,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",0,0,0.275258873000362655,1,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",0,0,0.2930425730004863,1,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",0,20,0.33532036300044274,1,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",0,20,0.3874465730007869,1,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",2,20,0.28725387699929706,1,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",2,10,0.35454762899974594,1,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",0,20,0.3321997749999355,1,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",2,10,0.3447754399998448,1,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",2,10,0.29506019899981766,1,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",0,0,0.2127652809995197,1,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",0,0,0.27770864899987646,1,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",0,20,0.273273033999496,1,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",2,10,0.2719835739998016,1,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",0,0,0.26568443099956494,1,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",0,10,0.32091081300021324,1,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",2,20,0.3228308700003108,1,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",0,0,0.2712664669999285,1,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",2,20,0.3967339840001514,1,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",0,0,0.2670166720005509,1,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",0,0,0.3098857880002397,1,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",0,20,0.33748294099935447,1,C,1,8,BR,BLACK,Blue Circle
"[255, 0, 0]",2,20,0.4029008680002444,1,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",2,10,0.27964948599959462,1,C,1,8,BR,BLACK,Blue Circle
"[0, 0, 255]",2,0,0.34168192600000475,1,C,1,8,BR,BLACK,Blue Circle
