Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,Name,Trial,Circle Size (degrees),Experiment Name,Background Color,Cue
"[0, 0, 255]",0,10,0.3202123769999016,1,C,1,8,BR,BLACK,Red Circle
"[255, 0, 0]",2,0,0.37093208700021205,1,C,1,8,BR,BLACK,Red Circle
"[255, 0, 0]",0,0,0.3614039879998163,1,C,1,8,BR,BLACK,Red Circle
"[255, 0, 0]",2,10,0.3345958290000999,1,C,1,8,BR,BLACK,Red Circle
"[0, 0, 255]",0,10,0.27283772799970029,1,C,1,8,BR,BLACK,Red Circle
"[255, 0, 0]",2,0,0.41868280399940704,1,C,1,8,BR,BLACK,Red Circle
"[0, 0, 255]",2,20,0.33988959999928193,1,C,1,8,BR,BLACK,Red Circle
"[0, 0, 255]",0,20,0.40835143300006166,1,C,1,8,BR,BLACK,Red Circle
"[0, 0, 255]",2,20,0.3427592350004124,1,C,1,8,BR,BLACK,Red Circle
"[0, 0, 255]",0,0,0.2938861720001223,1,C,1,8,BR,BLACK,Red Circle
"[0, 0, 255]",0,0,0.3117740000002668,1,C,1,8,BR,BLACK,Red Circle
"[0, 0, 255]",0,0,0.2935503199996674,1,C,1,8,BR,BLACK,Red Circle
"[0, 0, 255]",0,20,0.32868384300036996,1,C,1,8,BR,BLACK,Red Circle
"[255, 0, 0]",0,0,0.3147862829998339,1,C,1,8,BR,BLACK,Red Circle
"[255, 0, 0]",2,20,0.355398728000225674,1,C,1,8,BR,BLACK,Red Circle
"[255, 0, 0]",2,10,0.3293226550008476,1,C,1,8,BR,BLACK,Red Circle
"[0, 0, 255]",2,10,0.32790433599992684,1,C,1,8,BR,BLACK,Red Circle
"[255, 0, 0]",2,20,0.3453408510004665,1,C,1,8,BR,BLACK,Red Circle
"[255, 0, 0]",0,10,0.3326018310001309,1,C,1,8,BR,BLACK,Red Circle
"[255, 0, 0]",0,0,0.314708970000210684,1,C,1,8,BR,BLACK,Red Circle
"[255, 0, 0]",2,0,0.32497095199978503,1,C,1,8,BR,BLACK,Red Circle
"[0, 0, 255]",0,0,0.2932407120005737,1,C,1,8,BR,BLACK,Red Circle
"[255, 0, 0]",0,20,0.341623899000085657,1,C,1,8,BR,BLACK,Red Circle
"[255, 0, 0]",0,10,0.32278398700026446,1,C,1,8,BR,BLACK,Red Circle
"[255, 0, 0]",0,10,0.3963905290004186,1,C,1,8,BR,BLACK,Red Circle
"[255, 0, 0]",0,10,0.29707631599975139,1,C,1,8,BR,BLACK,Red Circle
"[255, 0, 0]",0,20,0.29354816200058121,1,C,1,8,BR,BLACK,Red Circle
"[0, 0, 255]",2,10,0.30931604000007064,1,C,1,8,BR,BLACK,Red Circle
"[255, 0, 0]",2,0,0.2661014820002456,1,C,1,8,BR,BLACK,Red Circle
"[0, 0, 255]",0,0,0.34169359800046368,1,C,1,8,BR,BLACK,Red Circle
"[0, 0, 255]",2,20,0.4139123879999752,1,C,1,8,BR,BLACK,Red Circle
"[255, 0, 0]",2,10,0.3686110309998694,1,C,1,8,BR,BLACK,Red Circle
"[255, 0, 0]",2,20,0.4102933090002625,1,C,1,8,BR,BLACK,Red Circle
"[0, 0, 255]",0,10,0.3281429029995488,1,C,1,8,BR,BLACK,Red Circle
"[255, 0, 0]",2,20,0.4521353069993638,1,C,1,8,BR,BLACK,Red Circle
"[0, 0, 255]",0,10,0.38839076699998259,1,C,1,8,BR,BLACK,Red Circle
"[255, 0, 0]",0,20,0.30684891500004596,1,C,1,8,BR,BLACK,Red Circle
"[255, 0, 0]",2,20,0.3098376730003583,1,C,1,8,BR,BLACK,Red Circle
"[0, 0, 255]",0,10,0.3032635450004309,1,C,1,8,BR,BLACK,Red Circle
"[0, 0, 255]",2,20,0.2940773369997187,1,C,1,8,BR,BLACK,Red Circle
"[255, 0, 0]",0,10,0.3695869309997506,1,C,1,8,BR,BLACK,Red Circle
"[255, 0, 0]",2,0,0.3956695909998307,1,C,1,8,BR,BLACK,Red Circle
"[255, 0, 0]",2,10,0.3699869390002059,1,C,1,8,BR,BLACK,Red Circle
"[255, 0, 0]",0,20,0.397648827999888454,1,C,1,8,BR,BLACK,Red Circle
"[255, 0, 0]",2,10,0.35053448400018533,1,C,1,8,BR,BLACK,Red Circle
"[255, 0, 0]",2,0,0.4223899269995236,1,C,1,8,BR,BLACK,Red Circle
"[255, 0, 0]",0,20,0.4062587510002704,1,C,1,8,BR,BLACK,Red Circle
"[0, 0, 255]",2,10,0.29726113199972315,1,C,1,8,BR,BLACK,Red Circle
"[0, 0, 255]",2,10,0.2717825740001572,1,C,1,8,BR,BLACK,Red Circle
"[255, 0, 0]",0,0,0.31543496699930984,1,C,1,8,BR,BLACK,Red Circle
"[0, 0, 255]",2,20,0.2954049380000506,1,C,1,8,BR,BLACK,Red Circle
"[255, 0, 0]",2,10,0.377635090999974636,1,C,1,8,BR,BLACK,Red Circle
"[255, 0, 0]",0,0,0.39607396100028564,1,C,1,8,BR,BLACK,Red Circle
"[255, 0, 0]",2,0,0.3541229179996153,1,C,1,8,BR,BLACK,Red Circle
"[255, 0, 0]",2,20,0.4125659399995857,1,C,1,8,BR,BLACK,Red Circle
"[0, 0, 255]",0,10,0.3307616160002144,1,C,1,8,BR,BLACK,Red Circle
"[255, 0, 0]",0,20,0.4402594800000443,1,C,1,8,BR,BLACK,Red Circle
"[255, 0, 0]",2,10,0.4066984289998145,1,C,1,8,BR,BLACK,Red Circle
"[255, 0, 0]",2,10,0.307675973000237718,1,C,1,8,BR,BLACK,Red Circle
"[255, 0, 0]",2,10,0.29564429399985966,1,C,1,8,BR,BLACK,Red Circle
