Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,Name,Trial,Circle Size (degrees),Experiment Name,Background Color,Cue
"[0, 0, 255]",2,10,0.3000462310012663,1,C,1,8,RB,BLACK,Blue Circle
"[0, 0, 255]",2,0,0.289114323998845066,1,C,1,8,RB,BLACK,Blue Circle
"[0, 0, 255]",2,0,0.2566719970000413,1,C,1,8,RB,BLACK,Blue Circle
"[0, 0, 255]",0,10,0.3897883410017239,1,C,1,8,RB,BLACK,Blue Circle
"[255, 0, 0]",2,10,0.2459534690012515,1,C,1,8,RB,BLACK,Blue Circle
"[255, 0, 0]",0,10,0.3642730999996566,1,C,1,8,RB,BLACK,Blue Circle
"[255, 0, 0]",0,10,0.37738537200007704,1,C,1,8,RB,BLACK,Blue Circle
"[0, 0, 255]",2,20,0.32894182999883196,1,C,1,8,RB,BLACK,Blue Circle
"[0, 0, 255]",2,10,0.37772505299950717,1,C,1,8,RB,BLACK,Blue Circle
"[255, 0, 0]",0,20,0.3190553919990343,1,C,1,8,RB,BLACK,Blue Circle
"[0, 0, 255]",0,10,0.36596466700002202,1,C,1,8,RB,BLACK,Blue Circle
"[255, 0, 0]",0,20,0.3207801319992432,1,C,1,8,RB,BLACK,Blue Circle
"[255, 0, 0]",0,20,0.38839047599906917,1,C,1,8,RB,BLACK,Blue Circle
"[255, 0, 0]",0,10,0.31363479699968593,1,C,1,8,RB,BLACK,Blue Circle
"[255, 0, 0]",0,0,0.37249810800024716,1,C,1,8,RB,BLACK,Blue Circle
"[0, 0, 255]",2,10,0.31152759199973661,1,C,1,8,RB,BLACK,Blue Circle
"[255, 0, 0]",0,10,0.3827071879992145,1,C,1,8,RB,BLACK,Blue Circle
"[0, 0, 255]",0,10,0.29946254600085376,1,C,1,8,RB,BLACK,Blue Circle
"[0, 0, 255]",2,10,0.38252148000006855,1,C,1,8,RB,BLACK,Blue Circle
"[0, 0, 255]",0,0,0.29117164000010234,1,C,1,8,RB,BLACK,Blue Circle
