Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,Name,Trial,Circle Size (degrees),Experiment Name,Background Color,Cue
"[255, 0, 0]",0,10,0.4369094189999814,1,C,1,8,RB,BLACK,Red Circle
"[0, 0, 255]",2,0,0.3352984950003229,1,C,1,8,RB,BLACK,Red Circle
"[0, 0, 255]",2,10,0.3343411219997979,1,C,1,8,RB,BLACK,Red Circle
"[0, 0, 255]",0,20,0.3062385710001399,1,C,1,8,RB,BLACK,Red Circle
"[0, 0, 255]",0,0,0.29304913999990094,1,C,1,8,RB,BLACK,Red Circle
"[0, 0, 255]",2,20,0.40618938800028263,1,C,1,8,RB,BLACK,Red Circle
"[0, 0, 255]",2,20,0.3654073309999876,1,C,1,8,RB,BLACK,Red Circle
"[255, 0, 0]",0,10,0.46460287299984702,1,C,1,8,RB,BLACK,Red Circle
"[0, 0, 255]",0,20,0.30176995099994747,1,C,1,8,RB,BLACK,Red Circle
"[255, 0, 0]",0,20,0.322399989999768877,1,C,1,8,RB,BLACK,Red Circle
"[255, 0, 0]",0,20,0.430418324999966,1,C,1,8,RB,BLACK,Red Circle
"[255, 0, 0]",2,20,0.2998157450002182,1,C,1,8,RB,BLACK,Red Circle
"[255, 0, 0]",2,0,0.2393418900001998,1,C,1,8,RB,BLACK,Red Circle
"[255, 0, 0]",0,10,0.35840397900010794,1,C,1,8,RB,BLACK,Red Circle
"[255, 0, 0]",0,10,0.3500334140000923,1,C,1,8,RB,BLACK,Red Circle
"[0, 0, 255]",2,20,0.3265899529999842,1,C,1,8,RB,BLACK,Red Circle
"[255, 0, 0]",2,20,0.3432495550002568,1,C,1,8,RB,BLACK,Red Circle
"[255, 0, 0]",2,0,0.38363394099995276,1,C,1,8,RB,BLACK,Red Circle
"[255, 0, 0]",0,10,0.3522830810000014,1,C,1,8,RB,BLACK,Red Circle
"[0, 0, 255]",0,10,0.4516857949998848,1,C,1,8,RB,BLACK,Red Circle
"[255, 0, 0]",2,20,0.33818342100003065,1,C,1,8,RB,BLACK,Red Circle
"[0, 0, 255]",0,0,0.29407563800001662,1,C,1,8,RB,BLACK,Red Circle
"[0, 0, 255]",0,10,0.405629774999946676,1,C,1,8,RB,BLACK,Red Circle
"[255, 0, 0]",2,0,0.26682319599975017,1,C,1,8,RB,BLACK,Red Circle
"[0, 0, 255]",0,20,0.2407342490001029,1,C,1,8,RB,BLACK,Red Circle
"[255, 0, 0]",0,20,0.36912099499987744,1,C,1,8,RB,BLACK,Red Circle
"[255, 0, 0]",0,0,0.3435133580000474,1,C,1,8,RB,BLACK,Red Circle
"[0, 0, 255]",2,20,0.3288716200001254,1,C,1,8,RB,BLACK,Red Circle
"[0, 0, 255]",2,0,0.297559136000050785,1,C,1,8,RB,BLACK,Red Circle
"[0, 0, 255]",0,0,0.37501531300017086,1,C,1,8,RB,BLACK,Red Circle
"[0, 0, 255]",2,0,0.33344361300034507,1,C,1,8,RB,BLACK,Red Circle
"[0, 0, 255]",2,20,0.4807862089998052,1,C,1,8,RB,BLACK,Red Circle
"[0, 0, 255]",2,20,0.32213757099984286,1,C,1,8,RB,BLACK,Red Circle
"[255, 0, 0]",0,0,0.30840256300003966,1,C,1,8,RB,BLACK,Red Circle
"[0, 0, 255]",0,0,0.39940197199985414,1,C,1,8,RB,BLACK,Red Circle
"[255, 0, 0]",2,0,0.2688270260001882,1,C,1,8,RB,BLACK,Red Circle
"[0, 0, 255]",0,20,0.2420950279997523,1,C,1,8,RB,BLACK,Red Circle
"[0, 0, 255]",2,0,0.34155307000017274,1,C,1,8,RB,BLACK,Red Circle
"[0, 0, 255]",0,10,0.3318363400001617,1,C,1,8,RB,BLACK,Red Circle
"[255, 0, 0]",2,0,0.31100286099984078,1,C,1,8,RB,BLACK,Red Circle
"[0, 0, 255]",2,20,0.3359586420000451,1,C,1,8,RB,BLACK,Red Circle
"[0, 0, 255]",2,10,0.3948042279999827,1,C,1,8,RB,BLACK,Red Circle
"[255, 0, 0]",0,20,0.3659858890002615,1,C,1,8,RB,BLACK,Red Circle
"[0, 0, 255]",2,20,0.4820798519999953,1,C,1,8,RB,BLACK,Red Circle
"[255, 0, 0]",0,0,0.3078025880001842,1,C,1,8,RB,BLACK,Red Circle
"[255, 0, 0]",0,20,0.3285601240001924,1,C,1,8,RB,BLACK,Red Circle
"[0, 0, 255]",2,0,0.4019986799999533,1,C,1,8,RB,BLACK,Red Circle
"[0, 0, 255]",2,0,0.25242839400005323,1,C,1,8,RB,BLACK,Red Circle
"[255, 0, 0]",2,10,0.26284542300000612,1,C,1,8,RB,BLACK,Red Circle
"[255, 0, 0]",2,10,0.3732643990000688,1,C,1,8,RB,BLACK,Red Circle
"[0, 0, 255]",0,20,0.3426876460000967,1,C,1,8,RB,BLACK,Red Circle
"[255, 0, 0]",0,20,0.33152768600000127,1,C,1,8,RB,BLACK,Red Circle
"[255, 0, 0]",2,10,0.33197372399994129,1,C,1,8,RB,BLACK,Red Circle
"[0, 0, 255]",2,0,0.379962644999825,1,C,1,8,RB,BLACK,Red Circle
"[0, 0, 255]",0,20,0.3559850430001607,1,C,1,8,RB,BLACK,Red Circle
"[0, 0, 255]",2,20,0.48402198199967097,1,C,1,8,RB,BLACK,Red Circle
"[255, 0, 0]",2,20,0.3445970850002086,1,C,1,8,RB,BLACK,Red Circle
"[0, 0, 255]",0,0,0.3009176780001835,1,C,1,8,RB,BLACK,Red Circle
"[255, 0, 0]",0,0,0.42127372600018134,1,C,1,8,RB,BLACK,Red Circle
"[0, 0, 255]",2,0,0.2541194699998996,1,C,1,8,RB,BLACK,Red Circle
"[0, 0, 255]",2,0,0.22862041300037527,1,C,1,8,RB,BLACK,Red Circle
"[255, 0, 0]",2,10,0.3758218939999715,1,C,1,8,RB,BLACK,Red Circle
"[255, 0, 0]",2,0,0.3492063489999055,1,C,1,8,RB,BLACK,Red Circle
