Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,Name,Trial,Circle Size (degrees),Experiment Name,Background Color,Cue
"[255, 255, 0]",0,0,1.6247547029997804,0,C,1,8,BY,BLACK,Yellow Circle
"[0, 0, 255]",2,20,0.14772289500069746,1,C,1,8,BY,BLACK,Yellow Circle
"[255, 255, 0]",0,0,0.2573659459994815,0,C,1,8,BY,BLACK,Yellow Circle
"[255, 255, 0]",0,20,0.9543744739994509,0,C,1,8,BY,BLACK,Yellow Circle
"[0, 0, 255]",0,10,0.5859904259996256,1,C,1,8,BY,BLACK,Yellow Circle
"[0, 0, 255]",0,10,0.7168496849999428,1,C,1,8,BY,BLACK,Yellow Circle
"[0, 0, 255]",0,20,0.3142057639997802,1,C,1,8,BY,BLACK,Yellow Circle
"[0, 0, 255]",0,20,0.6330983279995053,1,C,1,8,BY,BLACK,Yellow Circle
"[0, 0, 255]",0,20,0.37357282300035877,1,C,1,8,BY,BLACK,Yellow Circle
"[0, 0, 255]",0,10,0.276341023999521,1,C,1,8,BY,BLACK,Yellow Circle
"[255, 255, 0]",2,0,0.04611105900039547,0,C,1,8,BY,BLACK,Yellow Circle
"[0, 0, 255]",0,0,0.08449587599989172,1,C,1,8,BY,BLACK,Yellow Circle
"[255, 255, 0]",0,10,0.061853947000599874,0,C,1,8,BY,BLACK,Yellow Circle
"[255, 255, 0]",2,10,0.12123171700022795,0,C,1,8,BY,BLACK,Yellow Circle
"[255, 255, 0]",0,0,0.7774111170001561,0,C,1,8,BY,BLACK,Yellow Circle
"[0, 0, 255]",2,0,0.301564796999628,1,C,1,8,BY,BLACK,Yellow Circle
"[255, 255, 0]",2,0,0.6659439110007952,0,C,1,8,BY,BLACK,Yellow Circle
"[255, 255, 0]",0,0,0.03263761800008069,0,C,1,8,BY,BLACK,Yellow Circle
"[0, 0, 255]",0,0,0.16618035200008308,1,C,1,8,BY,BLACK,Yellow Circle
"[255, 255, 0]",0,20,0.18292675599968788,0,C,1,8,BY,BLACK,Yellow Circle
"[0, 0, 255]",2,20,0.22873404799975106,1,C,1,8,BY,BLACK,Yellow Circle
"[0, 0, 255]",0,10,0.026049578999845835,1,C,1,8,BY,BLACK,Yellow Circle
"[0, 0, 255]",0,0,0.1333353129994066,1,C,1,8,BY,BLACK,Yellow Circle
"[0, 0, 255]",0,20,0.2605036150007436,1,C,1,8,BY,BLACK,Yellow Circle
"[0, 0, 255]",2,20,0.19610672100043303,1,C,1,8,BY,BLACK,Yellow Circle
"[0, 0, 255]",0,0,0.06664076200013369,1,C,1,8,BY,BLACK,Yellow Circle
"[0, 0, 255]",0,0,0.9487522300005367,1,C,1,8,BY,BLACK,Yellow Circle
"[0, 0, 255]",0,0,0.14544706600008794,1,C,1,8,BY,BLACK,Yellow Circle
"[0, 0, 255]",0,10,0.11085417499998584,1,C,1,8,BY,BLACK,Yellow Circle
