Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,Name,Trial,Circle Size (degrees),Experiment Name,Background Color,Cue
"[255, 255, 0]",2,10,2.4887750799998685,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",2,10,0.13596302600035415,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",2,0,0.4903332829999272,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",2,20,0.6805468780003139,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",2,0,0.7091408649994264,0,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",0,20,0.3350561990000642,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",0,0,0.24817863699990994,0,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",0,20,0.3624178939999183,0,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",2,0,0.768110238999725,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",0,20,0.15604300699942542,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",2,20,0.25869470499947056,0,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",0,0,0.1908399180001652,0,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",0,0,0.12573554899972805,0,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",0,0,0.014601664999645436,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",2,0,0.27654405500015855,0,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",2,0,0.34062885399998777,0,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",2,10,0.607725914999719,0,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",0,10,0.48448270700009743,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",2,20,0.3059662079995178,0,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",0,20,0.67891630000031,0,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",0,10,0.14953441399939038,0,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",0,20,0.01334083100027783,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",2,0,0.6510208990002866,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",0,10,0.016187333999369002,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",0,0,0.8364726820000215,0,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",0,20,0.12158621699927608,0,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",2,10,0.2159752630004732,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",0,0,0.32640279999941413,0,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",0,0,0.07534983899950021,0,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",0,20,0.20197301400003198,0,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",2,20,0.0913349209995431,0,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",2,0,0.5615749070002494,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",0,10,0.24682141999983287,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",2,10,0.2604058159995475,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",0,0,0.3621596209995914,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",2,0,0.5952938000000358,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",0,10,0.4600192939997214,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",2,20,0.39883708099932846,0,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",2,10,0.12168492499949934,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",2,20,0.11247743399962928,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",2,0,0.27547519499967166,0,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",0,10,0.030484092000733654,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",2,0,0.07460498999989795,0,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",2,20,0.4109835690005639,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",0,20,0.7912658330005797,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",0,0,0.42726492200017674,0,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",0,20,0.06390018299953226,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",0,0,0.6636166429998411,0,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",2,0,0.362477294999735,0,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",0,10,0.8821388659998775,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",2,0,0.6365348500003165,0,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",0,10,0.40043626299939206,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",2,10,0.45367253000040364,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",0,20,0.046837937000418606,0,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",2,10,0.40950243699990097,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",0,10,0.1494387259999712,0,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",0,0,0.13040860899945983,0,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",2,10,0.3086545369997111,0,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",0,10,0.5941297579993261,0,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",0,20,0.17014766100055567,0,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",2,20,0.3603757719993155,0,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",0,20,0.9543702649998522,0,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",2,20,0.7794485799995527,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",2,0,0.17143137400034902,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",2,0,0.23354434500015486,0,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",2,10,0.4286406760002137,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",0,0,0.8576291660001516,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",2,20,0.16571799899975304,0,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",0,10,0.20826487599970278,0,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",0,0,0.006432954000047175,0,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",2,0,0.030437079999501293,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",0,20,0.6796612730004199,0,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",0,0,0.6176240869999674,0,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",0,20,0.08345353699951374,0,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",0,20,0.3903235299994776,0,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",2,20,0.3308705170002213,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",0,20,0.4896380059999501,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",2,20,0.23853921699992497,0,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",0,10,0.34413131499968586,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",0,20,0.1903186130002723,0,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",0,20,0.029080168999826128,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",0,0,0.02443849900009809,0,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",2,10,0.2890249650008627,0,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",2,0,0.12256773400076781,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",0,10,0.9067103449997376,0,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",0,0,0.052475653999863425,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",0,10,0.1521797619998324,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",2,10,0.019010992999938026,0,C,1,8,YB,BLACK,Blue Circle
