Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,Name,Trial,Circle Size (degrees),Experiment Name,Background Color,Cue
"[255, 255, 0]",0,20,1.3476726860008057,1,C,1,8,YB,BLACK,Yellow Circle
"[0, 0, 255]",0,0,0.5087741850002203,0,C,1,8,YB,BLACK,Yellow Circle
"[255, 255, 0]",2,20,0.09721537299992633,1,C,1,8,YB,BLACK,Yellow Circle
"[0, 0, 255]",2,20,0.09766386899900681,0,C,1,8,YB,BLACK,Yellow Circle
"[0, 0, 255]",2,10,0.3124824490005267,0,C,1,8,YB,BLACK,Yellow Circle
"[0, 0, 255]",0,0,0.012339532000623876,0,C,1,8,YB,BLACK,Yellow Circle
"[255, 255, 0]",2,20,0.2108987999999954,1,C,1,8,YB,BLACK,Yellow Circle
"[255, 255, 0]",0,0,0.09074817299915594,1,C,1,8,YB,BLACK,Yellow Circle
"[255, 255, 0]",2,0,0.07089578799968876,1,C,1,8,YB,BLACK,Yellow Circle
"[0, 0, 255]",0,10,0.22503544799837982,0,C,1,8,YB,BLACK,Yellow Circle
"[0, 0, 255]",0,20,0.16197910100163426,0,C,1,8,YB,BLACK,Yellow Circle
"[255, 255, 0]",2,0,0.14649145799921826,1,C,1,8,YB,BLACK,Yellow Circle
"[255, 255, 0]",2,0,0.3900306309988082,1,C,1,8,YB,BLACK,Yellow Circle
"[0, 0, 255]",2,10,0.6541950729988457,0,C,1,8,YB,BLACK,Yellow Circle
"[255, 255, 0]",0,10,0.4060587510011828,1,C,1,8,YB,BLACK,Yellow Circle
"[0, 0, 255]",0,10,0.2754502650004724,0,C,1,8,YB,BLACK,Yellow Circle
"[0, 0, 255]",2,20,0.600034647000939,0,C,1,8,YB,BLACK,Yellow Circle
"[255, 255, 0]",0,0,0.313154804000078,1,C,1,8,YB,BLACK,Yellow Circle
"[0, 0, 255]",0,20,0.07756279099885433,0,C,1,8,YB,BLACK,Yellow Circle
"[255, 255, 0]",2,10,0.3842686429998139,1,C,1,8,YB,BLACK,Yellow Circle
"[255, 255, 0]",0,10,0.8064444809988345,1,C,1,8,YB,BLACK,Yellow Circle
"[255, 255, 0]",0,0,0.7166095100001257,1,C,1,8,YB,BLACK,Yellow Circle
