Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,Name,Trial,Circle Size (degrees),Experiment Name,Background Color,Cue
"[255, 255, 0]",0,10,0.3644042880000416,1,C,1,8,BY,BLACK,Blue Circle
"[255, 255, 0]",0,10,0.36973156799997378,1,C,1,8,BY,BLACK,Blue Circle
"[0, 0, 255]",2,10,0.3647633019998175,1,C,1,8,BY,BLACK,Blue Circle
"[255, 255, 0]",0,0,0.2489928359997866,1,C,1,8,BY,BLACK,Blue Circle
"[0, 0, 255]",2,10,0.41041905299975042,1,C,1,8,BY,BLACK,Blue Circle
"[0, 0, 255]",2,10,0.32916156499992212,1,C,1,8,BY,BLACK,Blue Circle
"[255, 255, 0]",0,0,0.2880525379996543,1,C,1,8,BY,BLACK,Blue Circle
"[255, 255, 0]",2,10,0.3228602390005617,1,C,1,8,BY,BLACK,Blue Circle
"[0, 0, 255]",0,10,0.2795784180002447,1,C,1,8,BY,BLACK,Blue Circle
"[0, 0, 255]",0,20,0.27581732300011936,1,C,1,8,BY,BLACK,Blue Circle
"[255, 255, 0]",0,0,0.3460493870001519,1,C,1,8,BY,BLACK,Blue Circle
"[255, 255, 0]",2,10,0.41359324299977015,1,C,1,8,BY,BLACK,Blue Circle
"[0, 0, 255]",2,10,0.2876628350007741,1,C,1,8,BY,BLACK,Blue Circle
"[0, 0, 255]",0,0,0.3000274669996288,1,C,1,8,BY,BLACK,Blue Circle
"[255, 255, 0]",0,10,0.3235489990004062,1,C,1,8,BY,BLACK,Blue Circle
"[255, 255, 0]",0,0,0.29094527200028097,1,C,1,8,BY,BLACK,Blue Circle
"[0, 0, 255]",0,0,0.3455815409997522,1,C,1,8,BY,BLACK,Blue Circle
"[0, 0, 255]",2,10,0.32836412699968787,1,C,1,8,BY,BLACK,Blue Circle
"[0, 0, 255]",2,10,0.34566264000014053,1,C,1,8,BY,BLACK,Blue Circle
"[255, 255, 0]",0,20,0.2135870430007708,1,C,1,8,BY,BLACK,Blue Circle
"[0, 0, 255]",0,0,0.29869733599966276,1,C,1,8,BY,BLACK,Blue Circle
"[0, 0, 255]",2,0,0.3062436289995894,1,C,1,8,BY,BLACK,Blue Circle
"[0, 0, 255]",0,10,0.33933995600002527,1,C,1,8,BY,BLACK,Blue Circle
