Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,Name,Trial,Circle Size (degrees),Experiment Name,Background Color,Cue
"[255, 255, 0]",0,0,0.3167547029997804,1,C,1,8,BY,BLACK,Yellow Circle
"[0, 0, 255]",2,20,0.42172289500069746,1,C,1,8,BY,BLACK,Yellow Circle
"[255, 255, 0]",0,0,0.3153659459994815,1,C,1,8,BY,BLACK,Yellow Circle
"[255, 255, 0]",0,20,0.2313744739994509,1,C,1,8,BY,BLACK,Yellow Circle
"[0, 0, 255]",0,10,0.3069904259996256,1,C,1,8,BY,BLACK,Yellow Circle
"[0, 0, 255]",0,10,0.2448496849999428,1,C,1,8,BY,BLACK,Yellow Circle
"[0, 0, 255]",0,20,0.3042057639997802,1,C,1,8,BY,BLACK,Yellow Circle
"[0, 0, 255]",0,20,0.2050983279995053,1,C,1,8,BY,BLACK,Yellow Circle
"[0, 0, 255]",0,20,0.33657282300035877,1,C,1,8,BY,BLACK,Yellow Circle
"[0, 0, 255]",0,10,0.348341023999521,1,C,1,8,BY,BLACK,Yellow Circle
"[255, 255, 0]",2,0,0.29111105900039547,1,C,1,8,BY,BLACK,Yellow Circle
"[0, 0, 255]",0,0,0.33449587599989172,1,C,1,8,BY,BLACK,Yellow Circle
"[255, 255, 0]",0,10,0.251853947000599874,1,C,1,8,BY,BLACK,Yellow Circle
"[255, 255, 0]",2,10,0.41623171700022795,1,C,1,8,BY,BLACK,Yellow Circle
"[255, 255, 0]",0,0,0.3154111170001561,1,C,1,8,BY,BLACK,Yellow Circle
"[0, 0, 255]",2,0,0.209564796999628,1,C,1,8,BY,BLACK,Yellow Circle
"[255, 255, 0]",2,0,0.3079439110007952,1,C,1,8,BY,BLACK,Yellow Circle
"[255, 255, 0]",0,0,0.26063761800008069,1,C,1,8,BY,BLACK,Yellow Circle
"[0, 0, 255]",0,0,0.28518035200008308,1,C,1,8,BY,BLACK,Yellow Circle
"[255, 255, 0]",0,20,0.21792675599968788,1,C,1,8,BY,BLACK,Yellow Circle
"[0, 0, 255]",2,20,0.36573404799975106,1,C,1,8,BY,BLACK,Yellow Circle
"[0, 0, 255]",0,10,0.348049578999845835,1,C,1,8,BY,BLACK,Yellow Circle
"[0, 0, 255]",0,0,0.2833353129994066,1,C,1,8,BY,BLACK,Yellow Circle
"[0, 0, 255]",0,20,0.3535036150007436,1,C,1,8,BY,BLACK,Yellow Circle
"[0, 0, 255]",2,20,0.27010672100043303,1,C,1,8,BY,BLACK,Yellow Circle
"[0, 0, 255]",0,0,0.24064076200013369,1,C,1,8,BY,BLACK,Yellow Circle
"[0, 0, 255]",0,0,0.2477522300005367,1,C,1,8,BY,BLACK,Yellow Circle
"[0, 0, 255]",0,0,0.36244706600008794,1,C,1,8,BY,BLACK,Yellow Circle
"[0, 0, 255]",0,10,0.23885417499998584,1,C,1,8,BY,BLACK,Yellow Circle
"[0, 0, 255]",0,20,0.2409636599997539,1,C,1,8,BY,BLACK,Yellow Circle
"[255, 255, 0]",2,20,0.3064612260003923,1,C,1,8,BY,BLACK,Yellow Circle
"[255, 255, 0]",0,20,0.2723613809999515,1,C,1,8,BY,BLACK,Yellow Circle
"[255, 255, 0]",2,10,0.397025585999974282,1,C,1,8,BY,BLACK,Yellow Circle
"[255, 255, 0]",2,20,0.29528726100009226,1,C,1,8,BY,BLACK,Yellow Circle
