Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,Name,Trial,Circle Size (degrees),Experiment Name,Background Color,Cue
"[255, 255, 0]",2,10,0.3757750799998685,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",2,10,0.31396302600035415,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",2,0,0.3343332829999272,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",2,20,0.4265468780003139,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",2,0,0.2581408649994264,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",0,20,0.2550561990000642,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",0,0,0.25717863699990994,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",0,20,0.3484178939999183,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",2,0,0.271110238999725,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",0,20,0.42304300699942542,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",2,20,0.40969470499947056,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",0,0,0.3538399180001652,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",0,0,0.36173554899972805,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",0,0,0.327601664999645436,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",2,0,0.31854405500015855,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",2,0,0.34362885399998777,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",2,10,0.342725914999719,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",0,10,0.34448270700009743,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",2,20,0.2579662079995178,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",0,20,0.27591630000031,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",0,10,0.40653441399939038,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",0,20,0.40834083100027783,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",2,0,0.3680208990002866,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",0,10,0.375187333999369002,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",0,0,0.3194726820000215,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",0,20,0.33758621699927608,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",2,10,0.3719752630004732,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",0,0,0.33040279999941413,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",0,0,0.32834983899950021,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",0,20,0.25097301400003198,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",2,20,0.2853349209995431,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",2,0,0.4075749070002494,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",0,10,0.40082141999983287,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",2,10,0.3824058159995475,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",0,0,0.3661596209995914,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",2,0,0.3292938000000358,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",0,10,0.3370192939997214,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",2,20,0.37183708099932846,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",2,10,0.36168492499949934,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",2,20,0.36347743399962928,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",2,0,0.23347519499967166,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",0,10,0.283484092000733654,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",2,0,0.39960498999989795,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",2,20,0.4189835690005639,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",0,20,0.3882658330005797,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",0,0,0.36426492200017674,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",0,20,0.34990018299953226,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",0,0,0.3216166429998411,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",2,0,0.346477294999735,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",0,10,0.3581388659998775,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",2,0,0.3305348500003165,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",0,10,0.26243626299939206,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",2,10,0.28867253000040364,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",0,20,0.418837937000418606,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",2,10,0.40650243699990097,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",0,10,0.3664387259999712,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",0,0,0.36540860899945983,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",2,10,0.3356545369997111,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",0,10,0.3311297579993261,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",0,20,0.36514766100055567,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",2,20,0.3603757719993155,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",0,20,0.3503702649998522,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",2,20,0.2804485799995527,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",2,0,0.27643137400034902,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",2,0,0.40154434500015486,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",2,10,0.4076406760002137,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",0,0,0.3726291660001516,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",2,20,0.39371799899975304,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",0,10,0.33226487599970278,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",0,0,0.323432954000047175,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",2,0,0.362437079999501293,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",0,20,0.3536612730004199,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",0,0,0.3326240869999674,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",0,20,0.25445353699951374,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",0,20,0.2803235299994776,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",2,20,0.4388705170002213,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",0,20,0.4136380059999501,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",2,20,0.38553921699992497,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",0,10,0.38013131499968586,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",0,20,0.3433186130002723,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",0,20,0.350080168999826128,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",0,0,0.34943849900009809,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",2,10,0.3480249650008627,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",2,0,0.34056773400076781,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",0,10,0.2467103449997376,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",0,0,0.278475653999863425,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",0,10,0.4211797619998324,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",2,10,0.403010992999938026,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",2,20,0.38604631600020366,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",0,10,0.38102472799955285,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",0,0,0.32571742499964603,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",2,0,0.32591338500039274,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",0,10,0.3731860229997837,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",0,20,0.3557584369999822,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",0,0,0.34185718800013274,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",2,0,0.257155642999314296,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",0,10,0.27344421000000875,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",0,20,0.43156494399969961,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",0,0,0.3913473099999828,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",2,0,0.36123726900043403,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",0,10,0.38226145499940321,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",0,20,0.35481230299998424,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",0,0,0.3345935119998976,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",2,20,0.3918191870006267,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",2,10,0.3674679599994415,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",2,10,0.3497768219995487,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",0,10,0.2672409359996964,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",0,20,0.2834386069996035,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",2,10,0.4184955179999088,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",2,10,0.40549629400054255,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",2,10,0.38986138899964135,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",2,20,0.3973920809994888,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",0,0,0.3366895760000407,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",2,0,0.33593265800007066,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",0,10,0.37569122800005425,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",2,20,0.38221780499986926,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",2,10,0.35774475599966536,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",2,0,0.2401327940004558,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",0,10,0.29005501999975968,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",0,10,0.424686923000117531,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",2,10,0.4068596499996638,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",0,0,0.3634412969997866,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",2,10,0.388518084999705,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",0,10,0.3371378560000303,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",2,20,0.3556222690001741,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",2,10,0.36645860700063349,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",2,10,0.352946575999914785,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",2,20,0.3719234509997841,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",2,0,0.24142945000006875,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",2,20,0.2942807469995605,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",2,20,0.4435245709998635,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",0,20,0.4184125190003542,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",0,10,0.38796135499972297,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",2,0,0.37593053899955703,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",0,0,0.33892474899966328,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",0,10,0.3380255589992812,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",2,10,0.3816075589998582,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",2,10,0.3531620280000425,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",2,0,0.33868401100000483,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",2,10,0.2749353760004815,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",2,0,0.2689753920001167,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",2,20,0.4449702689997066,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",0,10,0.4042177779997874,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",0,0,0.36556496100006916,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",0,10,0.38382117799957632,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",0,0,0.33006919299991569,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",2,20,0.35757637999964209,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",0,0,0.36967095899987908,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",2,20,0.3854279569997889,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",2,20,0.36650066600005084,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",2,0,0.262961532000015723,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",0,20,0.2873695979998156,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",0,20,0.42735514199943282,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",2,10,0.40962980099973356,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",2,10,0.39371628600022814,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",2,10,0.3880687899998884,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",0,10,0.3499394160007214,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",2,10,0.3448584649996701,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",2,20,0.39676226500012854,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",2,0,0.3424277800004929,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",2,20,0.37434549900037382,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",2,0,0.2448462490006132,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",2,20,0.312705213000808726,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",0,10,0.42856889599917486,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",0,0,0.40376083200044377,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",0,10,0.39098597799958225,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",0,0,0.37898235100034799,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",0,20,0.3515854380001256,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",0,20,0.35037665900067805,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",2,20,0.39735158699966996,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",2,10,0.373921380999469,1,C,1,8,YB,BLACK,Blue Circle
"[255, 255, 0]",0,20,0.36773321200037753,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",0,0,0.2452561329999953,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",2,0,0.2713134840003913,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",0,20,0.4296155989993786,1,C,1,8,YB,BLACK,Blue Circle
"[0, 0, 255]",0,0,0.3984477039998892,1,C,1,8,YB,BLACK,Blue Circle
