Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,Name,Trial,Circle Size (degrees),Experiment Name,Background Color,Cue
"[255, 255, 0]",0,20,0.3756726860008057,1,C,1,8,YB,BLACK,Yellow Circle
"[0, 0, 255]",0,0,0.2867741850002203,1,C,1,8,YB,BLACK,Yellow Circle
"[255, 255, 0]",2,20,0.31921537299992633,1,C,1,8,YB,BLACK,Yellow Circle
"[0, 0, 255]",2,20,0.39666386899900681,1,C,1,8,YB,BLACK,Yellow Circle
"[0, 0, 255]",2,10,0.3134824490005267,1,C,1,8,YB,BLACK,Yellow Circle
"[0, 0, 255]",0,0,0.328339532000623876,1,C,1,8,YB,BLACK,Yellow Circle
"[255, 255, 0]",2,20,0.3958987999999954,1,C,1,8,YB,BLACK,Yellow Circle
"[255, 255, 0]",0,0,0.44074817299915594,1,C,1,8,YB,BLACK,Yellow Circle
"[255, 255, 0]",2,0,0.31789578799968876,1,C,1,8,YB,BLACK,Yellow Circle
"[0, 0, 255]",0,10,0.24603544799837982,1,C,1,8,YB,BLACK,Yellow Circle
"[0, 0, 255]",0,20,0.26497910100163426,1,C,1,8,YB,BLACK,Yellow Circle
"[255, 255, 0]",2,0,0.34849145799921826,1,C,1,8,YB,BLACK,Yellow Circle
"[255, 255, 0]",2,0,0.2350306309988082,1,C,1,8,YB,BLACK,Yellow Circle
"[0, 0, 255]",2,10,0.3791950729988457,1,C,1,8,YB,BLACK,Yellow Circle
"[255, 255, 0]",0,10,0.2890587510011828,1,C,1,8,YB,BLACK,Yellow Circle
"[0, 0, 255]",0,10,0.3194502650004724,1,C,1,8,YB,BLACK,Yellow Circle
"[0, 0, 255]",2,20,0.380034647000939,1,C,1,8,YB,BLACK,Yellow Circle
"[255, 255, 0]",0,0,0.395154804000078,1,C,1,8,YB,BLACK,Yellow Circle
"[0, 0, 255]",0,20,0.27456279099885433,1,C,1,8,YB,BLACK,Yellow Circle
"[255, 255, 0]",2,10,0.3012686429998139,1,C,1,8,YB,BLACK,Yellow Circle
"[255, 255, 0]",0,10,0.3154444809988345,1,C,1,8,YB,BLACK,Yellow Circle
"[255, 255, 0]",0,0,0.3506095100001257,1,C,1,8,YB,BLACK,Yellow Circle
"[255, 255, 0]",2,0,0.3774262569997518,1,C,1,8,YB,BLACK,Yellow Circle
"[255, 255, 0]",2,20,0.3645732900001749,1,C,1,8,YB,BLACK,Yellow Circle
"[0, 0, 255]",2,0,0.3867341159991629,1,C,1,8,YB,BLACK,Yellow Circle
"[0, 0, 255]",0,0,0.3620855810010253,1,C,1,8,YB,BLACK,Yellow Circle
"[255, 255, 0]",2,10,0.4023937100013136,1,C,1,8,YB,BLACK,Yellow Circle
"[0, 0, 255]",2,20,0.33230023800111667,1,C,1,8,YB,BLACK,Yellow Circle
"[0, 0, 255]",2,20,0.4597975829996722,1,C,1,8,YB,BLACK,Yellow Circle
"[255, 255, 0]",0,0,0.39225098299958336,1,C,1,8,YB,BLACK,Yellow Circle
"[0, 0, 255]",0,10,0.24701730099999986,1,C,1,8,YB,BLACK,Yellow Circle
"[255, 255, 0]",2,0,0.3961670910007524,1,C,1,8,YB,BLACK,Yellow Circle
"[255, 255, 0]",2,20,0.4238299549992662,1,C,1,8,YB,BLACK,Yellow Circle
"[0, 0, 255]",2,20,0.30380837099868222,1,C,1,8,YB,BLACK,Yellow Circle
"[0, 0, 255]",0,20,0.2170604489987454,1,C,1,8,YB,BLACK,Yellow Circle
"[255, 255, 0]",0,20,0.3855901300005353,1,C,1,8,YB,BLACK,Yellow Circle
"[255, 255, 0]",2,0,0.295431090999612934,1,C,1,8,YB,BLACK,Yellow Circle
"[255, 255, 0]",2,20,0.3958926229993231,1,C,1,8,YB,BLACK,Yellow Circle
"[255, 255, 0]",0,20,0.36636394099978497,1,C,1,8,YB,BLACK,Yellow Circle
"[0, 0, 255]",2,10,0.3434140249985503,1,C,1,8,YB,BLACK,Yellow Circle
"[0, 0, 255]",0,0,0.35995515600084036,1,C,1,8,YB,BLACK,Yellow Circle
"[255, 255, 0]",0,10,0.31243289200057916,1,C,1,8,YB,BLACK,Yellow Circle
"[255, 255, 0]",0,10,0.36052562199971,1,C,1,8,YB,BLACK,Yellow Circle
"[0, 0, 255]",2,0,0.2143766550004657,1,C,1,8,YB,BLACK,Yellow Circle
"[255, 255, 0]",0,0,0.3781655670006003,1,C,1,8,YB,BLACK,Yellow Circle
"[255, 255, 0]",0,20,0.338459602999850176,1,C,1,8,YB,BLACK,Yellow Circle
"[255, 255, 0]",2,20,0.40834269000031054,1,C,1,8,YB,BLACK,Yellow Circle
"[255, 255, 0]",2,20,0.2878505119985348,1,C,1,8,YB,BLACK,Yellow Circle
"[0, 0, 255]",2,20,0.33709551699992153,1,C,1,8,YB,BLACK,Yellow Circle
"[255, 255, 0]",2,0,0.289206322000784,1,C,1,8,YB,BLACK,Yellow Circle
