Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,Name,Trial,Circle Size (degrees),Experiment Name,Background Color,Cue
"[0, 255, 0]",0,10,2.051151605000996,1,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",0,10,0.18512375300088024,1,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",2,0,0.36398289399949135,0,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",2,10,0.158512485000756,1,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",2,10,0.15373263099900214,0,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",2,0,0.08805708600084472,1,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",0,10,0.5692115530000592,1,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",2,0,0.15293786199981696,0,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",0,0,0.06280547899950761,0,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",2,0,0.27930732799904945,0,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",2,0,0.531542841999908,1,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",2,10,0.20151448300021002,1,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",2,0,0.34074373799921887,1,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",2,20,0.4537655429994629,1,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",2,0,0.750261703000433,0,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",2,0,0.38660845099911967,1,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",0,10,0.35599978800019016,0,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",2,0,0.5230700110005273,0,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",0,20,0.1178923190000205,1,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",2,0,0.18572817399945052,1,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",0,20,0.9220602219993452,0,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",0,0,0.11156767299871717,0,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",2,20,0.2665594329992018,0,C,1,8,GR,BLACK,Green Circle
