Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,Name,Trial,Circle Size (degrees),Experiment Name,Background Color,Cue
"[0, 255, 0]",2,0,1.1448474320004607,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",2,10,0.277666935000525,0,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",2,20,0.5104414659999748,0,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",0,0,0.04422125899873208,0,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",2,0,0.4382132289993024,0,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",0,10,0.009253410999008338,0,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",2,0,0.0709783169986622,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",2,10,0.47993803799909074,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",2,20,0.8034494990006351,0,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",2,0,0.024892252000427106,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",0,10,0.5451680440000928,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",0,0,0.32912599299925205,0,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",0,0,0.8769907280002371,0,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",0,20,0.9433054579985765,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",2,10,0.10817254399989906,0,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",0,20,0.4835850550007308,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",0,10,0.6976366649996635,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",0,20,0.7232506099990132,0,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",2,10,0.470193154998924,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",0,20,0.256043427001714,0,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",0,0,0.09097827400000824,0,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",2,10,0.46714011000040045,0,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",2,0,0.030972405000284198,0,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",0,10,0.30654959800085635,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",2,10,0.2079858509987389,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",2,20,0.4665200260005804,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",2,10,0.05682440499913355,0,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",0,20,0.6759204030004184,0,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",2,20,0.4843322579999949,0,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",0,0,0.6945083440004964,0,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",2,0,0.16160250900065876,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",0,0,0.5090162830001645,0,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",0,10,0.4380932669992035,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",0,0,0.1989227479989495,0,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",0,0,0.04040093299954606,0,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",2,0,0.41018394400089164,0,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",2,10,0.16748878299949865,0,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",0,0,0.2140947319985571,0,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",2,0,0.12069081899971934,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",2,20,0.23422300700076448,0,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",0,20,0.07790897699851485,0,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",0,10,0.7930746820002241,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",2,0,0.1530101319985988,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",2,10,0.2127134809998097,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",2,10,0.1724772670004313,0,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",0,0,0.13686394300020766,0,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",0,20,0.3136030129990104,0,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",2,10,0.02868683099950431,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",0,10,0.7401069600000483,0,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",0,0,0.0035604589993454283,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",0,0,0.3055477340003563,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",0,0,0.44234596400019655,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",0,0,0.18782109699895955,0,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",2,10,0.14313654800025688,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",2,10,0.4340475119988696,0,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",2,0,0.5928265059992555,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",0,10,0.296512258999428,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",0,20,0.30671188099950086,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",0,10,0.44178200099850073,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",0,10,0.9251542170004541,0,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",0,0,0.8973881359997904,0,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",0,10,0.0844876060000388,1,C,1,8,GR,BLACK,Red Circle
