Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,Name,Trial,Circle Size (degrees),Experiment Name,Background Color,Cue
"[255, 0, 0]",2,10,0.9877402040001471,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,20,0.016911593000259018,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,20,0.28522140299901366,0,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,10,0.6854285829995206,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,20,0.6326193349996174,0,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,20,0.07754733000001579,0,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,10,0.10763694100023713,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,0,0.03794986700086156,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,10,0.19485024999994494,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,0,0.43081771200013463,0,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,10,0.5562222010012192,0,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,10,0.7227096930000698,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,20,0.011857368001074065,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,10,0.28499495400137675,0,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,0,0.28699292300007073,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,10,0.41944452700045076,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,20,0.2942709310009377,0,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,0,0.5162396539999463,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,0,0.7366034070000751,0,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,20,0.42567641799905687,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,20,0.07939596899996104,0,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,20,0.37756803299998865,0,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,0,0.10690468300163047,0,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,0,0.26514300099916,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,10,0.2459812819997751,0,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,20,0.29285965300005046,0,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,10,0.23150389799957338,0,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,10,0.045123813000827795,0,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,20,0.44494796999970276,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,20,0.9065408530004788,0,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,0,0.4839598399994429,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,0,0.3205725749994599,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,10,0.09566294500109507,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,0,0.6504177700007858,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,0,0.25220922700100346,0,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,10,0.13387117799902626,0,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,20,0.15989967699897534,0,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,0,0.6261344169997756,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,10,0.7312445280003885,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,20,0.9050388929990731,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,0,0.6079219919993193,0,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,0,0.39075005400081864,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,20,0.7570847189999768,0,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,0,0.4081824389995745,0,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,10,0.07414272800087929,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,0,0.4926315770007932,0,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,20,0.43531964300018444,0,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,0,0.11000055800104747,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,10,0.2796937830007664,0,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,10,0.4162991709999915,0,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,0,0.3550821339995309,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,0,0.05943504400056554,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,10,0.3821193650001078,0,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,0,0.37182128299900796,0,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,20,0.5228608360012004,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,20,0.15289838199896622,0,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,10,0.7681310389998544,0,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,20,0.6128230949998397,0,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,10,0.021180922998610185,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,20,0.4087861200005136,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,20,0.11556421500063152,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,0,0.11009830100010731,0,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,10,0.3516430849995231,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,20,0.05399074799970549,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,20,0.4392271600008826,0,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,0,0.48039763400083757,0,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,10,0.6938867830012896,0,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,0,0.1628801349997957,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,10,0.038737046999813174,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,10,0.311278138000489,0,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,0,0.22537624099823006,0,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,10,0.9810861850000947,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,20,0.9338256150003872,0,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,20,0.10545856300086598,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,20,0.34385996099990734,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,20,0.7726646740011347,0,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,20,0.308682853999926,0,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,10,0.3829883000016707,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,10,0.6229622110004129,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,20,0.06290522599920223,0,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,20,0.2372837389993947,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,0,0.2454496520003886,0,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,0,0.16645164999863482,0,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,20,0.23421737399985432,0,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,10,0.03405485899929772,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,20,0.23861976900116133,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,0,0.43572993999987375,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,0,0.49075323499891965,0,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,20,0.256415821999326,0,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,10,0.833446835000359,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,20,0.6490418429984857,0,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,10,0.5225524950001272,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,0,0.5416277280000941,0,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,0,0.5059559249984886,0,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,20,0.5934754429999884,0,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,10,0.04775039099877176,0,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,10,0.4131771109987312,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,20,0.3395525819996692,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,0,0.273602512999787,0,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,20,0.4702190480002173,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,10,0.010934150001048693,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,0,0.2675559469989821,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,20,0.23416431099940382,0,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,10,0.22878232400034904,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,10,0.25265053099974466,0,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,10,0.4408837979990494,0,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,10,0.1803525550003542,0,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,0,0.3602543960005278,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,0,0.0687300019999384,0,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,0,0.4980360590016062,1,C,1,8,RG,BLACK,Green Circle
