Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,Name,Trial,Circle Size (degrees),Experiment Name,Background Color,Cue
"[255, 0, 0]",2,10,1.3444718249993457,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",2,10,0.02050584400058142,0,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",2,0,0.333595588002936,0,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",2,0,0.31015089500215254,0,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",2,20,0.3354235389997484,0,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",2,20,0.8504029950017866,1,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",2,10,0.4605048480007099,1,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",0,0,0.18829604900020058,1,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",0,10,0.038305532001686515,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",0,0,0.8096411850019649,0,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",0,20,0.23858878999817534,0,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",2,10,0.06839227599994047,0,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",0,20,0.009937972001353046,1,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",2,10,0.22514458400110016,1,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",2,20,0.5810645300007309,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",0,10,0.4621470749989385,0,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",2,0,0.6731203569979698,0,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",0,0,0.3730215479990875,0,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",2,0,0.29932344099870534,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",2,10,0.6793888530010008,0,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",0,0,0.21148932600044645,1,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",0,0,0.3957927350020327,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",2,0,0.128482988999167,0,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",2,10,0.19070147200181964,1,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",2,10,0.23869107000064105,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",2,10,0.5304566519989748,0,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",2,0,0.307934602999012,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",0,0,0.718683022998448,0,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",0,0,0.004858250998950098,0,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",0,0,0.2814964350000082,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",2,20,0.10044609400210902,0,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",0,0,0.5024083399985102,0,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",0,10,0.38648194599954877,0,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",0,10,0.47151370299980044,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",2,10,0.47659101800309145,0,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",2,10,0.8044253709995246,1,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",2,20,0.4060746590002964,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",0,10,0.44315341300170985,0,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",2,20,0.23739136199947097,0,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",2,20,0.004944624000927433,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",2,0,0.5491364469999098,0,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",0,0,0.6888371259992709,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",2,20,0.5939757209998788,0,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",2,20,0.5308184740024444,0,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",2,0,0.134920198997861,0,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",2,10,0.09882407000259263,1,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",0,0,0.13553856599901337,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",0,0,0.14558555299663567,0,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",0,20,0.7367599120007071,0,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",2,20,0.32551385100305197,0,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",2,10,0.5587026219982363,1,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",2,0,0.20679403000031016,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",0,20,0.03124984699752531,0,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",2,10,0.05493537000074866,0,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",2,10,0.7407127080005012,0,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",0,10,0.3626123750000261,0,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",2,20,0.5437375270012126,1,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",0,0,0.20064741399983177,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",2,0,0.5929159589977644,0,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",0,0,0.20051671499822987,0,C,1,8,RG,BLACK,Red Circle
