Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,Name,Trial,Circle Size (degrees),Experiment Name,Background Color,Cue
"[0, 255, 0]",0,10,0.270151605000996,1,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",0,10,0.29612375300088024,1,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",2,0,0.31798289399949135,1,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",2,10,0.278512485000756,1,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",2,10,0.33873263099900214,1,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",2,0,0.30605708600084472,1,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",0,10,0.2772115530000592,1,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",2,0,0.31393786199981696,1,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",0,0,0.31780547899950761,1,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",2,0,0.26530732799904945,1,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",2,0,0.293542841999908,1,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",2,10,0.30751448300021002,1,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",2,0,0.30374373799921887,1,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",2,20,0.3327655429994629,1,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",2,0,0.328261703000433,1,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",2,0,0.28260845099911967,1,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",0,10,0.35399978800019016,1,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",2,0,0.2920700110005273,1,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",0,20,0.3528923190000205,1,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",2,0,0.28272817399945052,1,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",0,20,0.3770602219993452,1,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",0,0,0.29256767299871717,1,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",2,20,0.3785594329992018,1,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",2,20,0.3429993350004079,1,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",2,20,0.3781573910002335,1,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",2,10,0.30731965900023351,1,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",2,10,0.3280511110008229,1,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",0,10,0.3166935009988229,1,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",2,10,0.32821859700023197,1,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",0,10,0.31607465299968317,1,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",0,0,0.3030666249998467,1,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",0,20,0.341114846000055,1,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",0,10,0.35388171699906525,1,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",0,0,0.28201133599886089,1,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",0,20,0.35254560099971422,1,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",0,10,0.306833940999873448,1,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",0,0,0.32815408400069282,1,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",2,10,0.31757201400010672,1,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",2,20,0.3537802479990205,1,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",0,20,0.34149081800156273,1,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",2,10,0.35378150799876312,1,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",2,0,0.2922253489995783,1,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",0,0,0.3282157360018027,1,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",0,10,0.30617408500015154,1,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",0,10,0.353950694000930525,1,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",2,20,0.3322478669994307,1,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",2,10,0.3532369890005939,1,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",0,0,0.28276487900043139,1,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",2,20,0.37871213600042392,1,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",0,0,0.2920164719999884,1,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",0,10,0.32866469099992537,1,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",2,10,0.307165109999929,1,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",2,10,0.328215652000450063,1,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",2,0,0.2921609170003212,1,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",2,10,0.3284181799999205,1,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",2,0,0.28226302600069903,1,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",2,0,0.30395853599994734,1,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",2,10,0.31703824400120357,1,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",2,20,0.3786641280010808,1,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",0,0,0.2927286859995802,1,C,1,8,GR,BLACK,Green Circle
