Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,Name,Trial,Circle Size (degrees),Experiment Name,Background Color,Cue
"[0, 255, 0]",2,0,0.2318474320004607,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",2,10,0.270666935000525,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",2,20,0.2844414659999748,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",0,0,0.25522125899873208,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",2,0,0.2552132289993024,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",0,10,0.280253410999008338,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",2,0,0.2319783169986622,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",2,10,0.24693803799909074,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",2,20,0.2844494990006351,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",2,0,0.231892252000427106,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",0,10,0.2561680440000928,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",0,0,0.25512599299925205,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",0,0,0.2559907280002371,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",0,20,0.2813054579985765,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",2,10,0.27017254399989906,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",0,20,0.2815850550007308,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",0,10,0.2566366649996635,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",0,20,0.3052506099990132,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",2,10,0.246193154998924,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",0,20,0.305043427001714,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",0,0,0.25597827400000824,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",2,10,0.27014011000040045,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",2,0,0.255972405000284198,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",0,10,0.25654959800085635,1,C,1,8,GR,BLACK,Red Circle
