Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,Name,Trial,Circle Size (degrees),Experiment Name,Background Color,Cue
"[255, 0, 0]",2,10,0.4117402040001471,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,20,0.417911593000259018,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,20,0.36922140299901366,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,10,0.3284285829995206,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,20,0.3426193349996174,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,20,0.30054733000001579,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,10,0.39863694100023713,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,0,0.23594986700086156,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,10,0.38085024999994494,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,0,0.35381771200013463,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,10,0.3782222010012192,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,10,0.3867096930000698,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,20,0.399857368001074065,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,10,0.37299495400137675,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,0,0.36199292300007073,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,10,0.38644452700045076,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,20,0.4022709310009377,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,0,0.3612396539999463,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,0,0.3536034070000751,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,20,0.41067641799905687,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,20,0.39139596899996104,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,20,0.40256803299998865,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,0,0.35390468300163047,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,0,0.36114300099916,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,10,0.3789812819997751,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,20,0.40285965300005046,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,10,0.37250389799957338,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,10,0.378123813000827795,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,20,0.39994796999970276,1,C,1,8,RG,BLACK,Green Circle
