Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,Name,Trial,Circle Size (degrees),Experiment Name,Background Color,Cue
"[255, 0, 0]",2,10,0.3354718249993457,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",2,10,0.34650584400058142,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",2,0,0.270595588002936,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",2,0,0.25215089500215254,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",2,20,0.4014235389997484,1,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",2,20,0.3444029950017866,1,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",2,10,0.3405048480007099,1,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",0,0,0.35629604900020058,1,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",0,10,0.380305532001686515,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",0,0,0.3446411850019649,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",0,20,0.39258878999817534,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",2,10,0.36139227599994047,1,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",0,20,0.404937972001353046,1,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",2,10,0.37314458400110016,1,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",2,20,0.3900645300007309,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",0,10,0.3681470749989385,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",2,0,0.3441203569979698,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",0,0,0.3440215479990875,1,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",2,0,0.35632344099870534,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",2,10,0.3613888530010008,1,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",0,0,0.35648932600044645,1,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",0,0,0.3567927350020327,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",2,0,0.344482988999167,1,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",2,10,0.37370147200181964,1,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",2,10,0.37369107000064105,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",2,10,0.3614566519989748,1,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",2,0,0.356934602999012,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",0,0,0.344683022998448,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",0,0,0.344858250998950098,1,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",0,0,0.3564964350000082,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",2,20,0.37844609400210902,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",0,0,0.3444083399985102,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",0,10,0.36848194599954877,1,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",0,10,0.38051370299980044,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",2,10,0.36159101800309145,1,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",2,10,0.3734253709995246,1,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",2,20,0.3900746590002964,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",0,10,0.36815341300170985,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",2,20,0.37839136199947097,1,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",2,20,0.390944624000927433,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",2,0,0.3441364469999098,1,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",0,0,0.3568371259992709,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",2,20,0.3789757209998788,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",2,20,0.3788184740024444,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",2,0,0.344920198997861,1,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",2,10,0.37382407000259263,1,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",0,0,0.35653856599901337,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",0,0,0.34458555299663567,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",0,20,0.3927599120007071,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",2,20,0.37851385100305197,1,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",2,10,0.3737026219982363,1,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",2,0,0.35679403000031016,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",0,20,0.39224984699752531,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",2,10,0.36193537000074866,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",2,10,0.3617127080005012,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",0,10,0.3686123750000261,1,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",2,20,0.3907375270012126,1,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",0,0,0.35664741399983177,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",2,0,0.3449159589977644,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",0,0,0.34451671499822987,1,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",2,20,0.3908055949989939,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",2,0,0.3446342390008504,1,C,1,8,RG,BLACK,Red Circle
