Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,Name,Trial,Circle Size (degrees),Experiment Name,Background Color,Cue
"[255, 255, 0]",2,10,1.0758355280013348,0,C,1,8,GY,BLACK,Green Circle
"[255, 255, 0]",0,20,0.03950688799886848,0,C,1,8,GY,BLACK,Green Circle
"[255, 255, 0]",2,10,0.008796337999228854,0,C,1,8,GY,BLACK,Green Circle
"[0, 255, 0]",0,0,0.5844578520009236,1,C,1,8,GY,BLACK,Green Circle
"[255, 255, 0]",2,20,0.2224802139971871,0,C,1,8,GY,BLACK,Green Circle
"[255, 255, 0]",2,0,0.6030566990011721,0,C,1,8,GY,BLACK,Green Circle
"[255, 255, 0]",0,10,0.20784437600013916,0,C,1,8,GY,BLACK,Green Circle
"[0, 255, 0]",2,0,0.03427219099830836,1,C,1,8,GY,BLACK,Green Circle
"[0, 255, 0]",2,10,0.2143554949980171,1,C,1,8,GY,BLACK,Green Circle
"[255, 255, 0]",2,0,0.30622523900092347,0,C,1,8,GY,BLACK,Green Circle
"[0, 255, 0]",2,20,0.18337895900185686,1,C,1,8,GY,BLACK,Green Circle
"[0, 255, 0]",0,10,0.005186723999941023,1,C,1,8,GY,BLACK,Green Circle
"[255, 255, 0]",0,0,0.029051117999188136,0,C,1,8,GY,BLACK,Green Circle
"[255, 255, 0]",0,20,0.5129768190017785,0,C,1,8,GY,BLACK,Green Circle
"[0, 255, 0]",0,20,0.5271808769975905,1,C,1,8,GY,BLACK,Green Circle
"[0, 255, 0]",2,0,0.18255877000046894,1,C,1,8,GY,BLACK,Green Circle
"[255, 255, 0]",0,0,0.29451349600276444,0,C,1,8,GY,BLACK,Green Circle
"[0, 255, 0]",0,10,0.8569583309981681,1,C,1,8,GY,BLACK,Green Circle
"[0, 255, 0]",0,10,0.6387493649999669,1,C,1,8,GY,BLACK,Green Circle
"[0, 255, 0]",0,0,0.23580049200245412,1,C,1,8,GY,BLACK,Green Circle
"[0, 255, 0]",0,0,0.37021723100042436,1,C,1,8,GY,BLACK,Green Circle
"[0, 255, 0]",2,10,0.04883849000179907,1,C,1,8,GY,BLACK,Green Circle
"[255, 255, 0]",2,10,0.12112226300087059,0,C,1,8,GY,BLACK,Green Circle
"[0, 255, 0]",2,0,0.6072783109993907,1,C,1,8,GY,BLACK,Green Circle
"[255, 255, 0]",0,10,0.14727551499890978,0,C,1,8,GY,BLACK,Green Circle
"[0, 255, 0]",0,20,0.242980869999883,1,C,1,8,GY,BLACK,Green Circle
"[255, 255, 0]",0,0,0.25257798900202033,0,C,1,8,GY,BLACK,Green Circle
"[0, 255, 0]",0,10,0.8799004240026989,1,C,1,8,GY,BLACK,Green Circle
"[255, 255, 0]",2,10,0.03864424199855421,0,C,1,8,GY,BLACK,Green Circle
"[0, 255, 0]",0,0,0.3181241769998451,1,C,1,8,GY,BLACK,Green Circle
"[255, 255, 0]",2,10,0.2585529999996652,0,C,1,8,GY,BLACK,Green Circle
"[0, 255, 0]",2,20,0.06257958300193422,1,C,1,8,GY,BLACK,Green Circle
"[0, 255, 0]",2,20,0.09853440699953353,1,C,1,8,GY,BLACK,Green Circle
"[0, 255, 0]",2,10,0.054055344000516925,1,C,1,8,GY,BLACK,Green Circle
"[255, 255, 0]",0,20,0.30851950400028727,0,C,1,8,GY,BLACK,Green Circle
"[255, 255, 0]",2,0,0.2918050879998191,0,C,1,8,GY,BLACK,Green Circle
"[255, 255, 0]",0,0,0.4933794989992748,0,C,1,8,GY,BLACK,Green Circle
"[0, 255, 0]",0,10,0.26205861900234595,1,C,1,8,GY,BLACK,Green Circle
