Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,Name,Trial,Circle Size (degrees),Experiment Name,Background Color,Cue
"[0, 255, 0]",2,0,1.4729261879983824,1,C,1,8,GY,BLACK,Yellow Circle
"[0, 255, 0]",2,10,0.3887483710022934,1,C,1,8,GY,BLACK,Yellow Circle
"[0, 255, 0]",2,10,0.4826619289997325,1,C,1,8,GY,BLACK,Yellow Circle
"[0, 255, 0]",0,10,0.052703119999932824,1,C,1,8,GY,BLACK,Yellow Circle
"[255, 255, 0]",2,20,0.8927827070001513,0,C,1,8,GY,BLACK,Yellow Circle
"[0, 255, 0]",0,20,0.5910839490024955,1,C,1,8,GY,BLACK,Yellow Circle
"[0, 255, 0]",0,20,0.4635028259981482,1,C,1,8,GY,BLACK,Yellow Circle
"[0, 255, 0]",2,0,0.0599009620018478,1,C,1,8,GY,BLACK,Yellow Circle
"[0, 255, 0]",2,10,0.1985188200014818,1,C,1,8,GY,BLACK,Yellow Circle
"[0, 255, 0]",0,20,0.058890298998449,1,C,1,8,GY,BLACK,Yellow Circle
"[0, 255, 0]",2,20,0.05269554700134904,1,C,1,8,GY,BLACK,Yellow Circle
"[0, 255, 0]",0,0,0.2608352070019464,1,C,1,8,GY,BLACK,Yellow Circle
"[0, 255, 0]",0,10,0.3234392090016627,1,C,1,8,GY,BLACK,Yellow Circle
"[255, 255, 0]",0,20,0.15513260700026876,0,C,1,8,GY,BLACK,Yellow Circle
"[255, 255, 0]",0,20,0.10597430499910843,0,C,1,8,GY,BLACK,Yellow Circle
"[255, 255, 0]",0,0,0.3138774299986835,0,C,1,8,GY,BLACK,Yellow Circle
"[255, 255, 0]",0,0,0.260381256997789,0,C,1,8,GY,BLACK,Yellow Circle
"[0, 255, 0]",0,10,0.2974215270005516,1,C,1,8,GY,BLACK,Yellow Circle
"[255, 255, 0]",0,0,0.7446767879991967,0,C,1,8,GY,BLACK,Yellow Circle
"[0, 255, 0]",0,20,0.0749117599989404,1,C,1,8,GY,BLACK,Yellow Circle
"[255, 255, 0]",2,0,0.029207405001216102,0,C,1,8,GY,BLACK,Yellow Circle
"[255, 255, 0]",2,10,0.7071872589986015,0,C,1,8,GY,BLACK,Yellow Circle
"[0, 255, 0]",2,20,0.3376788759996998,1,C,1,8,GY,BLACK,Yellow Circle
"[0, 255, 0]",2,10,0.3491056530001515,1,C,1,8,GY,BLACK,Yellow Circle
"[0, 255, 0]",2,20,0.5226647509989562,1,C,1,8,GY,BLACK,Yellow Circle
"[0, 255, 0]",0,10,0.36041312299857964,1,C,1,8,GY,BLACK,Yellow Circle
"[255, 255, 0]",2,10,0.03567132700118236,0,C,1,8,GY,BLACK,Yellow Circle
"[0, 255, 0]",0,10,0.25931283099998836,1,C,1,8,GY,BLACK,Yellow Circle
"[255, 255, 0]",0,0,0.1581560879967583,0,C,1,8,GY,BLACK,Yellow Circle
"[255, 255, 0]",2,0,0.2756765849990188,0,C,1,8,GY,BLACK,Yellow Circle
"[255, 255, 0]",2,0,0.3365934829998878,0,C,1,8,GY,BLACK,Yellow Circle
