Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,Name,Trial,Circle Size (degrees),Experiment Name,Background Color,Cue
"[255, 255, 0]",0,10,1.7043848180001078,1,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",2,0,0.057563561997085344,1,C,1,8,YG,BLACK,Green Circle
"[0, 255, 0]",0,10,0.5727953340028762,0,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",0,20,0.19554847099789185,1,C,1,8,YG,BLACK,Green Circle
"[0, 255, 0]",2,20,0.48028977300054976,0,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",2,20,0.13964943999962998,1,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",2,0,0.5967010949971154,1,C,1,8,YG,BLACK,Green Circle
"[0, 255, 0]",0,10,0.4918332430024748,0,C,1,8,YG,BLACK,Green Circle
"[0, 255, 0]",2,10,0.15563826200013864,0,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",2,10,0.1387691400013864,1,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",2,10,0.8907149650003703,1,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",0,10,0.4954654909997771,1,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",0,0,0.030850879000354325,1,C,1,8,YG,BLACK,Green Circle
"[0, 255, 0]",2,0,0.1694715619996714,0,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",2,10,0.3049999899994873,1,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",2,20,0.2111643690004712,1,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",0,10,0.12076843899922096,1,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",0,10,0.6042510890001722,1,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",2,20,0.41997662100038724,1,C,1,8,YG,BLACK,Green Circle
"[0, 255, 0]",0,20,0.3260865999982343,0,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",0,0,0.727773602000525,1,C,1,8,YG,BLACK,Green Circle
"[0, 255, 0]",0,20,0.877334921999136,0,C,1,8,YG,BLACK,Green Circle
"[0, 255, 0]",0,0,0.5244248999988486,0,C,1,8,YG,BLACK,Green Circle
"[0, 255, 0]",0,0,0.03569251999942935,0,C,1,8,YG,BLACK,Green Circle
"[0, 255, 0]",0,0,0.6345182490003936,0,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",0,20,0.30052626700125984,1,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",2,20,0.2656658080013585,1,C,1,8,YG,BLACK,Green Circle
"[0, 255, 0]",0,0,0.20981196299908333,0,C,1,8,YG,BLACK,Green Circle
"[0, 255, 0]",2,0,0.9332353270001477,0,C,1,8,YG,BLACK,Green Circle
"[0, 255, 0]",2,0,0.37954631600223365,0,C,1,8,YG,BLACK,Green Circle
"[0, 255, 0]",0,10,0.0913734210007533,0,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",0,0,0.6044850580001366,1,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",2,0,0.15501766400120687,1,C,1,8,YG,BLACK,Green Circle
"[0, 255, 0]",2,10,0.04154124999695341,0,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",0,10,0.04485880799984443,1,C,1,8,YG,BLACK,Green Circle
"[0, 255, 0]",2,20,0.8513224990019808,0,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",2,0,0.01717652899969835,1,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",0,20,0.6954704970012244,1,C,1,8,YG,BLACK,Green Circle
"[0, 255, 0]",0,0,0.2667873270002019,0,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",0,0,0.8749195029995462,1,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",0,10,0.2582947270020668,1,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",2,10,0.7989345960013452,1,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",2,20,0.69305329800045,1,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",2,20,0.7289415609993739,1,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",0,10,0.12707385199973942,1,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",2,0,0.06476734199895873,1,C,1,8,YG,BLACK,Green Circle
"[0, 255, 0]",0,0,0.1653507740011264,0,C,1,8,YG,BLACK,Green Circle
"[0, 255, 0]",0,20,0.23425802000201656,0,C,1,8,YG,BLACK,Green Circle
"[0, 255, 0]",2,10,0.037999434000084875,0,C,1,8,YG,BLACK,Green Circle
"[0, 255, 0]",2,0,0.05700580999837257,0,C,1,8,YG,BLACK,Green Circle
"[0, 255, 0]",0,20,0.21926679899843293,0,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",2,10,0.5681536720003351,1,C,1,8,YG,BLACK,Green Circle
"[0, 255, 0]",0,20,0.6205942999986291,0,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",0,10,0.6950932279978588,1,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",2,0,0.21412456100006239,1,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",2,10,0.2603846279998834,1,C,1,8,YG,BLACK,Green Circle
"[0, 255, 0]",2,10,0.5966326210000261,0,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",0,20,0.9528201309985889,1,C,1,8,YG,BLACK,Green Circle
"[0, 255, 0]",2,10,0.6322152909997385,0,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",2,0,0.1452069560000382,1,C,1,8,YG,BLACK,Green Circle
"[0, 255, 0]",2,20,0.5667854309976974,0,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",0,10,0.5663678429991705,1,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",0,20,0.17621591399802128,1,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",2,10,0.2995754149997083,1,C,1,8,YG,BLACK,Green Circle
"[0, 255, 0]",0,20,0.7301850419971743,0,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",0,20,0.3917807289981283,1,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",2,20,0.04732634100219002,1,C,1,8,YG,BLACK,Green Circle
"[0, 255, 0]",0,20,0.5236283479971462,0,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",2,20,0.35007304000100703,1,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",0,20,0.020751644002302783,1,C,1,8,YG,BLACK,Green Circle
"[0, 255, 0]",2,0,0.6822166330020991,0,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",2,10,0.6812955919995147,1,C,1,8,YG,BLACK,Green Circle
"[0, 255, 0]",0,20,1.002142590998119,0,C,1,8,YG,BLACK,Green Circle
"[0, 255, 0]",0,20,0.5455967970010533,0,C,1,8,YG,BLACK,Green Circle
"[0, 255, 0]",2,20,0.003385097999853315,0,C,1,8,YG,BLACK,Green Circle
"[0, 255, 0]",2,20,0.04170108499965863,0,C,1,8,YG,BLACK,Green Circle
