Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,Name,Trial,Circle Size (degrees),Experiment Name,Background Color,Cue
"[0, 255, 0]",2,20,1.5457546440011356,0,C,1,8,YG,BLACK,Yellow Circle
"[255, 255, 0]",2,20,0.5166802569983702,1,C,1,8,YG,BLACK,Yellow Circle
"[0, 255, 0]",0,20,0.028307699001743458,0,C,1,8,YG,BLACK,Yellow Circle
"[0, 255, 0]",0,20,0.010764353999547893,0,C,1,8,YG,BLACK,Yellow Circle
"[255, 255, 0]",0,20,0.4219566510000732,1,C,1,8,YG,BLACK,Yellow Circle
"[255, 255, 0]",2,20,0.5258131340015098,1,C,1,8,YG,BLACK,Yellow Circle
"[255, 255, 0]",2,20,0.46003208899855963,1,C,1,8,YG,BLACK,Yellow Circle
"[0, 255, 0]",0,20,0.15320795300067402,0,C,1,8,YG,BLACK,Yellow Circle
"[0, 255, 0]",0,10,0.6859553069989488,0,C,1,8,YG,BLACK,Yellow Circle
"[0, 255, 0]",2,10,0.39445561800312134,0,C,1,8,YG,BLACK,Yellow Circle
"[255, 255, 0]",2,10,0.6958366720027698,1,C,1,8,YG,BLACK,Yellow Circle
"[255, 255, 0]",0,20,0.1913712530003977,1,C,1,8,YG,BLACK,Yellow Circle
"[255, 255, 0]",0,20,0.1933058089998667,1,C,1,8,YG,BLACK,Yellow Circle
"[0, 255, 0]",2,0,0.4496034559997497,0,C,1,8,YG,BLACK,Yellow Circle
"[255, 255, 0]",2,20,0.07733630799702951,1,C,1,8,YG,BLACK,Yellow Circle
"[255, 255, 0]",0,0,0.252912716998253,1,C,1,8,YG,BLACK,Yellow Circle
"[0, 255, 0]",0,20,0.12306960599744343,0,C,1,8,YG,BLACK,Yellow Circle
"[255, 255, 0]",0,0,0.23131907000060892,1,C,1,8,YG,BLACK,Yellow Circle
"[0, 255, 0]",0,0,0.18011828000089736,0,C,1,8,YG,BLACK,Yellow Circle
"[0, 255, 0]",2,20,0.14843801900133258,0,C,1,8,YG,BLACK,Yellow Circle
"[255, 255, 0]",2,10,0.049884574000316206,1,C,1,8,YG,BLACK,Yellow Circle
"[255, 255, 0]",0,10,0.1187675319997652,1,C,1,8,YG,BLACK,Yellow Circle
"[255, 255, 0]",2,0,0.49687694299791474,1,C,1,8,YG,BLACK,Yellow Circle
"[0, 255, 0]",0,20,0.33163083999897935,0,C,1,8,YG,BLACK,Yellow Circle
"[0, 255, 0]",2,0,0.3961952489989926,0,C,1,8,YG,BLACK,Yellow Circle
"[255, 255, 0]",2,0,0.6198791429997073,1,C,1,8,YG,BLACK,Yellow Circle
"[0, 255, 0]",0,0,0.13129131299865548,0,C,1,8,YG,BLACK,Yellow Circle
"[255, 255, 0]",0,20,0.7364679330021318,1,C,1,8,YG,BLACK,Yellow Circle
