Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,Name,Trial,Circle Size (degrees),Experiment Name,Background Color,Cue
"[255, 255, 0]",2,10,0.3238355280013348,1,C,1,8,GY,BLACK,Green Circle
"[255, 255, 0]",0,20,0.27550688799886848,1,C,1,8,GY,BLACK,Green Circle
"[255, 255, 0]",2,10,0.352796337999228854,1,C,1,8,GY,BLACK,Green Circle
"[0, 255, 0]",0,0,0.2994578520009236,1,C,1,8,GY,BLACK,Green Circle
"[255, 255, 0]",2,20,0.4184802139971871,1,C,1,8,GY,BLACK,Green Circle
"[255, 255, 0]",2,0,0.3240566990011721,1,C,1,8,GY,BLACK,Green Circle
"[255, 255, 0]",0,10,0.31884437600013916,1,C,1,8,GY,BLACK,Green Circle
"[0, 255, 0]",2,0,0.30327219099830836,1,C,1,8,GY,BLACK,Green Circle
"[0, 255, 0]",2,10,0.3233554949980171,1,C,1,8,GY,BLACK,Green Circle
"[255, 255, 0]",2,0,0.30522523900092347,1,C,1,8,GY,BLACK,Green Circle
"[0, 255, 0]",2,20,0.34337895900185686,1,C,1,8,GY,BLACK,Green Circle
"[0, 255, 0]",0,10,0.316186723999941023,1,C,1,8,GY,BLACK,Green Circle
"[255, 255, 0]",0,0,0.305051117999188136,1,C,1,8,GY,BLACK,Green Circle
"[255, 255, 0]",0,20,0.3319768190017785,1,C,1,8,GY,BLACK,Green Circle
"[0, 255, 0]",0,20,0.3291808769975905,1,C,1,8,GY,BLACK,Green Circle
"[0, 255, 0]",2,0,0.30355877000046894,1,C,1,8,GY,BLACK,Green Circle
"[255, 255, 0]",0,0,0.30551349600276444,1,C,1,8,GY,BLACK,Green Circle
"[0, 255, 0]",0,10,0.3169583309981681,1,C,1,8,GY,BLACK,Green Circle
"[0, 255, 0]",0,10,0.3167493649999669,1,C,1,8,GY,BLACK,Green Circle
"[0, 255, 0]",0,0,0.30380049200245412,1,C,1,8,GY,BLACK,Green Circle
"[0, 255, 0]",0,0,0.30321723100042436,1,C,1,8,GY,BLACK,Green Circle
"[0, 255, 0]",2,10,0.32383849000179907,1,C,1,8,GY,BLACK,Green Circle
"[255, 255, 0]",2,10,0.32512226300087059,1,C,1,8,GY,BLACK,Green Circle
"[0, 255, 0]",2,0,0.3032783109993907,1,C,1,8,GY,BLACK,Green Circle
