Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,Name,Trial,Circle Size (degrees),Experiment Name,Background Color,Cue
"[0, 255, 0]",2,0,0.3449261879983824,1,C,1,8,GY,BLACK,Yellow Circle
"[0, 255, 0]",2,10,0.2997483710022934,1,C,1,8,GY,BLACK,Yellow Circle
"[0, 255, 0]",2,10,0.2866619289997325,1,C,1,8,GY,BLACK,Yellow Circle
"[0, 255, 0]",0,10,0.305703119999932824,1,C,1,8,GY,BLACK,Yellow Circle
"[255, 255, 0]",2,20,0.3097827070001513,1,C,1,8,GY,BLACK,Yellow Circle
"[0, 255, 0]",0,20,0.3180839490024955,1,C,1,8,GY,BLACK,Yellow Circle
"[0, 255, 0]",0,20,0.3055028259981482,1,C,1,8,GY,BLACK,Yellow Circle
"[0, 255, 0]",2,0,0.2929009620018478,1,C,1,8,GY,BLACK,Yellow Circle
"[0, 255, 0]",2,10,0.2865188200014818,1,C,1,8,GY,BLACK,Yellow Circle
"[0, 255, 0]",0,20,0.318890298998449,1,C,1,8,GY,BLACK,Yellow Circle
"[0, 255, 0]",2,20,0.29369554700134904,1,C,1,8,GY,BLACK,Yellow Circle
"[0, 255, 0]",0,0,0.2928352070019464,1,C,1,8,GY,BLACK,Yellow Circle
"[0, 255, 0]",0,10,0.2924392090016627,1,C,1,8,GY,BLACK,Yellow Circle
"[255, 255, 0]",0,20,0.33013260700026876,1,C,1,8,GY,BLACK,Yellow Circle
"[255, 255, 0]",0,20,0.32197430499910843,1,C,1,8,GY,BLACK,Yellow Circle
"[255, 255, 0]",0,0,0.3048774299986835,1,C,1,8,GY,BLACK,Yellow Circle
"[255, 255, 0]",0,0,0.295381256997789,1,C,1,8,GY,BLACK,Yellow Circle
"[0, 255, 0]",0,10,0.3054215270005516,1,C,1,8,GY,BLACK,Yellow Circle
"[255, 255, 0]",0,0,0.2956767879991967,1,C,1,8,GY,BLACK,Yellow Circle
"[0, 255, 0]",0,20,0.3189117599989404,1,C,1,8,GY,BLACK,Yellow Circle
"[255, 255, 0]",2,0,0.295207405001216102,1,C,1,8,GY,BLACK,Yellow Circle
"[255, 255, 0]",2,10,0.3111872589986015,1,C,1,8,GY,BLACK,Yellow Circle
"[0, 255, 0]",2,20,0.2936788759996998,1,C,1,8,GY,BLACK,Yellow Circle
"[0, 255, 0]",2,10,0.2991056530001515,1,C,1,8,GY,BLACK,Yellow Circle
"[0, 255, 0]",2,20,0.2936647509989562,1,C,1,8,GY,BLACK,Yellow Circle
"[0, 255, 0]",0,10,0.30541312299857964,1,C,1,8,GY,BLACK,Yellow Circle
"[255, 255, 0]",2,10,0.30267132700118236,1,C,1,8,GY,BLACK,Yellow Circle
"[0, 255, 0]",0,10,0.30531283099998836,1,C,1,8,GY,BLACK,Yellow Circle
"[255, 255, 0]",0,0,0.2951560879967583,1,C,1,8,GY,BLACK,Yellow Circle
"[255, 255, 0]",2,0,0.3046765849990188,1,C,1,8,GY,BLACK,Yellow Circle
"[255, 255, 0]",2,0,0.2955934829998878,1,C,1,8,GY,BLACK,Yellow Circle
"[0, 255, 0]",0,20,0.3180303290003794,1,C,1,8,GY,BLACK,Yellow Circle
"[0, 255, 0]",2,20,0.2938007279993908,1,C,1,8,GY,BLACK,Yellow Circle
"[255, 255, 0]",0,20,0.33087274399775197,1,C,1,8,GY,BLACK,Yellow Circle
"[255, 255, 0]",2,0,0.29502130100192153,1,C,1,8,GY,BLACK,Yellow Circle
"[0, 255, 0]",2,10,0.29989997799965204,1,C,1,8,GY,BLACK,Yellow Circle
"[0, 255, 0]",0,0,0.27992257399772643,1,C,1,8,GY,BLACK,Yellow Circle
"[0, 255, 0]",0,10,0.3055926550014701,1,C,1,8,GY,BLACK,Yellow Circle
"[255, 255, 0]",2,10,0.3025337470002414,1,C,1,8,GY,BLACK,Yellow Circle
"[0, 255, 0]",0,10,0.3058818019978644,1,C,1,8,GY,BLACK,Yellow Circle
"[255, 255, 0]",0,20,0.3210586009986582,1,C,1,8,GY,BLACK,Yellow Circle
"[0, 255, 0]",2,20,0.30741478199858102,1,C,1,8,GY,BLACK,Yellow Circle
"[0, 255, 0]",2,0,0.2795024949998769,1,C,1,8,GY,BLACK,Yellow Circle
"[255, 255, 0]",0,0,0.3040121489991434,1,C,1,8,GY,BLACK,Yellow Circle
"[0, 255, 0]",0,0,0.27950316600108636,1,C,1,8,GY,BLACK,Yellow Circle
"[0, 255, 0]",2,0,0.2922444859999232,1,C,1,8,GY,BLACK,Yellow Circle
"[255, 255, 0]",2,0,0.295861343001161,1,C,1,8,GY,BLACK,Yellow Circle
"[0, 255, 0]",0,10,0.30539589899979183,1,C,1,8,GY,BLACK,Yellow Circle
"[255, 255, 0]",2,20,0.30900563099989085,1,C,1,8,GY,BLACK,Yellow Circle
"[255, 255, 0]",0,20,0.33087762899920926,1,C,1,8,GY,BLACK,Yellow Circle
"[0, 255, 0]",0,0,0.2793934890019009,1,C,1,8,GY,BLACK,Yellow Circle
