Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,Name,Trial,Circle Size (degrees),Experiment Name,Background Color,Cue
"[255, 255, 0]",0,10,0.3843848180001078,1,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",2,0,0.386563561997085344,1,C,1,8,YG,BLACK,Green Circle
"[0, 255, 0]",0,10,0.3657953340028762,1,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",0,20,0.40254847099789185,1,C,1,8,YG,BLACK,Green Circle
"[0, 255, 0]",2,20,0.42228977300054976,1,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",2,20,0.43364943999962998,1,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",2,0,0.2787010949971154,1,C,1,8,YG,BLACK,Green Circle
"[0, 255, 0]",0,10,0.3878332430024748,1,C,1,8,YG,BLACK,Green Circle
"[0, 255, 0]",2,10,0.37263826200013864,1,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",2,10,0.2447691400013864,1,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",2,10,0.3017149650003703,1,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",0,10,0.4004654909997771,1,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",0,0,0.358850879000354325,1,C,1,8,YG,BLACK,Green Circle
"[0, 255, 0]",2,0,0.3584715619996714,1,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",2,10,0.4169999899994873,1,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",2,20,0.4341643690004712,1,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",0,10,0.29176843899922096,1,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",0,10,0.4132510890001722,1,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",2,20,0.41797662100038724,1,C,1,8,YG,BLACK,Green Circle
"[0, 255, 0]",0,20,0.2350865999982343,1,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",0,0,0.280773602000525,1,C,1,8,YG,BLACK,Green Circle
"[0, 255, 0]",0,20,0.411334921999136,1,C,1,8,YG,BLACK,Green Circle
"[0, 255, 0]",0,0,0.3544248999988486,1,C,1,8,YG,BLACK,Green Circle
"[0, 255, 0]",0,0,0.35969251999942935,1,C,1,8,YG,BLACK,Green Circle
"[0, 255, 0]",0,0,0.3815182490003936,1,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",0,20,0.41852626700125984,1,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",2,20,0.3236658080013585,1,C,1,8,YG,BLACK,Green Circle
"[0, 255, 0]",0,0,0.37681196299908333,1,C,1,8,YG,BLACK,Green Circle
"[0, 255, 0]",2,0,0.3532353270001477,1,C,1,8,YG,BLACK,Green Circle
"[0, 255, 0]",2,0,0.21054631600223365,1,C,1,8,YG,BLACK,Green Circle
"[0, 255, 0]",0,10,0.2813734210007533,1,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",0,0,0.3894850580001366,1,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",2,0,0.36001766400120687,1,C,1,8,YG,BLACK,Green Circle
"[0, 255, 0]",2,10,0.38254124999695341,1,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",0,10,0.41085880799984443,1,C,1,8,YG,BLACK,Green Circle
"[0, 255, 0]",2,20,0.4213224990019808,1,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",2,0,0.28117652899969835,1,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",0,20,0.4284704970012244,1,C,1,8,YG,BLACK,Green Circle
"[0, 255, 0]",0,0,0.3547873270002019,1,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",0,0,0.2259195029995462,1,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",0,10,0.2952947270020668,1,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",2,10,0.4129345960013452,1,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",2,20,0.40405329800045,1,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",2,20,0.4249415609993739,1,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",0,10,0.41107385199973942,1,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",2,0,0.39476734199895873,1,C,1,8,YG,BLACK,Green Circle
"[0, 255, 0]",0,0,0.2683507740011264,1,C,1,8,YG,BLACK,Green Circle
"[0, 255, 0]",0,20,0.40425802000201656,1,C,1,8,YG,BLACK,Green Circle
"[0, 255, 0]",2,10,0.376999434000084875,1,C,1,8,YG,BLACK,Green Circle
"[0, 255, 0]",2,0,0.21200580999837257,1,C,1,8,YG,BLACK,Green Circle
"[0, 255, 0]",0,20,0.29626679899843293,1,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",2,10,0.4131536720003351,1,C,1,8,YG,BLACK,Green Circle
"[0, 255, 0]",0,20,0.3835942999986291,1,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",0,10,0.3940932279978588,1,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",2,0,0.39912456100006239,1,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",2,10,0.4173846279998834,1,C,1,8,YG,BLACK,Green Circle
"[0, 255, 0]",2,10,0.2906326210000261,1,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",0,20,0.4308201309985889,1,C,1,8,YG,BLACK,Green Circle
"[0, 255, 0]",2,10,0.3772152909997385,1,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",2,0,0.2272069560000382,1,C,1,8,YG,BLACK,Green Circle
"[0, 255, 0]",2,20,0.3147854309976974,1,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",0,10,0.4053678429991705,1,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",0,20,0.38921591399802128,1,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",2,10,0.4045754149997083,1,C,1,8,YG,BLACK,Green Circle
"[0, 255, 0]",0,20,0.4111850419971743,1,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",0,20,0.4227807289981283,1,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",2,20,0.32732634100219002,1,C,1,8,YG,BLACK,Green Circle
"[0, 255, 0]",0,20,0.4066283479971462,1,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",2,20,0.42207304000100703,1,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",0,20,0.254751644002302783,1,C,1,8,YG,BLACK,Green Circle
"[0, 255, 0]",2,0,0.2722166330020991,1,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",2,10,0.4152955919995147,1,C,1,8,YG,BLACK,Green Circle
"[0, 255, 0]",0,20,0.385142590998119,1,C,1,8,YG,BLACK,Green Circle
"[0, 255, 0]",0,20,0.3905967970010533,1,C,1,8,YG,BLACK,Green Circle
"[0, 255, 0]",2,20,0.429385097999853315,1,C,1,8,YG,BLACK,Green Circle
"[0, 255, 0]",2,20,0.42570108499965863,1,C,1,8,YG,BLACK,Green Circle
"[0, 255, 0]",0,0,0.2718813109998591,1,C,1,8,YG,BLACK,Green Circle
"[0, 255, 0]",2,10,0.40374953800087678,1,C,1,8,YG,BLACK,Green Circle
"[255, 255, 0]",2,10,0.4011061529986328,1,C,1,8,YG,BLACK,Green Circle
