Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,Name,Trial,Circle Size (degrees),Experiment Name,Background Color,Cue
"[255, 255, 0]",2,20,1.3798043629976746,0,C,1,8,RY,BLACK,Red Circle
"[255, 0, 0]",0,20,0.309013178000896,1,C,1,8,RY,BLACK,Red Circle
"[255, 0, 0]",2,20,0.005184674999327399,1,C,1,8,RY,BLACK,Red Circle
"[255, 255, 0]",2,10,0.44071859599716845,0,C,1,8,RY,BLACK,Red Circle
"[255, 0, 0]",2,10,0.37000756000270485,1,C,1,8,RY,BLACK,Red Circle
"[255, 255, 0]",2,10,0.7397427210016758,0,C,1,8,RY,BLACK,Red Circle
"[255, 0, 0]",2,20,0.24218588000076124,1,C,1,8,RY,BLACK,Red Circle
"[255, 0, 0]",2,0,0.45863165099945036,1,C,1,8,RY,BLACK,Red Circle
"[255, 255, 0]",0,10,0.09009989900005166,0,C,1,8,RY,BLACK,Red Circle
"[255, 255, 0]",2,10,0.16611322899916559,0,C,1,8,RY,BLACK,Red Circle
"[255, 255, 0]",0,0,0.2522760969986848,0,C,1,8,RY,BLACK,Red Circle
"[255, 0, 0]",0,0,0.3543968350022624,1,C,1,8,RY,BLACK,Red Circle
"[255, 0, 0]",2,0,0.07020750799711095,1,C,1,8,RY,BLACK,Red Circle
"[255, 0, 0]",0,0,0.36111441400134936,1,C,1,8,RY,BLACK,Red Circle
"[255, 255, 0]",2,0,0.24352241400265484,0,C,1,8,RY,BLACK,Red Circle
"[255, 0, 0]",2,20,0.4332909689983353,1,C,1,8,RY,BLACK,Red Circle
"[255, 255, 0]",0,0,0.13858726900070906,0,C,1,8,RY,BLACK,Red Circle
"[255, 0, 0]",2,0,0.3572920600017824,1,C,1,8,RY,BLACK,Red Circle
"[255, 0, 0]",0,0,0.24243614199804142,1,C,1,8,RY,BLACK,Red Circle
"[255, 255, 0]",0,20,0.6355089810022037,0,C,1,8,RY,BLACK,Red Circle
"[255, 255, 0]",0,10,0.5364842230010254,0,C,1,8,RY,BLACK,Red Circle
