Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,Name,Trial,Circle Size (degrees),Experiment Name,Background Color,Cue
"[255, 0, 0]",2,10,2.3468440340002417,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",2,10,0.6225080240001262,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",0,20,0.4768790380003338,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",0,20,0.3699159089992463,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",2,20,0.4114764269979787,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",0,20,0.18638255600308185,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",2,0,0.055194489999848884,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",0,20,0.5768635599997651,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",0,10,0.3688734970019141,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",0,0,0.314567089000775,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",0,0,0.12933239599806257,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",0,10,0.23245523600053275,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",2,0,0.5994607130014629,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",0,0,0.627944315001514,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",0,10,0.34214287899885676,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",2,0,0.712710302999767,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",0,10,0.41410168999937014,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",0,20,0.09833652200177312,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",0,20,0.07367532699936419,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",2,0,0.23729420399831724,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",0,0,0.737918996001099,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",0,0,0.40269103499667835,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",0,10,0.01703656899917405,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",2,0,0.26819709300252725,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",0,0,0.11356935500225518,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",2,20,0.002468410999426851,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",0,10,0.13637131500217947,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",0,0,0.614007373998902,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",0,0,0.43180195999957505,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",0,10,0.40554732300006435,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",0,20,0.72547332600152,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",0,20,0.026869841000007,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",0,0,0.16032446099779918,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",2,0,0.09307828600140056,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",0,10,0.7681884350022301,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",0,20,0.09771818099761731,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",0,20,0.4378740159991139,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",2,0,0.4845925720001105,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",2,10,0.12361716899977182,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",2,0,0.07082847000128822,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",0,0,0.08100623899736092,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",2,20,0.03541081900038989,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",2,10,0.027590000001509907,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",2,20,0.21298197799842455,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",2,10,0.43704744999922696,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",2,20,0.35893922000104794,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",2,20,0.17685809099930339,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",0,0,0.018945715000882046,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",0,20,0.39775274499697844,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",2,10,0.09107473900076002,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",2,10,0.7162494800031709,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",2,20,0.4445132389992068,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",2,20,0.07585377099894686,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",0,20,0.041097230998275336,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",0,10,0.03445041299710283,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",0,0,0.24718287799987593,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",2,10,0.23069876299996395,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",2,0,0.5586102189990925,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",2,20,0.2469730199991318,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",2,10,0.13161964200116927,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",0,20,0.1711715160017775,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",2,10,0.008036906998313498,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",2,0,0.2731087439969997,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",2,10,0.07203823500094586,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",0,10,0.2090045509976335,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",2,20,0.6364313880003465,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",2,20,0.20814396400237456,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",2,10,0.0974490769986005,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",0,10,0.8511914849987079,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",0,0,0.403387129001203,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",2,20,0.06780806000097073,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",0,10,0.5252475490015058,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",2,20,0.2708959599985974,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",2,0,0.4782332359973225,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",0,0,0.5496602150014951,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",0,20,0.7651551770031801,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",2,10,0.017930236001120647,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",0,10,0.14261077499759267,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",2,10,0.558422177000466,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",2,20,0.6701410050009144,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",2,10,0.362291102999734,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",2,20,0.4762458859986509,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",0,0,0.3365589880013431,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",0,0,0.10840453099808656,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",0,20,0.8503220950005925,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",2,10,0.8872344800001883,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",0,20,0.1417999819968827,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",0,20,0.10254888599956757,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",2,20,0.11796489200060023,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",0,0,0.4339600149978651,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",0,20,0.09609176999947522,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",2,10,0.1500164280005265,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",0,20,0.8102596099997754,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",0,10,0.038814863000879996,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",0,10,0.06371783000213327,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",2,20,0.1144206850003684,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",0,20,0.44324697900083265,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",2,10,0.46464177499728976,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",0,10,0.2505306569983077,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",0,20,0.23322916299730423,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",2,20,0.052640507001342485,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",2,10,0.09460027100067236,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",2,0,0.3466675430026953,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",0,20,0.16288714099937351,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",2,20,0.38109618599992245,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",0,10,0.5863694850013417,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",2,0,0.24423153500174521,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",2,0,0.10823993200028781,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",0,10,0.5130448329982755,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",0,20,0.2216463129989279,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",2,20,0.529435149001074,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",2,20,0.09713890700004413,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",2,20,0.18033797099997173,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",0,10,0.3765433190019394,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",0,20,0.086872805000894,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",0,10,0.5122370079989196,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",2,0,0.23996264600282302,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",2,0,0.10173129399845493,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",0,10,0.2274159309999959,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",0,20,0.13629722399855382,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",2,10,0.26606141299998853,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",2,0,0.12234563899983186,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",2,0,0.19073969399687485,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",2,20,0.3008663769978739,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",0,20,0.4362865469993267,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",0,20,0.016482810999150388,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",2,0,0.44377665299907676,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",2,0,0.13385817499874975,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",0,0,0.4420178760010458,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",2,20,0.8675516030016297,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",2,0,0.5846592900015821,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",2,0,0.005323237000993686,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",2,10,0.01196368399905623,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",0,10,0.6454535750017385,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",2,10,0.4295697180023126,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",2,0,0.5141400629981945,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",2,10,0.3085871330004011,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",2,0,0.32742770400000154,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",0,10,0.4537157160011702,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",0,10,0.5343855889987026,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",2,20,0.6366779310010315,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",0,0,0.3784797599982994,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",0,0,0.7653821480016632,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",0,10,0.08997113000077661,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",0,0,0.18007255100019393,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",0,0,0.3171133739997458,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",2,20,0.10737831200094661,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",0,0,0.33523000499917543,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",2,10,0.4491806450023432,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",0,20,0.1877644229971338,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",0,10,0.4226128299997072,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",2,20,0.04124175399920205,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",2,0,0.5295926170001621,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",0,20,0.79040361999796,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",2,0,0.5741065839974908,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",0,10,0.04157428599864943,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",2,10,0.24100864599677152,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",0,10,0.2604207320000569,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",2,20,0.3823919749993365,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",0,0,0.504111747002753,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",2,10,0.39015995700174244,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",2,10,0.19698982800036902,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",2,0,0.049236158996791346,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",2,20,0.18915575699793408,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",0,10,0.4024157070016372,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",0,0,0.7747131639989675,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",2,10,0.9080308570009947,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",2,10,0.5508043100016948,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",0,20,0.33244366299913963,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",0,0,0.07535865699901478,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",0,10,0.17186651800147956,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",0,0,0.5765482649985643,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",2,0,0.7743102499989618,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",2,10,0.06228646900126478,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",2,0,0.46110488299746066,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",0,0,0.5558825779990002,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",0,0,0.4221848650013271,0,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",2,0,0.22235848200216424,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",0,0,0.5820694239992008,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",2,20,0.5080298030006816,1,C,1,8,RY,BLACK,Yellow Circle
