Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,Name,Trial,Circle Size (degrees),Experiment Name,Background Color,Cue
"[255, 0, 0]",2,20,1.6963575139998284,0,C,1,8,YR,BLACK,Red Circle
"[255, 0, 0]",0,20,0.41747986300106277,0,C,1,8,YR,BLACK,Red Circle
"[255, 255, 0]",2,10,0.39912993700272636,1,C,1,8,YR,BLACK,Red Circle
"[255, 0, 0]",0,0,0.5072768649988575,0,C,1,8,YR,BLACK,Red Circle
"[255, 0, 0]",2,20,0.3894523759990989,0,C,1,8,YR,BLACK,Red Circle
"[255, 255, 0]",2,0,0.4236404660005064,1,C,1,8,YR,BLACK,Red Circle
"[255, 0, 0]",2,10,0.7035258089999843,0,C,1,8,YR,BLACK,Red Circle
"[255, 0, 0]",2,0,0.5878155619975587,0,C,1,8,YR,BLACK,Red Circle
"[255, 0, 0]",2,20,0.2948294330017234,0,C,1,8,YR,BLACK,Red Circle
"[255, 0, 0]",0,10,0.09270724899761262,0,C,1,8,YR,BLACK,Red Circle
"[255, 255, 0]",2,10,0.3481118760028039,1,C,1,8,YR,BLACK,Red Circle
"[255, 255, 0]",0,10,0.39713303199823713,1,C,1,8,YR,BLACK,Red Circle
"[255, 255, 0]",2,20,0.7685830269983853,1,C,1,8,YR,BLACK,Red Circle
"[255, 255, 0]",2,20,0.5896438909985591,1,C,1,8,YR,BLACK,Red Circle
"[255, 0, 0]",0,10,0.8669267260011111,0,C,1,8,YR,BLACK,Red Circle
"[255, 255, 0]",2,0,0.20212907099994482,1,C,1,8,YR,BLACK,Red Circle
"[255, 0, 0]",2,10,0.4975405680015683,0,C,1,8,YR,BLACK,Red Circle
"[255, 0, 0]",2,0,0.43667411799833644,0,C,1,8,YR,BLACK,Red Circle
"[255, 255, 0]",2,0,0.30048224900019704,1,C,1,8,YR,BLACK,Red Circle
"[255, 0, 0]",0,0,0.47728997399826767,0,C,1,8,YR,BLACK,Red Circle
"[255, 0, 0]",2,10,0.7375306549984089,0,C,1,8,YR,BLACK,Red Circle
"[255, 255, 0]",0,0,0.5947432520006259,1,C,1,8,YR,BLACK,Red Circle
"[255, 0, 0]",0,20,0.4715929429985408,0,C,1,8,YR,BLACK,Red Circle
"[255, 255, 0]",0,0,0.24251596499743755,1,C,1,8,YR,BLACK,Red Circle
"[255, 255, 0]",0,20,0.06692730199938524,1,C,1,8,YR,BLACK,Red Circle
"[255, 255, 0]",2,10,0.5975197049992858,1,C,1,8,YR,BLACK,Red Circle
"[255, 255, 0]",2,0,0.5858119309996255,1,C,1,8,YR,BLACK,Red Circle
"[255, 0, 0]",2,10,0.010685295001167106,0,C,1,8,YR,BLACK,Red Circle
"[255, 0, 0]",2,20,0.4707500060030725,0,C,1,8,YR,BLACK,Red Circle
"[255, 255, 0]",2,0,0.2033803150006861,1,C,1,8,YR,BLACK,Red Circle
"[255, 255, 0]",0,0,0.4451965280022705,1,C,1,8,YR,BLACK,Red Circle
"[255, 0, 0]",0,20,0.2386022190003132,0,C,1,8,YR,BLACK,Red Circle
"[255, 0, 0]",2,10,0.5512848159996793,0,C,1,8,YR,BLACK,Red Circle
"[255, 0, 0]",2,20,0.19119615199815598,0,C,1,8,YR,BLACK,Red Circle
"[255, 255, 0]",0,0,0.1477986489990144,1,C,1,8,YR,BLACK,Red Circle
"[255, 0, 0]",0,10,0.33436038000218105,0,C,1,8,YR,BLACK,Red Circle
"[255, 255, 0]",2,20,0.448500802001945,1,C,1,8,YR,BLACK,Red Circle
"[255, 255, 0]",2,10,0.6150151919973723,1,C,1,8,YR,BLACK,Red Circle
"[255, 255, 0]",2,0,0.5540445440019539,1,C,1,8,YR,BLACK,Red Circle
"[255, 255, 0]",0,10,0.21899465900060022,1,C,1,8,YR,BLACK,Red Circle
"[255, 0, 0]",0,10,0.2985754870023811,0,C,1,8,YR,BLACK,Red Circle
"[255, 255, 0]",0,0,0.13337651199981337,1,C,1,8,YR,BLACK,Red Circle
"[255, 255, 0]",2,0,0.6883535369997844,1,C,1,8,YR,BLACK,Red Circle
"[255, 255, 0]",2,10,0.46563221199903637,1,C,1,8,YR,BLACK,Red Circle
"[255, 0, 0]",0,20,0.37617909899927326,0,C,1,8,YR,BLACK,Red Circle
